id,ticker,definition,horizon_days,is_lead_lag,complexity,sample_size,oos_sample_size,holdout_sample_size,expectancy,holdout_expectancy,hit_rate,median_outcome,family_size,family_corrected_p_value,block_bootstrap_p_value,confidence,discovery_experiment_id
pattern_186858ecf09b,ADIB,acceleration_1d:ADIB > 0.0000 -> forward_return_5d:ADIB,5,False,1,469,458,79,0.012426393071452551,0.027108566107163612,0.5764192139737991,0.008410389548012364,1,,,1.0,experiment_0e0ca6fdb941
pattern_6e6babbb7bbc,ADIB,distance_from_high_3d:ADIB < -0.0382 -> forward_return_5d:ADIB,5,False,1,289,283,45,0.01641574309850406,0.03431943614857818,0.5618374558303887,0.007556676655346911,1,,,1.0,experiment_0e0ca6fdb941
pattern_4145f8d94b81,ADIB,return_5d:ADIB < -0.0183 -> forward_return_5d:ADIB,5,False,1,293,281,40,0.015559553182653172,0.037769420868401925,0.5622775800711743,0.008364087080573348,1,,,0.996,experiment_0e0ca6fdb941
pattern_1a0e4c5f4896,ADIB,return_5d:ADIB < 0.0057 -> forward_return_5d:ADIB,5,False,1,488,470,65,0.014183986961648219,0.02561550405460219,0.5638297872340425,0.008415727615832775,1,,,1.0,experiment_0e0ca6fdb941
pattern_907b7a4f0971,ADIB,acceleration_5d:ADIB < -0.0427 -> forward_return_5d:ADIB,5,False,1,280,272,48,0.021390851248828974,0.02081814724651726,0.5882352941176471,0.010490333554787859,1,,,1.0,experiment_0e0ca6fdb941
pattern_63b5045cd353,ADIB,acceleration_5d:ADIB < -0.0032 -> forward_return_5d:ADIB,5,False,1,467,457,82,0.012341148128955811,0.02148037941852365,0.5448577680525164,0.005674522004269667,1,,,0.996,experiment_0e0ca6fdb941
pattern_d9d3bb5300b7,ADIB,acceleration_10d:ADIB < -0.0547 -> forward_return_5d:ADIB,5,False,1,281,277,48,0.022885042364335372,0.03209111961091259,0.6389891696750902,0.01591061019674292,1,,,1.0,experiment_0e0ca6fdb941
pattern_7c3d65a77167,ADIB,acceleration_10d:ADIB < -0.0002 -> forward_return_5d:ADIB,5,False,1,469,462,79,0.014180245226752082,0.02729928523175962,0.5844155844155844,0.009622503638034028,1,,,1.0,experiment_0e0ca6fdb941
pattern_52b7756b7e55,ADIB,distance_from_high_10d:ADIB < -0.0688 -> forward_return_5d:ADIB,5,False,1,301,291,31,0.022564571451569582,0.035880959265971304,0.6357388316151202,0.01429846744278542,1,,,1.0,experiment_0e0ca6fdb941
pattern_652089281a03,ADIB,distance_from_high_10d:ADIB < -0.0462 -> forward_return_5d:ADIB,5,False,1,483,467,71,0.01601589711141259,0.027110486387320307,0.5845824411134903,0.011183533476955087,1,,,1.0,experiment_0e0ca6fdb941
pattern_8aa6b3d39cff,ADIB,return_20d:ADIB > 0.0312 -> forward_return_5d:ADIB,5,False,1,431,430,112,0.011798033586368273,0.023416116506079793,0.5744186046511628,0.008161737890918407,1,,,1.0,experiment_0e0ca6fdb941
pattern_3d48ad4349b2,ADIB,acceleration_20d:ADIB > -0.0024 -> forward_return_5d:ADIB,5,False,1,457,457,76,0.012646488297439541,0.03059173161749896,0.6017505470459519,0.012037047420836423,1,,,1.0,experiment_0e0ca6fdb941
pattern_3e0e011732b6,ADIB,acceleration_60d:ADIB < -0.1815 -> forward_return_5d:ADIB,5,False,1,257,257,42,0.01611508273454666,0.010640397841846698,0.5486381322957199,0.004934198039885546,1,,,1.0,experiment_0e0ca6fdb941
pattern_dbeb3f3293d6,ADIB,acceleration_60d:ADIB < 0.0033 -> forward_return_5d:ADIB,5,False,1,411,411,82,0.014596089356171231,0.015412345922610137,0.5425790754257908,0.004700880784254808,1,,,1.0,experiment_0e0ca6fdb941
pattern_d0ee5ceeff31,ADIB,distance_from_high_60d:ADIB < -0.0879 -> forward_return_5d:ADIB,5,False,1,490,490,39,0.011299212671630284,0.03588376350300325,0.5469387755102041,0.007469707634032102,1,,,1.0,experiment_0e0ca6fdb941
pattern_d65a48649e92,ADIB,volatility_10d:ADIB > 0.0163 -> forward_return_5d:ADIB,5,False,1,627,614,142,0.011861060427494395,0.017482671052463754,0.5781758957654723,0.009622503638034028,1,,,1.0,experiment_0e0ca6fdb941
pattern_eb22d56dd03c,ADIB,volatility_10d:ADIB > 0.0202 -> forward_return_5d:ADIB,5,False,1,440,428,110,0.016305617378672917,0.011479241904879256,0.5887850467289719,0.01169973127797085,1,,,1.0,experiment_0e0ca6fdb941
pattern_c1dba18e5945,ADIB,volatility_20d:ADIB > 0.0178 -> forward_return_5d:ADIB,5,False,1,604,592,158,0.013686502461443704,0.021656760244438026,0.5489864864864865,0.006444777410958785,1,,,1.0,experiment_0e0ca6fdb941
pattern_a829863b64fe,ADIB,volatility_20d:ADIB > 0.0230 -> forward_return_5d:ADIB,5,False,1,433,421,115,0.015317247416350262,0.019014937917863996,0.5534441805225653,0.007462679397079984,1,,,1.0,experiment_0e0ca6fdb941
pattern_9f9083ab58cc,ADIB,price_volume_correlation_5d:ADIB < -0.1412 -> forward_return_5d:ADIB,5,False,1,299,290,34,0.018161708641576447,0.02653644940220529,0.5689655172413793,0.00781058113439243,1,,,1.0,experiment_0e0ca6fdb941
pattern_9642316c9a07,ADIB,price_volume_correlation_5d:ADIB < 0.3112 -> forward_return_5d:ADIB,5,False,1,478,463,76,0.013038974535373275,0.024964289645296452,0.5442764578833693,0.004399909700492647,1,,,1.0,experiment_0e0ca6fdb941
pattern_f258f1b9d7f8,ADIB,price_volume_correlation_5d:ADIB < 0.6043 -> forward_return_5d:ADIB,5,False,1,663,644,113,0.011409820190102032,0.01825400866533684,0.5372670807453416,0.003208353332103256,1,,,1.0,experiment_0e0ca6fdb941
pattern_3be6b2de37d0,ADIB,price_volume_correlation_10d:ADIB < 0.0362 -> forward_return_5d:ADIB,5,False,1,307,296,25,0.01844409291996749,0.004244476227376876,0.6182432432432432,0.012463502541767804,1,,,1.0,experiment_0e0ca6fdb941
