date,open,high,low,close,volume
2025-07-10,49.1,50.4,49.1,50.25,1596825
2025-07-13,50.25,50.9,49.53,49.61,826426
2025-07-14,49.61,50.33,49.51,49.92,853288
2025-07-15,49.92,52.38,49.95,51.69,3766002
2025-07-16,51.69,52.83,51.51,51.66,2645987
2025-07-17,51.66,52.19,51.52,51.8,772644
2025-07-20,51.8,53.25,51.82,52.7,933683
2025-07-21,52.7,52.95,51.55,51.55,1061400
2025-07-22,51.55,51.96,50.32,50.5,1351126
2025-07-23,50.5,50.5,50.5,50.5,0
2025-07-27,50.55,51.8,50.63,51.3,1000169
2025-07-28,51.3,52.25,50.5,50.85,1136470
2025-07-29,50.85,51.14,50.05,50.2,813858
2025-07-30,50.2,51.0,49.7,50.01,703454
2025-07-31,50.01,50.6,49.5,49.7,575036
2025-08-03,49.7,49.7,49.7,49.7,0
2025-08-04,49.7,49.7,49.7,49.7,0
2025-08-05,49.7,49.7,49.7,49.7,0
2025-08-06,49.7,49.7,49.7,49.7,0
2025-08-07,49.7,49.7,49.7,49.7,0
2025-08-10,53.1,54.49,53.29,54.21,1917152
2025-08-11,54.21,54.48,53.0,53.6,761519
2025-08-12,53.6,54.0,53.5,53.57,598579
2025-08-13,53.57,53.9,50.5,52.61,564735
2025-08-14,52.61,52.99,51.87,52.49,498140
2025-08-17,52.49,52.98,52.1,52.89,414062
2025-08-18,52.89,53.2,52.2,52.4,232820
2025-08-19,52.4,52.7,52.25,52.5,774873
2025-08-20,52.5,52.87,51.8,51.9,772713
2025-08-21,51.9,52.38,51.56,52.26,240688
2025-08-24,52.26,52.63,51.8,51.86,546314
2025-08-25,51.86,52.39,51.7,52.25,386111
2025-08-26,52.25,52.4,51.85,52.2,340922
2025-08-27,52.2,52.3,51.85,52.11,312776
2025-08-28,52.11,52.59,51.96,52.59,295445
2025-08-31,52.59,53.0,52.1,52.13,516601
2025-09-01,52.13,52.75,52.16,52.63,395449
2025-09-02,52.63,54.0,52.51,53.89,1893792
2025-09-03,53.89,53.8,52.65,52.82,735886
2025-09-07,52.82,53.39,51.99,52.21,922030
2025-09-08,52.21,54.0,52.05,53.41,1125034
2025-09-09,53.41,53.8,52.45,52.5,681282
2025-09-10,52.5,52.96,51.9,52.88,328371
2025-09-11,52.88,53.5,52.5,53.5,549151
2025-09-14,53.5,54.08,53.01,54.05,754377
2025-09-15,54.05,54.8,53.87,54.48,1388146
2025-09-16,54.48,54.48,52.85,52.9,1114736
2025-09-17,52.9,53.62,52.52,53.5,448343
2025-09-18,53.5,53.96,51.92,52.3,1145682
2025-09-21,52.3,52.7,51.55,51.75,676848
2025-09-22,51.75,52.1,50.2,51.5,923858
2025-09-23,51.5,51.98,50.26,50.98,1366176
2025-09-24,50.98,51.75,50.66,51.48,1694524
2025-09-25,51.48,52.09,51.52,51.91,727585
2025-09-28,51.91,53.59,52.7,53.14,1325578
2025-09-29,53.14,53.67,52.4,52.88,1233769
2025-09-30,52.88,53.55,52.8,53.3,792468
2025-10-01,53.3,53.55,52.97,53.3,593624
2025-10-02,53.3,53.54,53.04,53.43,359635
2025-10-05,53.43,54.14,53.5,53.86,577201
2025-10-06,53.86,54.29,53.7,54.0,609948
2025-10-07,54.0,54.19,53.8,53.88,378199
2025-10-08,53.88,53.98,53.5,53.5,823216
2025-10-12,53.5,53.79,52.52,53.0,1438604
2025-10-13,53.0,53.46,52.25,52.57,1614840
2025-10-14,52.57,53.4,52.61,53.2,708986
2025-10-15,53.2,53.5,53.01,53.1,314651
2025-10-16,53.1,54.19,53.19,53.38,980037
2025-10-19,53.38,54.05,53.54,53.87,835518
2025-10-20,53.87,53.99,53.63,53.89,704557
2025-10-21,53.89,53.99,53.55,53.67,1963245
2025-10-22,53.67,50.1,48.12,49.9,2678665
2025-10-23,49.9,50.34,48.99,49.19,1083726
2025-10-26,49.19,49.5,48.95,49.23,586953
2025-10-27,49.23,49.48,48.25,48.31,1822557
2025-10-28,48.31,48.58,47.98,48.55,1278774
2025-10-29,48.55,48.84,48.18,48.5,587104
2025-10-30,48.5,48.86,48.48,48.6,496387
2025-11-02,48.6,48.92,48.51,48.61,323551
2025-11-03,48.61,48.69,47.52,47.6,1827682
2025-11-04,47.6,47.85,47.45,47.46,903564
2025-11-05,47.46,47.79,46.0,46.41,2321199
2025-11-06,46.41,47.05,46.45,46.73,1160725
2025-11-09,46.73,47.28,46.48,46.59,1518171
2025-11-10,46.59,46.92,46.05,46.39,2003312
2025-11-11,46.39,46.67,46.07,46.25,1878387
2025-11-12,46.25,46.54,46.2,46.3,851478
2025-11-13,46.3,46.57,46.2,46.2,776151
2025-11-16,46.2,46.49,46.11,46.18,797419
2025-11-17,46.18,46.43,46.0,46.04,858993
2025-11-18,46.04,46.98,46.04,46.6,1675397
2025-11-19,46.6,47.0,46.46,46.65,770523
2025-11-20,46.65,46.77,46.35,46.5,687517
2025-11-23,46.5,46.98,46.51,46.6,592607
2025-11-24,46.6,46.8,46.41,46.48,737532
2025-11-25,46.48,46.66,46.02,46.12,686682
2025-11-26,46.12,46.23,46.0,46.01,607312
2025-11-27,46.01,46.25,45.5,46.0,880249
2025-11-30,46.0,46.3,45.9,45.94,635230
2025-12-01,45.94,46.18,45.6,45.62,830938
2025-12-02,45.62,45.84,45.47,45.57,840586
2025-12-03,45.57,45.7,45.18,45.37,1145726
2025-12-04,45.37,45.65,45.3,45.64,638472
2025-12-07,45.64,47.0,45.65,47.0,874288
2025-12-08,47.0,47.2,46.63,47.01,700715
2025-12-09,47.01,47.65,46.9,47.32,874340
2025-12-10,47.32,47.8,47.0,47.79,975418
2025-12-11,47.79,48.47,47.56,48.26,1294076
2025-12-14,48.26,48.49,47.85,47.85,859909
2025-12-15,47.85,48.36,47.5,47.7,643361
2025-12-16,47.7,47.9,46.75,47.0,937574
2025-12-17,47.0,47.19,46.52,46.6,690673
2025-12-18,46.6,49.65,47.5,48.62,4227078
2025-12-21,48.62,49.64,48.75,49.58,1550450
2025-12-22,49.58,51.25,49.62,51.13,4636934
2025-12-23,51.13,52.45,51.21,52.4,3827651
2025-12-24,52.4,52.6,51.52,52.1,822664
2025-12-25,52.1,52.2,51.66,51.91,373060
2025-12-28,51.91,52.17,51.52,51.6,676753
2025-12-29,51.6,51.8,51.45,51.48,362614
2025-12-30,51.48,51.58,50.75,50.78,528797
2025-12-31,50.78,51.5,50.7,51.0,490093
2026-01-04,51.0,51.45,49.82,50.0,754286
2026-01-05,50.0,50.4,48.9,49.02,1069075
2026-01-06,49.02,50.5,49.08,50.5,548300
2026-01-08,50.5,52.55,50.51,52.23,2821271
2026-01-11,52.23,53.5,51.82,53.25,2736784
2026-01-12,53.25,53.65,51.5,52.03,2012783
2026-01-13,52.03,52.49,51.0,51.01,1027256
2026-01-14,51.01,51.0,49.4,50.23,1221248
2026-01-15,50.23,51.0,49.01,50.02,1672695
2026-01-18,50.02,52.49,50.03,51.8,1893569
2026-01-19,51.8,53.39,51.66,53.03,2721878
2026-01-20,53.03,53.88,52.04,53.5,2419019
2026-01-21,53.5,55.55,52.8,55.4,8019989
2026-01-22,55.4,59.38,55.91,58.94,7364550
2026-01-25,58.94,61.25,58.6,58.8,4768195
2026-01-26,58.8,59.6,58.12,59.0,2667034
2026-01-27,59.0,63.0,58.71,63.0,5376807
2026-01-28,63.0,65.7,63.0,64.16,3704768
2026-02-01,64.16,65.49,62.72,65.45,2495625
2026-02-02,65.45,66.49,64.14,66.49,1866619
2026-02-03,66.49,68.0,65.92,67.1,2514074
2026-02-04,67.1,67.69,65.0,65.97,2928616
2026-02-05,65.97,66.43,65.0,65.66,1460413
2026-02-08,65.66,69.75,65.76,69.45,2236223
2026-02-09,69.45,69.9,68.12,68.8,1309413
2026-02-10,68.8,69.69,68.51,69.3,1491399
2026-02-11,69.3,71.0,69.2,69.55,1348685
2026-02-12,69.55,70.84,62.01,69.72,1679242
2026-02-15,69.72,72.0,69.01,71.87,1471812
2026-02-16,71.87,72.5,70.0,70.3,1375902
2026-02-17,70.3,71.0,68.01,68.99,2490788
2026-02-18,68.99,70.0,66.53,68.7,3156971
2026-02-19,68.7,68.65,67.23,67.65,787214
2026-02-22,67.65,67.5,65.0,67.0,1852166
2026-02-23,67.0,71.89,66.95,70.1,4063205
2026-02-24,70.1,70.1,68.9,69.02,633215
2026-02-25,69.02,69.5,67.54,68.3,789319
2026-02-26,68.3,70.97,68.0,69.7,2253527
2026-03-01,69.7,68.8,63.7,68.8,2691409
2026-03-02,68.8,68.6,66.3,67.8,1484934
2026-03-03,67.8,79.8,66.65,77.89,5694239
2026-03-04,77.89,85.84,77.9,78.64,5681375
2026-03-05,78.64,81.26,77.51,77.93,1309296
2026-03-08,77.93,91.5,83.0,87.0,5281360
2026-03-09,87.0,91.8,82.1,84.1,3040448
2026-03-10,84.1,82.86,78.5,79.9,2091433
2026-03-11,79.9,85.0,80.5,85.0,1896414
2026-03-12,85.0,89.0,85.5,88.06,3972641
2026-03-15,88.06,90.35,85.53,86.0,3272704
2026-03-16,86.0,87.95,82.5,86.67,2032452
2026-03-17,86.67,87.99,85.5,87.55,1536297
2026-03-18,87.55,88.1,86.75,87.0,1015783
2026-03-19,87.0,87.0,87.0,87.0,0
2026-03-24,87.0,94.4,87.0,94.0,4170773
2026-03-25,94.0,95.0,91.25,92.5,1607902
2026-03-26,92.5,93.75,88.88,89.0,2890786
2026-03-29,89.0,89.84,83.6,85.04,6284552
2026-03-30,85.04,85.95,79.8,80.95,3927601
2026-03-31,80.95,83.0,79.5,81.7,3721316
2026-04-01,81.7,84.46,80.75,83.79,2995001
2026-04-02,83.79,84.25,81.6,82.0,2360566
2026-04-05,82.0,82.1,80.1,81.27,2441555
2026-04-06,81.27,84.3,81.0,82.6,2306211
2026-04-07,82.6,86.0,82.5,85.61,3214883
2026-04-08,85.61,84.8,80.0,82.64,5571442
2026-04-09,82.64,83.65,82.0,82.11,2091830
2026-04-14,82.11,83.9,82.52,83.8,1842312
2026-04-15,83.8,85.38,83.8,84.85,1393439
2026-04-16,84.85,85.3,82.9,83.94,1831513
2026-04-19,83.94,86.39,83.04,85.56,3321018
2026-04-20,85.56,85.54,83.51,85.0,986007
2026-04-21,85.0,90.95,84.8,88.55,2577687
2026-04-22,88.55,90.8,86.55,87.0,1278047
2026-04-23,87.0,89.4,86.1,86.12,1516915
2026-04-26,86.12,90.2,86.3,88.82,2479357
2026-04-27,88.82,90.0,88.05,89.5,853548
2026-04-28,89.5,92.0,89.51,90.51,2912443
2026-04-29,90.51,91.18,89.12,89.56,748585
2026-04-30,89.56,91.77,90.53,90.75,2168800
2026-05-03,90.75,92.0,89.4,89.49,940230
2026-05-04,89.49,90.3,87.01,87.01,1168513
2026-05-05,87.01,87.8,78.0,84.85,2617038
2026-05-06,84.85,85.7,82.1,83.41,1728554
2026-05-10,83.41,84.0,83.0,83.8,1338459
2026-05-11,83.8,86.86,84.39,86.0,1322920
2026-05-12,86.0,88.39,86.5,87.19,1161036
2026-05-13,87.19,87.96,85.4,85.6,641857
2026-05-14,85.6,86.97,84.81,85.8,607533
2026-05-17,85.8,88.7,86.25,88.2,2000111
2026-05-18,88.2,90.87,88.4,90.0,5046065
2026-05-19,90.0,90.25,88.1,88.99,1086414
2026-05-20,88.99,89.5,85.95,86.01,550410
2026-05-21,86.01,86.98,85.6,86.01,415187
2026-05-24,86.01,86.0,84.0,84.2,1272162
2026-05-25,84.2,86.0,81.52,86.0,2847643
2026-05-26,86.0,86.0,86.0,86.0,0
2026-05-27,86.0,86.0,86.0,86.0,0
2026-05-28,86.0,86.0,86.0,86.0,0
2026-06-01,86.0,84.5,83.06,83.6,1873083
2026-06-02,83.6,84.0,81.81,81.81,1839973
2026-06-03,81.81,82.5,81.53,81.7,1358125
2026-06-04,81.7,82.15,81.73,81.87,545150
2026-06-07,81.87,82.0,81.2,81.41,770680
2026-06-08,81.41,83.7,81.8,81.9,1088789
2026-06-09,81.9,82.28,81.2,81.2,716042
2026-06-10,81.2,81.49,79.0,79.0,966404
2026-06-11,79.0,80.0,75.8,76.5,1926060
2026-06-14,76.5,77.99,72.7,72.75,4581345
2026-06-15,72.75,73.75,72.2,72.74,2638937
2026-06-16,72.74,73.43,71.06,71.16,2102567
2026-06-17,71.16,71.16,71.16,71.16,0
2026-06-18,71.16,71.16,71.16,71.16,0
2026-06-21,70.5,72.19,70.5,71.49,3427006
2026-06-22,71.49,71.49,71.49,71.49,0
2026-06-23,68.56,69.37,68.01,68.6,1519250
2026-06-24,68.6,70.9,68.5,69.85,3193115
2026-06-25,69.85,70.4,68.58,69.05,1398171
2026-06-28,69.05,69.67,67.69,67.8,1006283
2026-06-29,67.8,68.4,66.66,66.9,1004557
2026-06-30,66.9,67.99,67.04,67.6,809435
2026-07-01,67.6,69.19,67.73,67.97,1477849
2026-07-05,67.97,69.75,68.2,69.7,1642001
2026-07-06,69.7,70.34,69.27,69.7,1384305
2026-07-07,69.7,71.0,69.52,69.72,2418900
2026-07-08,69.72,71.75,69.7,71.3,4243181
2026-07-09,71.3,71.8,69.77,70.03,2211253
2026-07-12,70.03,71.0,69.53,69.6,1422900
2026-07-13,69.6,70.3,69.01,69.05,1610005
2026-07-14,69.05,73.39,69.88,73.31,6632099
2026-07-15,73.31,73.75,72.0,72.0,3372265
2026-07-16,72.0,73.7,71.81,73.7,2725597
2026-07-19,73.7,75.59,74.01,74.61,2474822
2026-07-20,74.61,74.99,72.73,72.89,1855072
2026-07-21,72.89,72.99,71.0,72.87,1197152
2026-07-22,72.87,73.95,71.8,72.3,1267328
2026-07-26,72.3,72.9,70.71,70.88,3336318
2026-07-27,70.88,71.9,70.6,71.45,946581
2026-07-28,71.45,72.29,70.88,71.52,978286
2026-07-29,71.52,71.89,71.2,71.32,446962
2026-07-30,71.32,73.29,70.9,73.0,2221116
2026-08-02,73.0,74.83,73.6,74.48,1492657
2026-08-03,74.48,74.45,72.0,72.12,2124377
2026-08-04,72.12,74.1,72.9,73.18,1849043
2026-08-05,73.18,74.63,72.91,74.0,1806239
2026-08-06,74.0,75.0,73.72,74.2,1193445
2026-08-09,74.2,74.2,74.2,74.2,0
2026-08-10,74.2,74.2,74.2,74.2,0
2026-08-11,73.65,74.87,73.2,74.6,1244618
2026-08-12,74.6,75.57,74.61,75.07,1589292
2026-08-13,75.07,78.0,75.1,77.9,2936396
