date,open,high,low,close,volume
2025-07-10,30.86,32.2,30.75,30.96,87599
2025-07-13,30.96,32.0,30.63,31.2,159106
2025-07-14,31.2,32.72,30.7,31.16,389007
2025-07-15,31.16,31.67,30.7,30.95,202770
2025-07-16,30.95,31.42,30.53,30.97,107594
2025-07-17,30.97,31.95,30.61,31.07,106501
2025-07-20,31.07,31.6,30.81,30.98,99413
2025-07-21,30.98,31.75,30.91,30.99,55342
2025-07-22,30.99,31.6,30.35,30.53,47603
2025-07-23,30.53,30.53,30.53,30.53,0
2025-07-27,30.16,30.48,29.71,30.05,53821
2025-07-28,30.05,30.25,29.6,29.87,37764
2025-07-29,29.87,30.24,29.65,29.73,45341
2025-07-30,29.73,30.19,29.12,29.27,40021
2025-07-31,29.27,30.1,29.0,29.32,62267
2025-08-03,29.32,29.32,29.32,29.32,0
2025-08-04,29.32,29.32,29.32,29.32,0
2025-08-05,29.32,29.32,29.32,29.32,0
2025-08-06,29.32,29.32,29.32,29.32,0
2025-08-07,29.32,29.32,29.32,29.32,0
2025-08-10,31.67,32.6,31.1,31.18,231177
2025-08-11,31.18,31.7,30.45,30.48,90159
2025-08-12,30.48,31.55,30.41,30.79,116600
2025-08-13,30.79,31.0,30.36,30.46,69068
2025-08-14,30.46,31.99,30.4,30.88,226665
2025-08-17,30.88,31.4,30.82,31.3,103180
2025-08-18,31.3,32.44,31.11,31.18,220158
2025-08-19,31.18,31.9,31.31,31.57,71390
2025-08-20,31.57,31.83,31.03,31.45,56844
2025-08-21,31.45,31.54,31.3,31.46,68429
2025-08-24,31.46,31.82,31.25,31.49,32728
2025-08-25,31.49,33.33,31.4,33.18,483851
2025-08-26,33.18,34.47,32.71,32.85,463033
2025-08-27,32.85,37.5,32.44,35.99,629302
2025-08-28,35.99,43.18,35.0,43.18,962914
2025-08-31,43.18,51.81,45.01,51.81,1276719
2025-09-01,51.81,62.17,46.0,48.0,1948303
2025-09-02,48.0,57.6,46.01,57.6,1969942
2025-09-03,57.6,68.5,58.04,65.05,2325481
2025-09-07,65.05,66.0,58.01,58.25,624806
2025-09-08,58.25,69.12,55.66,69.02,1740356
2025-09-09,69.02,72.99,63.61,68.5,756295
2025-09-10,68.5,71.7,65.12,67.0,1183465
2025-09-11,67.0,68.7,64.5,65.0,401141
2025-09-14,65.0,69.19,65.0,65.95,771084
2025-09-15,65.95,67.89,63.1,63.27,279305
2025-09-16,63.27,64.6,58.0,59.12,300547
2025-09-17,59.12,64.0,59.0,64.0,491745
2025-09-18,64.0,64.84,61.2,62.88,206654
2025-09-21,62.88,64.5,59.55,59.77,323576
2025-09-22,59.77,61.55,59.0,59.06,106595
2025-09-23,59.06,65.94,59.2,61.99,903323
2025-09-24,61.99,63.5,60.5,60.64,164219
2025-09-25,60.64,62.21,60.5,60.54,139249
2025-09-28,60.54,61.54,59.7,60.0,106422
2025-09-29,60.0,60.85,57.02,58.16,138547
2025-09-30,58.16,59.4,55.23,55.6,184103
2025-10-01,55.6,58.0,55.53,55.82,153630
2025-10-02,55.82,57.0,55.7,55.95,66803
2025-10-05,55.95,59.8,55.8,57.77,362723
2025-10-06,57.77,58.79,56.32,56.37,131089
2025-10-07,56.37,57.69,56.26,56.6,94500
2025-10-08,56.6,59.99,56.5,57.61,527641
2025-10-12,57.61,60.99,58.0,60.99,627422
2025-10-13,60.99,63.74,61.55,61.65,622247
2025-10-14,61.65,70.85,61.65,66.76,1853902
2025-10-15,66.76,69.3,63.4,64.51,807875
2025-10-16,64.51,69.69,65.0,65.66,894467
2025-10-19,65.66,67.3,65.15,65.83,286069
2025-10-20,65.83,72.1,65.83,70.21,1402240
2025-10-21,70.21,82.82,71.8,80.0,1988308
2025-10-22,80.0,83.8,75.5,75.5,1013630
2025-10-23,75.5,77.79,73.12,73.25,293230
2025-10-26,73.25,76.79,73.0,73.71,263505
2025-10-27,73.71,77.8,74.07,75.01,511552
2025-10-28,75.01,76.39,70.99,72.45,135321
2025-10-29,72.45,73.39,71.03,71.58,124215
2025-10-30,71.58,73.7,71.55,71.62,135770
2025-11-02,71.62,72.95,68.6,68.62,177889
2025-11-03,68.62,77.0,67.12,75.08,786750
2025-11-04,75.08,76.5,71.6,72.06,376953
2025-11-05,72.06,74.35,71.61,71.91,120323
2025-11-06,71.91,73.25,69.02,70.03,110525
2025-11-09,70.03,71.44,69.0,69.23,87367
2025-11-10,69.23,73.49,69.0,69.61,238382
2025-11-11,69.61,71.0,69.0,69.04,94196
2025-11-12,69.04,69.99,69.01,69.03,96071
2025-11-13,69.03,72.38,69.1,70.39,238746
2025-11-16,70.39,71.79,69.67,69.72,57880
2025-11-17,69.72,72.99,69.8,70.89,189515
2025-11-18,70.89,72.25,68.3,68.66,126426
2025-11-19,68.66,69.25,66.92,67.15,142790
2025-11-20,67.15,70.0,67.1,67.16,137267
2025-11-23,67.16,68.39,65.0,65.09,87227
