date,open,high,low,close,volume
2025-07-10,33.87,34.45,33.6,33.99,315410
2025-07-13,33.99,35.35,33.9,34.98,204502
2025-07-14,34.98,36.0,34.7,34.86,836737
2025-07-15,34.86,35.3,34.5,34.66,167772
2025-07-16,34.66,34.9,33.0,33.87,210052
2025-07-17,33.87,34.89,32.66,32.86,514989
2025-07-20,32.86,34.89,32.81,33.39,890374
2025-07-21,33.39,33.99,32.9,33.5,255406
2025-07-22,33.5,35.88,33.61,35.51,2216102
2025-07-23,35.51,35.51,35.51,35.51,0
2025-07-27,36.92,37.99,36.83,36.98,512293
2025-07-28,36.98,37.0,35.9,36.5,723275
2025-07-29,36.5,36.97,36.3,36.5,172348
2025-07-30,36.5,39.24,36.5,38.0,770068
2025-07-31,38.0,39.84,38.2,39.03,1089647
2025-08-03,39.03,39.03,39.03,39.03,0
2025-08-04,39.03,39.03,39.03,39.03,0
2025-08-05,39.03,39.03,39.03,39.03,0
2025-08-06,39.03,39.03,39.03,39.03,0
2025-08-07,39.03,39.03,39.03,39.03,0
2025-08-10,38.5,39.1,37.5,38.95,618297
2025-08-11,38.95,39.2,38.7,38.99,148953
2025-08-12,38.99,39.2,38.9,39.0,399778
2025-08-13,39.0,40.49,38.92,39.08,129690
2025-08-14,39.08,43.0,39.5,40.91,787105
2025-08-17,40.91,42.48,41.16,41.47,75575
2025-08-18,41.47,43.9,41.37,43.8,521142
2025-08-19,43.8,48.89,42.8,45.73,1077287
2025-08-20,45.73,47.39,42.11,43.0,1815485
2025-08-21,43.0,43.7,41.77,41.93,388208
2025-08-24,41.93,42.9,41.37,41.37,468429
2025-08-25,41.37,42.33,41.41,41.76,342288
2025-08-26,41.76,42.0,40.0,40.45,163433
2025-08-27,40.45,41.0,39.6,40.17,281409
2025-08-28,40.17,41.6,40.15,40.71,248019
2025-08-31,40.71,41.28,39.0,39.1,390990
2025-09-01,39.1,40.18,39.01,39.11,163778
2025-09-02,39.11,39.68,39.05,39.1,48930
2025-09-03,39.1,39.5,38.02,38.15,101342
2025-09-07,38.15,38.64,36.5,37.0,151720
2025-09-08,37.0,37.2,36.52,36.99,485911
2025-09-09,36.99,39.5,36.6,38.04,631041
2025-09-10,38.04,39.0,37.66,38.03,275096
2025-09-11,38.03,39.4,38.07,38.63,471136
2025-09-14,38.63,39.12,38.51,39.0,212755
2025-09-15,39.0,40.77,39.01,40.15,669302
2025-09-16,40.15,41.06,37.99,38.9,383577
2025-09-17,38.9,39.4,38.01,38.35,85901
2025-09-18,38.35,39.2,37.25,37.25,162573
2025-09-21,37.25,38.0,37.36,37.5,125290
2025-09-22,37.5,38.5,37.5,37.52,143705
2025-09-23,37.52,37.98,35.01,37.0,176419
2025-09-24,37.0,37.39,36.4,36.85,208003
2025-09-25,36.85,38.7,37.0,38.7,300539
2025-09-28,38.7,39.0,38.2,38.53,142566
2025-09-29,38.53,39.48,38.23,39.0,188305
2025-09-30,39.0,39.7,38.57,38.67,278600
2025-10-01,38.67,39.3,38.03,38.5,187391
2025-10-02,38.5,39.0,38.29,38.44,134972
2025-10-05,38.44,41.4,38.7,39.0,722008
2025-10-06,39.0,39.54,38.7,38.95,155827
2025-10-07,38.95,39.47,38.9,39.29,153116
2025-10-08,39.29,40.0,39.3,39.75,212268
2025-10-12,39.75,47.7,40.11,47.7,3766781
2025-10-13,47.7,54.95,48.75,49.23,3928197
2025-10-14,49.23,51.0,46.25,47.44,1167545
2025-10-15,47.44,49.25,46.01,48.2,7428780
2025-10-16,48.2,49.4,46.9,47.3,2111530
2025-10-19,47.3,48.0,46.65,46.8,2579802
2025-10-20,46.8,47.99,46.2,47.41,2407406
2025-10-21,47.41,47.95,46.6,46.7,1303832
2025-10-22,46.7,47.39,46.42,46.72,938768
2025-10-23,46.72,48.48,46.75,47.4,3165584
2025-10-26,47.4,49.0,47.54,48.0,2369919
2025-10-27,48.0,48.48,47.0,47.1,490240
2025-10-28,47.1,47.5,46.55,47.0,347443
2025-10-29,47.0,47.89,46.9,47.0,250926
2025-10-30,47.0,47.68,46.43,46.44,556383
2025-11-02,46.44,46.95,44.75,45.39,355141
2025-11-03,45.39,46.55,44.13,46.51,319625
2025-11-04,46.51,47.4,46.6,46.6,842093
2025-11-05,46.6,47.1,44.92,45.25,837415
2025-11-06,45.25,46.45,44.94,45.28,791154
2025-11-09,45.28,47.5,45.59,47.5,403885
2025-11-10,47.5,49.29,47.5,48.52,1429713
2025-11-11,48.52,49.0,47.7,48.5,447843
2025-11-12,48.5,58.2,48.5,55.02,3596313
2025-11-13,55.02,60.4,52.59,53.0,4269435
2025-11-16,53.0,54.0,52.02,52.5,832781
2025-11-17,52.5,54.4,52.13,52.9,966064
2025-11-18,52.9,53.87,51.01,51.01,478212
2025-11-19,51.01,52.25,50.25,50.75,601357
2025-11-20,50.75,52.74,51.0,51.01,1197336
2025-11-23,51.01,52.15,51.03,51.33,403459
2025-11-24,51.33,51.81,50.28,50.28,259015
2025-11-25,50.28,50.76,48.76,49.6,363899
2025-11-26,49.6,50.96,48.65,48.67,438112
2025-11-27,48.67,51.0,48.66,51.0,1277993
2025-11-30,51.0,51.99,50.82,51.8,380990
2025-12-01,51.8,51.98,51.02,51.2,176673
2025-12-02,51.2,51.6,50.56,51.49,898196
2025-12-03,51.49,54.33,51.52,51.68,1532057
2025-12-04,51.68,52.39,50.7,50.8,729298
2025-12-07,50.8,51.87,50.51,50.82,304731
2025-12-08,50.82,52.0,51.0,51.16,318847
2025-12-09,51.16,51.98,51.18,51.86,295514
2025-12-10,51.86,52.52,51.86,52.09,508189
2025-12-11,52.09,52.98,51.5,51.54,697872
2025-12-14,51.54,51.96,51.3,51.38,367584
2025-12-15,51.38,51.8,51.09,51.14,571720
2025-12-16,51.14,51.47,50.7,50.9,302864
2025-12-17,50.9,51.45,50.6,50.6,429023
2025-12-18,50.6,51.0,50.3,50.35,540386
2025-12-21,50.35,51.44,50.4,50.59,488243
2025-12-22,50.59,49.23,47.72,48.8,510517
2025-12-23,48.8,49.51,48.6,49.08,274458
2025-12-24,49.08,49.46,48.9,49.07,220490
2025-12-25,49.07,49.2,48.5,48.73,186220
2025-12-28,48.73,49.35,48.5,48.97,440033
2025-12-29,48.97,50.5,49.0,50.49,636084
2025-12-30,50.49,51.18,50.5,50.91,312312
2025-12-31,50.91,51.15,49.71,50.8,394985
2026-01-04,50.8,51.19,50.01,50.16,370321
2026-01-05,50.16,50.4,48.56,48.97,440818
2026-01-06,48.97,50.19,48.95,50.0,271459
2026-01-08,50.0,50.1,49.01,49.07,257769
2026-01-11,49.07,49.79,49.03,49.09,270580
2026-01-12,49.09,49.5,48.75,48.75,227873
2026-01-13,48.75,49.0,47.5,47.53,292433
2026-01-14,47.53,47.65,45.0,45.98,562931
2026-01-15,45.98,46.5,45.3,45.4,275669
2026-01-18,45.4,47.24,45.52,47.13,347972
2026-01-19,47.13,47.88,47.03,47.65,250069
2026-01-20,47.65,48.24,46.5,46.89,310357
2026-01-21,46.89,49.0,46.1,48.35,1463983
2026-01-22,48.35,48.98,48.0,48.0,408960
2026-01-25,48.0,49.47,48.0,48.04,596444
2026-01-26,48.04,48.38,47.03,47.35,257697
2026-01-27,47.35,48.0,47.06,47.18,211090
2026-01-28,47.18,47.5,46.31,46.4,411024
2026-02-01,46.4,47.5,46.5,46.73,335728
2026-02-02,46.73,47.0,46.41,46.44,404079
2026-02-03,46.44,47.0,46.43,46.89,505893
2026-02-04,46.89,47.39,46.6,47.0,609295
2026-02-05,47.0,47.24,46.6,46.7,233576
2026-02-08,46.7,49.45,46.8,48.49,2032605
2026-02-09,48.49,49.29,47.67,47.94,1028168
2026-02-10,47.94,48.35,47.6,47.79,249465
2026-02-11,47.79,47.95,47.4,47.52,205423
2026-02-12,47.52,48.5,47.26,48.04,389133
2026-02-15,48.04,49.65,48.5,49.15,1584986
2026-02-16,49.15,52.11,49.26,51.02,2613636
2026-02-17,51.02,52.5,50.4,51.8,1667107
2026-02-18,51.8,52.3,51.26,51.9,1006941
2026-02-19,51.9,52.2,49.54,49.9,407369
2026-02-22,49.9,50.5,48.02,48.39,496634
2026-02-23,48.39,49.85,48.4,49.78,285492
2026-02-24,49.78,50.2,49.01,50.11,287577
