date,open,high,low,close,volume
2025-07-10,35.05,35.8,34.9,34.9,204633
2025-07-13,34.9,35.49,34.6,34.82,137051
2025-07-14,34.82,35.27,34.72,34.83,97030
2025-07-15,34.83,35.7,34.63,35.35,195360
2025-07-16,35.35,36.54,35.5,35.95,442254
2025-07-17,35.95,36.87,35.56,35.57,236885
2025-07-20,35.57,36.0,35.07,35.33,117285
2025-07-21,35.33,35.94,34.88,35.13,140882
2025-07-22,35.13,35.5,34.61,34.95,93998
2025-07-23,34.95,34.95,34.95,34.95,0
2025-07-27,34.7,35.7,34.43,35.53,156434
2025-07-28,35.53,36.24,35.05,35.11,249790
2025-07-29,35.11,35.43,34.57,35.06,119293
2025-07-30,35.06,35.65,33.0,33.24,218106
2025-07-31,33.24,35.59,33.64,34.81,235841
2025-08-03,34.81,34.81,34.81,34.81,0
2025-08-04,34.81,34.81,34.81,34.81,0
2025-08-05,34.81,34.81,34.81,34.81,0
2025-08-06,34.81,34.81,34.81,34.81,0
2025-08-07,34.81,34.81,34.81,34.81,0
2025-08-10,34.51,35.0,34.52,34.75,51468
2025-08-11,34.75,35.8,34.57,35.06,296820
2025-08-12,35.06,35.86,35.27,35.32,127398
2025-08-13,35.32,35.45,35.0,35.29,86424
2025-08-14,35.29,39.0,35.2,37.56,2742747
2025-08-17,37.56,38.44,37.4,37.71,589829
2025-08-18,37.71,39.22,37.7,38.05,1266256
2025-08-19,38.05,38.42,37.73,37.88,380255
2025-08-20,37.88,38.5,37.34,37.4,298862
2025-08-21,37.4,37.8,36.56,36.56,363575
2025-08-24,36.56,37.0,36.25,36.34,111989
2025-08-25,36.34,36.95,36.1,36.11,155712
2025-08-26,36.11,36.45,35.66,35.86,188461
2025-08-27,35.86,37.37,35.57,36.76,179920
2025-08-28,36.76,36.99,36.35,36.48,154078
2025-08-31,36.48,37.19,36.27,36.3,182005
2025-09-01,36.3,38.4,36.36,38.22,670712
2025-09-02,38.22,39.0,37.93,38.34,454633
2025-09-03,38.34,38.79,37.82,37.83,142154
2025-09-07,37.83,38.7,37.83,38.14,103869
2025-09-08,38.14,42.89,38.0,40.7,3158710
2025-09-09,40.7,42.25,39.8,40.01,948880
2025-09-10,40.01,41.5,39.81,40.97,310250
2025-09-11,40.97,41.3,40.0,40.89,656561
2025-09-14,40.89,42.79,40.52,41.65,1037991
2025-09-15,41.65,42.25,41.05,41.89,448402
2025-09-16,41.89,42.0,39.67,40.14,531303
2025-09-17,40.14,40.59,39.29,40.39,147439
2025-09-18,40.39,41.4,39.86,39.94,223731
2025-09-21,39.94,41.3,39.8,40.03,520626
2025-09-22,40.03,40.33,38.62,38.86,185730
2025-09-23,38.86,39.49,38.23,38.55,95165
2025-09-24,38.55,39.89,38.55,39.49,115876
2025-09-25,39.49,41.95,40.15,40.22,467486
2025-09-28,40.22,42.69,40.92,42.02,998800
2025-09-29,42.02,42.73,41.92,42.03,313249
2025-09-30,42.03,42.4,41.51,41.71,278812
2025-10-01,41.71,44.39,41.77,42.5,1650632
2025-10-02,42.5,44.0,42.5,42.95,905083
2025-10-05,42.95,44.5,42.86,44.3,561599
2025-10-06,44.3,45.45,43.95,44.15,1217653
2025-10-07,44.15,44.45,43.54,44.0,247175
2025-10-08,44.0,44.15,43.66,44.12,226605
2025-10-12,44.12,44.65,43.5,44.17,179285
2025-10-13,44.17,47.4,44.01,46.48,1522933
2025-10-14,46.48,46.73,45.21,46.63,494389
2025-10-15,46.63,47.35,46.03,46.84,446130
2025-10-16,46.84,46.98,46.04,46.05,324187
2025-10-19,46.05,48.36,46.05,47.38,890008
2025-10-20,47.38,48.2,47.06,47.76,492630
2025-10-21,47.76,49.23,47.7,49.0,899799
2025-10-22,49.0,49.86,48.7,49.5,429939
2025-10-23,49.5,50.51,49.04,50.46,821657
2025-10-26,50.46,53.85,50.5,52.64,441110
2025-10-27,52.64,52.98,49.56,51.8,690301
2025-10-28,51.8,51.5,49.22,50.25,397555
2025-10-29,50.25,50.94,48.17,48.17,706521
2025-10-30,48.17,48.98,48.01,48.2,527208
2025-11-02,48.2,48.8,47.53,47.9,304304
2025-11-03,47.9,48.7,47.85,48.24,154711
2025-11-04,48.24,49.3,47.36,47.36,649084
2025-11-05,47.36,47.85,45.55,45.8,332587
2025-11-06,45.8,47.19,45.5,46.89,411125
2025-11-09,46.89,47.55,46.28,46.71,670647
2025-11-10,46.71,46.98,45.75,46.1,134203
2025-11-11,46.1,46.35,45.15,45.42,266923
2025-11-12,45.42,46.0,45.06,45.84,217179
2025-11-13,45.84,46.19,45.3,45.72,79300
2025-11-16,45.72,47.3,45.1,46.7,358121
2025-11-17,46.7,47.69,46.81,47.55,398064
2025-11-18,47.55,47.8,45.61,45.77,261618
2025-11-19,45.77,47.24,45.52,47.17,226939
2025-11-20,47.17,48.35,47.02,48.0,612822
2025-11-23,48.0,48.53,47.71,48.14,314610
2025-11-24,48.14,48.61,47.8,48.47,705018
2025-11-25,48.47,49.3,47.4,48.79,985994
2025-11-26,48.79,48.67,46.7,46.83,291837
2025-11-27,46.83,47.3,46.12,46.12,130079
2025-11-30,46.12,47.79,45.5,45.5,337922
2025-12-01,45.5,46.69,45.05,45.75,324119
2025-12-02,45.75,46.28,45.3,45.34,238730
2025-12-03,45.34,46.96,45.39,46.5,387132
2025-12-04,46.5,46.85,45.52,45.52,212939
