date,open,high,low,close,volume
2025-07-10,0.286,0.289,0.286,0.287,18699829
2025-07-13,0.287,0.289,0.283,0.283,19275058
2025-07-14,0.283,0.292,0.28,0.289,58537898
2025-07-15,0.289,0.292,0.287,0.287,37333703
2025-07-16,0.287,0.289,0.282,0.282,28999029
2025-07-17,0.282,0.285,0.281,0.283,19672926
2025-07-20,0.283,0.288,0.284,0.285,26378950
2025-07-21,0.285,0.287,0.282,0.282,28163788
2025-07-22,0.282,0.284,0.278,0.279,36139934
2025-07-23,0.279,0.279,0.279,0.279,0
2025-07-27,0.277,0.281,0.277,0.279,30345860
2025-07-28,0.279,0.28,0.273,0.274,22727947
2025-07-29,0.274,0.284,0.273,0.28,34638290
2025-07-30,0.28,0.307,0.284,0.287,253277466
2025-07-31,0.287,0.294,0.283,0.293,64434808
2025-08-03,0.293,0.293,0.293,0.293,0
2025-08-04,0.293,0.293,0.293,0.293,0
2025-08-05,0.293,0.293,0.293,0.293,0
2025-08-06,0.293,0.293,0.293,0.293,0
2025-08-07,0.293,0.293,0.293,0.293,0
2025-08-10,0.306,0.31,0.304,0.306,32574719
2025-08-11,0.306,0.308,0.3,0.302,41839373
2025-08-12,0.302,0.315,0.3,0.315,77408820
2025-08-13,0.315,0.324,0.309,0.312,139428852
2025-08-14,0.312,0.316,0.309,0.311,61678582
2025-08-17,0.311,0.321,0.311,0.317,79311255
2025-08-18,0.317,0.321,0.314,0.315,53566788
2025-08-19,0.315,0.318,0.312,0.314,40439830
2025-08-20,0.314,0.318,0.305,0.306,51445465
2025-08-21,0.306,0.309,0.304,0.305,29491981
2025-08-24,0.305,0.31,0.305,0.307,20271328
2025-08-25,0.307,0.31,0.301,0.305,30641018
2025-08-26,0.305,0.319,0.303,0.314,73890627
2025-08-27,0.314,0.319,0.307,0.309,64297467
2025-08-28,0.309,0.319,0.31,0.315,40113538
2025-08-31,0.315,0.319,0.305,0.305,27633897
2025-09-01,0.305,0.308,0.304,0.307,15038710
2025-09-02,0.307,0.315,0.306,0.314,29140461
2025-09-03,0.314,0.316,0.307,0.311,32670240
2025-09-07,0.311,0.314,0.308,0.308,13644456
2025-09-08,0.308,0.311,0.306,0.307,21639153
2025-09-09,0.307,0.317,0.306,0.308,64519884
2025-09-10,0.308,0.31,0.306,0.309,19396970
