date,open,high,low,close,volume
2025-07-10,42.07,42.9,41.02,41.24,128708
2025-07-13,41.24,41.65,40.0,40.21,53855
2025-07-14,40.21,44.94,41.0,42.62,491826
2025-07-15,42.62,43.99,41.5,41.76,124149
2025-07-16,41.76,42.3,40.56,41.4,110599
2025-07-17,41.4,43.64,41.11,41.98,264510
2025-07-20,41.98,44.5,42.05,44.3,334099
2025-07-21,44.3,46.89,44.13,44.13,473934
2025-07-22,44.13,45.4,43.9,44.4,202911
2025-07-23,44.4,44.4,44.4,44.4,0
2025-07-27,44.22,45.4,44.01,44.16,148484
2025-07-28,44.16,44.75,42.8,42.86,116698
2025-07-29,42.86,44.4,43.0,43.89,110669
2025-07-30,43.89,44.4,42.5,42.59,100717
2025-07-31,42.59,43.5,42.6,43.02,42619
2025-08-03,43.02,43.02,43.02,43.02,0
2025-08-04,43.02,43.02,43.02,43.02,0
2025-08-05,43.02,43.02,43.02,43.02,0
2025-08-06,43.02,43.02,43.02,43.02,0
2025-08-07,43.02,43.02,43.02,43.02,0
2025-08-10,48.35,48.95,47.7,47.76,138470
2025-08-11,47.76,48.1,46.08,46.26,152198
2025-08-12,46.26,48.8,46.1,47.08,218601
2025-08-13,47.08,47.84,46.3,46.31,136212
2025-08-14,46.31,49.65,46.25,48.48,412229
2025-08-17,48.48,52.89,48.03,52.46,670397
2025-08-18,52.46,54.89,52.31,53.0,642391
2025-08-19,53.0,54.4,52.02,52.05,185432
2025-08-20,52.05,52.75,50.75,51.0,131452
2025-08-21,51.0,54.0,50.7,53.0,301731
2025-08-24,53.0,55.6,53.11,54.98,223095
2025-08-25,54.98,56.9,54.43,54.43,268354
2025-08-26,54.43,54.99,52.1,52.47,130080
2025-08-27,52.47,54.98,52.5,54.91,274572
2025-08-28,54.91,56.25,54.27,54.93,272871
2025-08-31,54.93,55.94,52.85,53.07,154511
2025-09-01,53.07,54.9,52.47,54.03,193350
2025-09-02,54.03,56.6,54.2,55.78,280759
2025-09-03,55.78,57.49,55.88,56.82,299168
2025-09-07,56.82,68.18,57.58,68.18,939950
2025-09-08,68.18,81.5,68.07,68.4,1280653
2025-09-09,68.4,71.99,65.0,65.93,487635
2025-09-10,65.93,70.85,66.0,67.9,403461
2025-09-11,67.9,69.51,65.5,65.94,134132
2025-09-14,65.94,71.92,65.52,68.01,614124
2025-09-15,68.01,69.95,66.01,68.0,256895
2025-09-16,68.0,68.98,64.32,64.88,173916
2025-09-17,64.88,65.25,62.27,63.62,160319
2025-09-18,63.62,66.47,63.16,63.63,255156
2025-09-21,63.63,64.78,62.0,62.23,91448
2025-09-22,62.23,64.6,61.9,62.74,270843
2025-09-23,62.74,63.49,60.5,60.81,152055
2025-09-24,60.81,63.0,60.4,61.43,144328
2025-09-25,61.43,64.3,61.45,62.85,288881
2025-09-28,62.85,64.0,61.42,62.06,67566
2025-09-29,62.06,64.1,62.12,63.05,173566
2025-09-30,63.05,63.7,62.02,62.14,78291
2025-10-01,62.14,62.95,61.9,62.07,60448
2025-10-02,62.07,62.8,61.8,62.21,33136
2025-10-05,62.21,62.85,62.01,62.05,55776
2025-10-06,62.05,62.46,61.92,61.96,41030
2025-10-07,61.96,63.9,56.0,62.43,328700
2025-10-08,62.43,67.9,63.01,64.99,1017146
2025-10-12,64.99,65.5,63.1,64.03,122275
2025-10-13,64.03,65.4,62.0,63.98,118205
2025-10-14,63.98,66.38,63.32,63.76,215227
2025-10-15,63.76,65.9,64.15,64.51,137715
2025-10-16,64.51,67.48,65.0,65.08,319766
2025-10-19,65.08,66.44,65.08,65.28,72539
2025-10-20,65.28,70.64,65.3,68.46,925087
2025-10-21,68.46,73.0,67.7,71.51,682566
2025-10-22,71.51,72.99,70.8,71.0,268707
2025-10-23,71.0,71.76,69.6,69.83,112356
2025-10-26,69.83,71.0,66.1,70.22,227304
2025-10-27,70.22,76.52,70.6,73.63,760479
2025-10-28,73.63,74.36,70.7,72.0,169655
2025-10-29,72.0,72.8,70.8,71.35,80942
2025-10-30,71.35,73.5,71.0,71.28,185688
2025-11-02,71.28,71.9,69.5,70.03,149301
2025-11-03,70.03,72.8,69.7,71.09,191505
2025-11-04,71.09,71.98,70.0,70.02,100986
2025-11-05,70.02,70.95,66.3,68.42,100864
2025-11-06,68.42,69.89,66.5,67.06,103799
2025-11-09,67.06,70.0,67.35,68.21,83746
2025-11-10,68.21,70.69,67.1,68.99,231099
2025-11-11,68.99,71.5,68.68,69.18,135818
2025-11-12,69.18,70.58,68.71,68.99,47836
2025-11-13,68.99,70.49,66.1,67.45,144984
2025-11-16,67.45,68.0,67.0,67.33,57002
2025-11-17,67.33,67.93,67.0,67.02,35936
2025-11-18,67.02,67.5,66.0,66.44,42709
2025-11-19,66.44,66.75,65.0,65.9,69576
2025-11-20,65.9,66.49,64.23,65.0,42357
2025-11-23,65.0,66.66,63.64,64.0,50404
2025-11-24,64.0,64.15,62.91,63.01,56674
2025-11-25,63.01,63.45,61.0,61.71,30426
2025-11-26,61.71,63.99,61.31,62.77,46702
2025-11-27,62.77,63.5,62.0,62.39,30432
2025-11-30,62.39,64.5,62.5,62.84,22110
2025-12-01,62.84,65.68,62.55,63.0,105588
2025-12-02,63.0,63.99,62.7,63.34,22995
2025-12-03,63.34,64.5,63.02,63.89,21082
2025-12-04,63.89,64.3,63.0,63.1,17174
