date,open,high,low,close,volume
2025-07-10,84.0,84.94,83.6,84.94,2025164
2025-07-13,84.94,84.93,84.01,84.12,477977
2025-07-14,84.12,87.05,83.8,87.0,4427429
2025-07-15,87.0,89.0,86.14,89.0,3027466
2025-07-16,89.0,89.98,87.6,87.98,1853892
2025-07-17,87.98,90.0,87.55,89.98,2748573
2025-07-20,89.98,90.84,89.0,90.0,1141199
2025-07-21,90.0,91.5,90.0,91.5,3688756
2025-07-22,91.5,91.5,90.51,90.6,1773959
2025-07-23,90.6,90.6,90.6,90.6,0
2025-07-27,92.0,94.99,91.5,94.99,2469763
2025-07-28,94.99,95.0,94.45,94.9,5355639
2025-07-29,94.9,95.3,93.7,93.7,4828693
2025-07-30,93.7,94.99,93.69,94.3,2901714
2025-07-31,94.3,95.2,94.0,94.1,1849907
2025-08-03,94.1,94.1,94.1,94.1,0
2025-08-04,94.1,94.1,94.1,94.1,0
2025-08-05,94.1,94.1,94.1,94.1,0
2025-08-06,94.1,94.1,94.1,94.1,0
2025-08-07,94.1,94.1,94.1,94.1,0
2025-08-10,100.1,102.0,99.55,100.01,1100978
2025-08-11,100.01,100.89,98.81,99.0,4558835
2025-08-12,99.0,99.8,98.11,99.5,1412114
2025-08-13,99.5,99.9,98.8,99.85,1554536
2025-08-14,99.85,99.83,98.3,98.3,1200893
2025-08-17,98.3,100.0,98.2,100.0,416556
2025-08-18,100.0,101.5,99.6,99.6,5111258
2025-08-19,99.6,101.01,99.81,100.98,4961200
2025-08-20,100.98,101.11,99.1,99.51,1818139
2025-08-21,99.51,100.2,99.0,99.0,1800912
2025-08-24,99.0,99.49,98.23,98.51,644805
2025-08-25,98.51,99.4,98.52,99.02,694526
2025-08-26,99.02,100.0,97.0,97.0,12828089
2025-08-27,97.0,98.1,96.6,97.99,1341819
2025-08-28,97.99,98.98,97.0,97.13,1423537
2025-08-31,97.13,97.62,95.99,96.51,685120
2025-09-01,96.51,97.0,94.3,95.01,6492576
2025-09-02,95.01,96.0,94.6,96.0,1476015
2025-09-03,96.0,96.0,95.3,96.0,1682622
2025-09-07,96.0,96.24,94.1,94.1,401763
2025-09-08,94.1,95.98,94.16,95.88,4657495
2025-09-09,95.88,96.2,93.3,94.0,2713804
2025-09-10,94.0,95.2,93.1,94.88,911228
2025-09-11,94.88,96.0,94.06,95.99,1182237
2025-09-14,95.99,97.0,95.97,96.5,1147803
