date,open,high,low,close,volume
2025-07-10,32.05,32.49,31.53,31.55,486454
2025-07-13,31.55,31.74,30.9,30.96,277372
2025-07-14,30.96,32.0,30.9,31.94,424909
2025-07-15,31.94,31.99,31.3,31.45,248032
2025-07-16,31.45,31.79,30.72,30.83,357589
2025-07-17,30.83,32.3,30.75,31.31,937926
2025-07-20,31.31,31.9,31.45,31.51,256845
2025-07-21,31.51,31.89,31.25,31.28,309369
2025-07-22,31.28,32.0,31.0,31.36,743686
2025-07-23,31.36,31.36,31.36,31.36,0
2025-07-27,31.32,31.75,31.23,31.31,343978
2025-07-28,31.31,31.73,31.0,31.05,626127
2025-07-29,31.05,31.2,30.25,30.7,373931
2025-07-30,30.7,31.12,29.61,29.75,248111
2025-07-31,29.75,30.5,29.05,29.17,356809
2025-08-03,29.17,29.17,29.17,29.17,0
2025-08-04,29.17,29.17,29.17,29.17,0
2025-08-05,29.17,29.17,29.17,29.17,0
2025-08-06,29.17,29.17,29.17,29.17,0
2025-08-07,29.17,29.17,29.17,29.17,0
2025-08-10,28.89,29.48,28.85,28.98,341606
2025-08-11,28.98,32.75,30.02,30.76,2787948
2025-08-12,30.76,30.95,29.91,30.03,523256
2025-08-13,30.03,30.3,29.47,29.5,402093
2025-08-14,29.5,29.8,29.11,29.35,257000
2025-08-17,29.35,30.49,29.3,30.01,369061
2025-08-18,30.01,30.5,30.13,30.21,201534
2025-08-19,30.21,30.4,30.0,30.07,149031
2025-08-20,30.07,30.4,29.26,29.29,385208
2025-08-21,29.29,29.8,29.0,29.0,217678
2025-08-24,29.0,29.6,28.85,28.87,497789
2025-08-25,28.87,29.1,28.67,28.73,237923
2025-08-26,28.73,29.4,28.7,29.05,367385
2025-08-27,29.05,29.35,28.9,29.3,144888
2025-08-28,29.3,29.33,29.01,29.03,77330
2025-08-31,29.03,29.6,29.04,29.35,185825
2025-09-01,29.35,31.75,29.1,31.09,1116682
2025-09-02,31.09,32.3,31.1,31.5,2005826
2025-09-03,31.5,31.94,30.72,30.73,349109
2025-09-07,30.73,31.0,29.65,29.72,383192
2025-09-08,29.72,30.48,29.74,29.83,221094
2025-09-09,29.83,30.28,29.69,29.71,228304
2025-09-10,29.71,30.0,29.55,29.68,92091
2025-09-11,29.68,30.14,29.51,29.53,136747
2025-09-14,29.53,30.1,29.6,29.83,116333
2025-09-15,29.83,30.19,29.6,29.6,134370
2025-09-16,29.6,29.8,28.4,28.63,287640
2025-09-17,28.63,28.91,28.32,28.58,99163
2025-09-18,28.58,29.15,28.56,28.82,104225
2025-09-21,28.82,29.0,28.0,28.0,297382
2025-09-22,28.0,28.38,27.3,27.61,211130
2025-09-23,27.61,27.99,26.47,26.82,462934
2025-09-24,26.82,28.12,26.95,28.1,365828
2025-09-25,28.1,28.2,27.8,27.9,231597
2025-09-28,27.9,28.57,28.22,28.52,358957
2025-09-29,28.52,29.69,28.55,28.9,544443
2025-09-30,28.9,29.48,28.92,29.01,182387
2025-10-01,29.01,29.3,28.55,28.6,175903
2025-10-02,28.6,29.4,28.5,29.33,246750
2025-10-05,29.33,30.47,29.4,29.99,804732
2025-10-06,29.99,30.4,29.7,29.87,134352
2025-10-07,29.87,30.0,29.41,29.47,233936
2025-10-08,29.47,29.58,28.85,29.17,200018
2025-10-12,29.17,30.9,29.5,30.54,788679
2025-10-13,30.54,31.4,30.7,30.81,564240
2025-10-14,30.81,31.4,30.9,30.92,279966
2025-10-15,30.92,31.2,30.71,30.73,142386
2025-10-16,30.73,30.9,30.6,30.65,135323
2025-10-19,30.65,31.47,30.6,31.35,194234
2025-10-20,31.35,34.4,31.5,33.39,5011034
2025-10-21,33.39,35.7,33.46,34.7,2581792
2025-10-22,34.7,36.5,32.75,33.0,2036007
2025-10-23,33.0,33.39,32.05,32.26,992516
2025-10-26,32.26,33.95,32.3,33.43,1347297
2025-10-27,33.43,34.04,33.11,33.2,641300
2025-10-28,33.2,33.77,33.01,33.12,253859
2025-10-29,33.12,33.5,33.05,33.1,225259
2025-10-30,33.1,34.4,33.15,33.8,887724
2025-11-02,33.8,35.01,33.84,34.7,1718533
2025-11-03,34.7,36.5,34.6,35.75,2560389
2025-11-04,35.75,37.37,35.59,37.36,1500891
2025-11-05,37.36,37.79,35.6,35.83,1393736
2025-11-06,35.83,36.39,35.4,35.48,271265
2025-11-09,35.48,35.8,34.97,35.36,296069
2025-11-10,35.36,35.36,34.03,34.53,368893
2025-11-11,34.53,34.86,33.81,33.95,375234
2025-11-12,33.95,35.0,33.82,35.0,227879
2025-11-13,35.0,35.45,34.26,34.43,246297
2025-11-16,34.43,34.43,34.43,34.43,0
2025-11-17,34.43,34.43,34.43,34.43,0
2025-11-18,34.43,34.43,34.43,34.43,0
2025-11-19,34.43,34.43,34.43,34.43,0
2025-11-20,34.43,34.43,34.43,34.43,0
2025-11-23,34.43,36.77,34.61,34.63,1199333
2025-11-24,34.63,36.93,34.95,35.75,2741463
2025-11-25,35.75,36.18,35.08,35.5,878020
2025-11-26,35.5,35.9,34.71,34.75,272715
2025-11-27,34.75,35.25,34.62,34.8,369383
2025-11-30,34.8,35.2,34.52,34.77,229030
2025-12-01,34.77,35.2,34.4,34.86,312899
2025-12-02,34.86,35.5,35.0,35.0,351732
2025-12-03,35.0,35.35,34.34,34.38,306377
2025-12-04,34.38,34.91,33.16,33.59,550069
2025-12-07,33.59,34.89,33.7,34.69,247011
2025-12-08,34.69,35.0,34.3,34.36,268787
2025-12-09,34.36,34.73,34.12,34.38,132476
2025-12-10,34.38,35.53,34.42,34.9,500876
2025-12-11,34.9,35.25,34.56,34.71,282144
2025-12-14,34.71,35.97,34.75,35.5,798181
2025-12-15,35.5,36.39,35.7,35.82,1762381
2025-12-16,35.82,36.97,36.02,36.5,1997098
2025-12-17,36.5,37.35,36.5,37.0,1576101
2025-12-18,37.0,35.3,34.13,35.2,1905101
2025-12-21,35.2,35.4,34.01,34.3,516763
2025-12-22,34.3,37.6,34.22,35.96,2065731
2025-12-23,35.96,36.9,35.2,35.6,1075459
2025-12-24,35.6,36.0,34.61,35.0,500770
2025-12-25,35.0,35.5,34.83,34.9,202868
2025-12-28,34.9,36.0,34.65,35.48,338093
2025-12-29,35.48,35.7,35.05,35.21,182034
2025-12-30,35.21,35.6,34.14,34.49,345159
2025-12-31,34.49,34.91,34.0,34.86,209042
2026-01-04,34.86,35.0,34.0,34.3,208703
2026-01-05,34.3,34.49,32.5,32.53,317267
2026-01-06,32.53,34.9,32.7,34.3,1007269
2026-01-08,34.3,34.78,33.35,33.91,148391
2026-01-11,33.91,34.0,32.75,33.0,507998
2026-01-12,33.0,33.36,32.6,32.76,99344
2026-01-13,32.76,33.12,32.05,32.23,269802
2026-01-14,32.23,32.23,30.73,31.23,154430
2026-01-15,31.23,31.65,29.52,29.57,279168
2026-01-18,29.57,32.87,30.4,31.0,683366
2026-01-19,31.0,31.79,30.86,31.33,494557
2026-01-20,31.33,31.58,31.05,31.26,226870
2026-01-21,31.26,32.5,30.68,31.29,1082764
2026-01-22,31.29,32.11,31.29,31.5,956476
2026-01-25,31.5,32.3,31.33,31.56,537528
2026-01-26,31.56,31.97,31.01,31.13,251878
2026-01-27,31.13,31.8,31.11,31.4,329219
2026-01-28,31.4,31.75,30.11,30.86,348795
2026-02-01,30.86,31.28,30.0,30.77,239436
2026-02-02,30.77,31.69,30.6,31.4,212770
2026-02-03,31.4,33.0,31.5,32.66,793237
2026-02-04,32.66,35.0,32.72,34.0,1538696
2026-02-05,34.0,34.35,33.11,33.4,179126
2026-02-08,33.4,34.0,33.2,33.63,196248
2026-02-09,33.63,33.77,33.15,33.23,101058
2026-02-10,33.23,33.4,32.7,32.79,159831
2026-02-11,32.79,33.38,31.8,31.86,281581
2026-02-12,31.86,33.0,31.9,32.22,128217
2026-02-15,32.22,32.96,31.5,31.87,412519
2026-02-16,31.87,32.39,31.01,31.17,385664
2026-02-17,31.17,31.48,30.5,30.62,1092063
2026-02-18,30.62,31.5,30.64,30.96,1031271
2026-02-19,30.96,31.07,30.3,30.33,230914
2026-02-22,30.33,30.68,30.0,30.0,173296
2026-02-23,30.0,30.7,30.0,30.43,140501
2026-02-24,30.43,30.69,30.2,30.25,117138
2026-02-25,30.25,30.25,29.01,29.08,134575
2026-02-26,29.08,29.66,28.82,29.48,126839
2026-03-01,29.48,28.38,27.0,27.89,543461
2026-03-02,27.89,28.15,27.18,27.5,525641
2026-03-03,27.5,27.6,27.0,27.07,240953
2026-03-04,27.07,27.6,25.7,25.89,1560771
2026-03-05,25.89,27.98,26.1,26.8,1754593
2026-03-08,26.8,28.5,26.81,28.05,1604395
2026-03-09,28.05,29.69,28.3,29.13,5539088
2026-03-10,29.13,29.13,28.05,28.31,1425199
2026-03-11,28.31,29.49,28.41,29.19,2476067
2026-03-12,29.19,29.94,28.65,28.7,2546552
2026-03-15,28.7,29.9,28.33,28.33,3223710
2026-03-16,28.33,28.8,27.62,28.06,1591275
2026-03-17,28.06,28.47,27.7,27.75,1174785
2026-03-18,27.75,28.21,27.61,28.0,1015886
2026-03-19,28.0,28.0,28.0,28.0,0
2026-03-24,28.0,28.89,28.05,28.89,2096583
2026-03-25,28.89,29.35,28.83,28.87,2178883
2026-03-26,28.87,29.09,28.44,28.52,683938
2026-03-29,28.52,28.49,27.86,27.86,838914
2026-03-30,27.86,28.38,27.4,27.59,846703
2026-03-31,27.59,27.76,27.4,27.55,545486
2026-04-01,27.55,28.19,27.62,27.98,463408
2026-04-02,27.98,28.35,27.8,28.14,793059
2026-04-05,28.14,29.0,28.24,28.69,759615
2026-04-06,28.69,29.18,28.37,28.46,820773
2026-04-07,28.46,28.98,28.42,28.5,377545
2026-04-08,28.5,29.49,28.82,29.11,943729
2026-04-09,29.11,29.37,28.9,29.02,602579
2026-04-14,29.02,29.09,28.15,28.83,546226
2026-04-15,28.83,30.95,28.8,30.37,3686582
2026-04-16,30.37,31.23,30.13,30.26,1203093
2026-04-19,30.26,30.5,29.92,30.26,588522
2026-04-20,30.26,30.3,29.8,29.89,476547
2026-04-21,29.89,30.67,29.9,29.98,738695
2026-04-22,29.98,30.3,29.86,30.25,602656
2026-04-23,30.25,30.54,29.98,30.03,605235
2026-04-26,30.03,30.75,30.06,30.6,868596
2026-04-27,30.6,30.95,30.53,30.6,564106
2026-04-28,30.6,30.75,30.3,30.51,423746
2026-04-29,30.51,30.59,30.25,30.38,379218
2026-04-30,30.38,30.93,30.32,30.6,776697
2026-05-03,30.6,31.0,30.61,30.8,660890
2026-05-04,30.8,31.13,30.5,30.71,1050835
2026-05-05,30.71,30.6,30.05,30.32,436148
2026-05-06,30.32,31.5,30.5,31.5,1726469
2026-05-10,31.5,32.29,31.86,32.05,1485038
2026-05-11,32.05,32.2,31.4,32.0,910701
2026-05-12,32.0,32.0,31.5,31.6,504132
2026-05-13,31.6,31.9,31.6,31.67,485068
2026-05-14,31.67,32.39,31.8,32.2,1028253
2026-05-17,32.2,32.43,31.55,31.57,585852
2026-05-18,31.57,31.6,30.88,31.05,454415
2026-05-19,31.05,31.45,30.9,31.0,316942
2026-05-20,31.0,31.2,30.41,30.52,390074
2026-05-21,30.52,30.74,30.4,30.51,222040
2026-05-24,30.51,31.2,30.6,30.93,305716
2026-05-25,30.93,31.42,30.91,31.3,376137
2026-05-26,31.3,31.3,31.3,31.3,0
2026-05-27,31.3,31.3,31.3,31.3,0
2026-05-28,31.3,31.3,31.3,31.3,0
2026-06-01,31.3,32.0,31.3,31.84,308815
2026-06-02,31.84,32.23,31.8,31.82,437849
2026-06-03,31.82,32.13,31.41,32.0,466890
2026-06-04,32.0,32.47,32.01,32.2,630527
2026-06-07,32.2,32.25,31.7,31.81,309032
2026-06-08,31.81,31.7,30.91,31.22,381339
2026-06-09,31.22,31.7,31.2,31.32,281187
2026-06-10,31.32,31.7,30.95,30.95,477397
2026-06-11,30.95,31.0,30.08,30.12,293431
2026-06-14,30.12,31.89,30.85,31.29,486382
2026-06-15,31.29,31.95,31.3,31.39,350078
2026-06-16,31.39,31.59,31.12,31.36,188456
2026-06-17,31.36,31.36,31.36,31.36,0
2026-06-18,31.36,31.36,31.36,31.36,0
2026-06-21,31.35,31.6,31.2,31.59,170284
2026-06-22,31.59,31.59,31.59,31.59,0
2026-06-23,31.24,31.54,30.87,31.21,307527
2026-06-24,31.21,31.77,30.92,31.28,390291
2026-06-25,31.28,32.36,31.3,31.8,851433
2026-06-28,31.8,33.83,31.9,32.05,2785944
2026-06-29,32.05,32.75,31.57,32.26,667911
2026-06-30,32.26,33.55,32.42,32.57,940725
2026-07-01,32.57,33.28,32.2,32.58,374486
2026-07-05,32.58,32.89,32.1,32.52,279497
2026-07-06,32.52,33.0,32.42,32.92,342927
2026-07-07,32.92,33.4,32.62,32.62,507508
2026-07-08,32.62,32.75,32.0,32.1,353269
2026-07-09,32.1,32.59,32.02,32.44,258578
2026-07-12,32.44,32.85,32.31,32.59,287551
2026-07-13,32.59,32.83,32.32,32.35,208704
2026-07-14,32.35,32.5,32.04,32.38,419853
2026-07-15,32.38,32.95,32.18,32.8,339515
2026-07-16,32.8,34.15,32.8,34.0,1984342
2026-07-19,34.0,34.1,33.5,33.84,461031
2026-07-20,33.84,33.84,33.3,33.62,314582
2026-07-21,33.62,33.66,33.11,33.51,343797
2026-07-22,33.51,33.68,33.17,33.57,328267
2026-07-26,33.57,33.6,32.7,32.84,306133
2026-07-27,32.84,33.2,32.37,32.6,384884
2026-07-28,32.6,32.7,32.45,32.64,225338
2026-07-29,32.64,32.83,32.06,32.3,228059
2026-07-30,32.3,32.39,31.35,31.63,610771
2026-08-02,31.63,34.0,31.64,33.9,587140
2026-08-03,33.9,34.5,33.43,33.47,1102269
2026-08-04,33.47,34.43,33.4,34.43,582942
2026-08-05,34.43,36.4,34.37,36.3,1945992
