date,open,high,low,close,volume
2025-07-10,12.5,12.59,12.43,12.54,363512
2025-07-13,12.54,12.6,12.15,12.19,758491
2025-07-14,12.19,12.4,12.14,12.29,609166
2025-07-15,12.29,12.4,12.21,12.23,1024392
2025-07-16,12.23,12.55,12.05,12.13,4149976
2025-07-17,12.13,12.3,12.13,12.13,625259
2025-07-20,12.13,12.28,12.05,12.11,1144389
2025-07-21,12.11,12.46,12.11,12.46,2291499
2025-07-22,12.46,12.55,12.26,12.27,734385
2025-07-23,12.27,12.27,12.27,12.27,0
2025-07-27,12.3,12.39,12.18,12.39,1346852
2025-07-28,12.39,12.48,12.02,12.04,1187268
2025-07-29,12.04,12.3,12.07,12.3,925985
2025-07-30,12.3,12.39,11.87,11.9,899606
2025-07-31,11.9,12.2,11.91,12.2,755516
2025-08-03,12.2,12.2,12.2,12.2,0
2025-08-04,12.2,12.2,12.2,12.2,0
2025-08-05,12.2,12.2,12.2,12.2,0
2025-08-06,12.2,12.2,12.2,12.2,0
2025-08-07,12.2,12.2,12.2,12.2,0
2025-08-10,13.82,14.3,13.88,13.95,6569186
2025-08-11,13.95,14.23,13.71,14.22,4862852
2025-08-12,14.22,14.25,13.95,14.11,2681969
2025-08-13,14.11,14.5,13.95,14.16,4245296
2025-08-14,14.16,14.35,13.76,13.95,3873808
2025-08-17,13.95,14.03,13.7,13.95,1464411
2025-08-18,13.95,13.99,13.58,13.6,1203290
2025-08-19,13.6,13.83,13.61,13.77,1212976
2025-08-20,13.77,13.96,13.6,13.63,1032025
2025-08-21,13.63,13.8,13.51,13.6,1023641
2025-08-24,13.6,13.97,13.6,13.95,2756498
2025-08-25,13.95,14.23,13.96,14.08,4607750
2025-08-26,14.08,14.2,13.85,13.85,1963315
2025-08-27,13.85,13.91,13.68,13.7,1598790
2025-08-28,13.7,13.9,13.68,13.89,1388833
2025-08-31,13.89,14.0,13.15,13.42,1174806
2025-09-01,13.42,13.65,13.22,13.44,1238579
2025-09-02,13.44,13.54,13.3,13.3,576464
2025-09-03,13.3,13.39,12.95,13.08,2093313
2025-09-07,13.08,13.2,12.82,12.87,843243
2025-09-08,12.87,13.12,12.38,12.38,4282466
2025-09-09,12.38,12.54,12.17,12.27,1824587
2025-09-10,12.27,12.52,12.21,12.46,1326365
2025-09-11,12.46,12.74,12.48,12.74,1656767
2025-09-14,12.74,12.75,12.6,12.62,855650
2025-09-15,12.62,12.68,12.27,12.3,2787080
2025-09-16,12.3,12.38,12.0,12.0,2294099
2025-09-17,12.0,12.08,11.9,11.96,1289470
2025-09-18,11.96,12.25,11.9,12.0,2249214
2025-09-21,12.0,12.15,11.98,12.1,1550186
2025-09-22,12.1,12.14,11.9,11.93,958484
2025-09-23,11.93,12.55,11.95,12.4,5616384
2025-09-24,12.4,12.53,12.33,12.4,745829
2025-09-25,12.4,12.7,12.4,12.46,2781757
2025-09-28,12.46,12.8,12.5,12.69,4087550
2025-09-29,12.69,12.81,12.54,12.57,4112007
2025-09-30,12.57,12.8,12.41,12.8,3756102
2025-10-01,12.8,13.2,12.8,12.85,10151997
2025-10-02,12.85,13.02,12.71,12.8,2942299
2025-10-05,12.8,12.95,12.74,12.8,2096649
2025-10-06,12.8,12.88,12.63,12.71,4592650
2025-10-07,12.71,12.85,12.7,12.85,2860565
2025-10-08,12.85,12.93,12.68,12.7,3678111
2025-10-12,12.7,12.7,12.55,12.6,1654133
2025-10-13,12.6,12.86,12.35,12.86,8436249
2025-10-14,12.86,13.13,12.87,13.01,7037064
2025-10-15,13.01,13.1,13.0,13.01,4844256
2025-10-16,13.01,13.1,12.91,12.97,4989903
2025-10-19,12.97,13.4,12.93,13.35,4478695
2025-10-20,13.35,13.46,13.25,13.4,4970704
2025-10-21,13.4,13.44,13.13,13.2,1751722
2025-10-22,13.2,13.26,13.07,13.15,1036947
2025-10-23,13.15,13.34,13.02,13.3,1950929
2025-10-26,13.3,14.15,13.3,14.14,16248606
2025-10-27,14.14,14.39,13.91,14.23,3748702
2025-10-28,14.23,14.41,13.86,14.1,2730772
2025-10-29,14.1,14.2,13.88,13.89,2335068
2025-10-30,13.89,14.54,13.83,14.34,6223893
2025-11-02,14.34,14.7,14.25,14.6,3053829
2025-11-03,14.6,14.89,14.54,14.76,4716801
