date,open,high,low,close,volume
2025-07-10,172.0,174.5,170.5,171.0,334416
2025-07-13,171.0,173.5,167.25,170.0,149597
2025-07-14,170.0,170.4,165.07,166.7,119427
2025-07-15,166.7,173.98,166.73,173.69,227315
2025-07-16,173.69,176.39,172.1,175.85,214671
2025-07-17,175.85,178.95,175.85,177.0,163132
2025-07-20,177.0,180.99,176.01,178.0,250471
2025-07-21,178.0,179.9,174.25,175.26,79680
2025-07-22,175.26,175.26,172.5,175.0,78934
2025-07-23,175.0,175.0,175.0,175.0,0
2025-07-27,173.02,175.0,173.02,175.0,70141
2025-07-28,175.0,176.0,170.0,170.0,83781
2025-07-29,170.0,172.95,167.0,168.61,78704
2025-07-30,168.61,169.89,166.02,166.02,87103
2025-07-31,166.02,169.8,165.02,168.48,94663
2025-08-03,168.48,168.48,168.48,168.48,0
2025-08-04,168.48,168.48,168.48,168.48,0
2025-08-05,168.48,168.48,168.48,168.48,0
2025-08-06,168.48,168.48,168.48,168.48,0
2025-08-07,168.48,168.48,168.48,168.48,0
2025-08-10,169.0,171.99,169.1,171.34,81491
2025-08-11,171.34,173.0,169.01,169.02,58087
2025-08-12,169.02,170.95,168.01,168.17,41394
2025-08-13,168.17,169.5,162.6,164.0,226590
2025-08-14,164.0,166.25,159.52,163.39,289040
2025-08-17,163.39,164.9,162.19,164.0,62515
2025-08-18,164.0,165.65,162.21,162.74,60422
2025-08-19,162.74,165.6,162.9,162.97,82638
2025-08-20,162.97,164.47,159.0,159.05,272368
2025-08-21,159.05,161.0,159.05,159.05,61430
2025-08-24,159.05,161.48,158.5,159.1,144761
2025-08-25,159.1,161.0,158.55,159.1,99844
2025-08-26,159.1,160.74,159.1,159.24,64703
2025-08-27,159.24,159.76,158.06,158.09,77161
2025-08-28,158.09,159.9,158.09,159.6,45744
2025-08-31,159.6,160.4,157.0,157.0,77528
2025-09-01,157.0,158.99,156.51,157.5,58934
2025-09-02,157.5,158.58,157.0,157.25,52482
2025-09-03,157.25,158.74,155.1,155.25,107479
2025-09-07,155.25,162.9,155.51,158.0,273389
2025-09-08,158.0,159.58,155.6,155.6,132236
2025-09-09,155.6,156.9,151.26,152.23,243063
2025-09-10,152.23,153.7,152.0,152.66,56417
2025-09-11,152.66,157.0,153.0,156.74,150763
2025-09-14,156.74,158.0,154.6,155.0,114376
2025-09-15,155.0,156.96,154.2,154.2,123169
2025-09-16,154.2,158.3,155.0,156.0,173977
2025-09-17,156.0,159.99,156.0,159.97,216734
2025-09-18,159.97,162.0,159.0,159.9,236284
2025-09-21,159.9,159.8,157.01,158.12,126566
2025-09-22,158.12,159.67,155.21,155.85,62009
2025-09-23,155.85,156.1,153.1,153.58,115528
2025-09-24,153.58,155.0,153.33,154.13,88414
2025-09-25,154.13,155.0,152.65,153.28,158958
2025-09-28,153.28,154.7,152.0,152.01,142220
2025-09-29,152.01,153.25,151.0,152.19,125931
2025-09-30,152.19,152.99,151.86,152.29,149346
2025-10-01,152.29,155.75,151.99,153.0,352863
2025-10-02,153.0,157.0,153.02,156.5,253391
2025-10-05,156.5,160.84,157.5,160.0,296827
2025-10-06,160.0,161.48,159.8,160.69,159518
2025-10-07,160.69,168.25,161.01,165.91,593957
2025-10-08,165.91,166.99,163.66,165.29,100429
2025-10-12,165.29,166.5,163.82,165.19,226231
2025-10-13,165.19,176.47,166.0,175.2,1085707
2025-10-14,175.2,174.99,168.0,174.0,460024
2025-10-15,174.0,174.99,170.25,171.0,170690
2025-10-16,171.0,178.9,168.5,173.25,659279
2025-10-19,173.25,183.6,173.25,182.0,459431
2025-10-20,182.0,189.0,180.27,184.6,513886
2025-10-21,184.6,188.5,181.0,184.1,390331
2025-10-22,184.1,205.0,182.55,196.1,846906
2025-10-23,196.1,212.0,192.55,205.0,1008388
2025-10-26,205.0,210.0,202.0,203.5,377088
2025-10-27,203.5,204.0,191.6,191.6,638716
2025-10-28,191.6,195.89,187.05,194.0,533576
2025-10-29,194.0,206.0,193.13,204.89,764773
2025-10-30,204.89,209.0,201.8,206.0,460565
2025-11-02,206.0,208.2,200.01,200.05,194067
2025-11-03,200.05,208.4,198.0,205.51,301033
2025-11-04,205.51,208.35,202.0,203.2,169903
2025-11-05,203.2,205.0,201.0,201.03,422118
2025-11-06,201.03,209.9,200.0,208.8,400557
2025-11-09,208.8,219.0,211.0,217.85,598437
2025-11-10,217.85,221.0,213.05,214.01,503158
2025-11-11,214.01,218.0,210.37,210.4,185720
2025-11-12,210.4,213.94,210.07,210.61,134763
2025-11-13,210.61,212.87,208.21,212.0,385572
2025-11-16,212.0,220.94,211.01,214.09,355233
2025-11-17,214.09,215.9,202.0,202.5,452665
2025-11-18,202.5,204.0,197.0,199.0,635898
2025-11-19,199.0,200.99,196.66,196.66,126329
2025-11-20,196.66,197.98,191.0,191.1,255909
2025-11-23,191.1,196.44,189.05,191.3,322905
2025-11-24,191.3,195.35,191.5,191.51,185536
2025-11-25,191.51,192.39,186.75,187.01,216663
2025-11-26,187.01,189.3,182.05,183.0,369612
2025-11-27,183.0,196.0,182.95,192.0,490647
2025-11-30,192.0,204.48,196.01,199.0,684447
2025-12-01,199.0,204.0,198.51,200.11,338367
2025-12-02,200.11,202.86,194.25,195.0,371846
2025-12-03,195.0,208.95,195.01,206.95,653585
2025-12-04,206.95,211.99,204.0,207.0,463929
2025-12-07,207.0,209.3,204.8,205.22,382803
2025-12-08,205.22,206.99,205.0,205.0,121349
2025-12-09,205.0,205.5,202.12,203.1,146970
2025-12-10,203.1,207.6,202.9,204.98,199885
2025-12-11,204.98,209.0,205.0,208.0,274108
2025-12-14,208.0,209.99,205.8,206.0,211415
2025-12-15,206.0,209.9,206.0,208.15,189955
2025-12-16,208.15,209.8,202.6,204.23,194610
2025-12-17,204.23,209.5,203.0,206.51,244610
2025-12-18,206.51,216.23,206.6,213.11,569193
2025-12-21,213.11,225.0,213.95,225.0,696537
2025-12-22,225.0,229.84,222.3,225.0,343042
2025-12-23,225.0,228.5,223.02,227.92,193737
2025-12-24,227.92,229.5,224.4,224.61,84246
2025-12-25,224.61,225.99,221.0,222.46,191408
2025-12-28,222.46,226.0,222.1,226.0,82910
2025-12-29,226.0,227.24,226.0,226.46,39612
2025-12-30,226.46,230.0,223.67,226.95,183461
2025-12-31,226.95,237.98,226.95,235.5,239975
2026-01-04,235.5,264.0,240.1,253.0,486022
2026-01-05,253.0,261.0,245.01,261.0,375759
2026-01-06,261.0,276.0,262.2,271.01,614490
2026-01-08,271.01,272.88,255.01,255.01,395118
2026-01-11,255.01,272.9,260.0,268.0,473643
2026-01-12,268.0,269.99,257.05,258.0,351358
2026-01-13,258.0,264.0,255.5,257.0,279805
2026-01-14,257.0,257.0,244.08,250.31,223489
2026-01-15,250.31,252.99,240.14,242.0,400525
2026-01-18,242.0,258.0,242.0,258.0,278694
2026-01-19,258.0,266.6,260.0,265.91,354397
2026-01-20,265.91,267.9,256.0,258.99,424265
2026-01-21,258.99,261.99,252.8,253.5,322993
2026-01-22,253.5,256.0,246.12,252.81,424591
2026-01-25,252.81,260.0,251.01,252.0,332617
2026-01-26,252.0,254.98,249.0,250.99,142542
2026-01-27,250.99,252.8,245.0,245.0,345053
2026-01-28,245.0,246.99,233.0,236.0,416558
2026-02-01,236.0,246.0,233.33,246.0,169224
2026-02-02,246.0,248.0,237.1,238.1,290384
2026-02-03,238.1,242.97,237.77,239.89,292709
2026-02-04,239.89,246.85,239.89,245.98,392138
2026-02-05,245.98,248.49,240.0,241.5,198600
2026-02-08,241.5,247.2,242.0,246.0,204762
2026-02-09,246.0,248.99,242.99,245.0,133010
2026-02-10,245.0,248.69,241.41,242.0,463554
2026-02-11,242.0,244.9,241.28,241.74,165166
2026-02-12,241.74,243.7,241.28,243.7,59229
