date,open,high,low,close,volume
2025-07-10,9.3,9.38,9.16,9.18,1735396
2025-07-13,9.18,9.32,9.05,9.05,2510953
2025-07-14,9.05,9.27,9.01,9.2,1875843
2025-07-15,9.2,9.29,9.06,9.06,2478722
2025-07-16,9.06,9.38,9.03,9.09,6103949
2025-07-17,9.09,9.22,9.04,9.1,3982707
2025-07-20,9.1,9.15,8.94,9.0,4042796
2025-07-21,9.0,9.07,8.86,8.88,3186046
2025-07-22,8.88,8.96,8.81,8.81,1085985
2025-07-23,8.81,8.81,8.81,8.81,0
2025-07-27,8.57,8.69,8.42,8.42,5910921
2025-07-28,8.42,8.56,8.35,8.41,2644581
2025-07-29,8.41,8.5,8.35,8.38,1741034
2025-07-30,8.38,8.55,8.3,8.31,3296973
2025-07-31,8.31,8.52,8.36,8.51,1700567
2025-08-03,8.51,8.51,8.51,8.51,0
2025-08-04,8.51,8.51,8.51,8.51,0
2025-08-05,8.51,8.51,8.51,8.51,0
2025-08-06,8.51,8.51,8.51,8.51,0
2025-08-07,8.51,8.51,8.51,8.51,0
2025-08-10,8.73,8.86,8.73,8.85,2127744
2025-08-11,8.85,8.89,8.7,8.71,1157784
2025-08-12,8.71,8.81,8.63,8.8,1783459
2025-08-13,8.8,8.9,8.51,8.65,1861424
2025-08-14,8.65,8.7,8.5,8.62,2119134
2025-08-17,8.62,8.68,8.42,8.49,794960
2025-08-18,8.49,8.58,8.5,8.56,2092436
2025-08-19,8.56,8.58,8.45,8.47,972971
2025-08-20,8.47,8.59,8.27,8.3,3199859
2025-08-21,8.3,8.44,8.26,8.35,1417900
2025-08-24,8.35,8.43,8.29,8.3,1155146
2025-08-25,8.3,8.38,8.3,8.32,981363
2025-08-26,8.32,8.4,8.28,8.3,2658869
2025-08-27,8.3,8.36,8.2,8.27,1249220
2025-08-28,8.27,8.4,8.25,8.34,3308750
2025-08-31,8.34,8.43,7.92,8.0,3407273
2025-09-01,8.0,8.17,7.99,8.05,3094199
2025-09-02,8.05,8.18,8.06,8.1,1450193
2025-09-03,8.1,8.23,8.07,8.19,1931329
2025-09-07,8.19,8.97,8.5,8.51,20996072
