date,open,high,low,close,volume
2025-07-10,23.77,24.6,23.77,24.26,152108
2025-07-13,24.26,24.5,24.07,24.21,116896
2025-07-14,24.21,24.46,24.18,24.42,61328
2025-07-15,24.42,24.5,24.16,24.19,57156
2025-07-16,24.19,24.46,23.88,24.0,93228
2025-07-17,24.0,24.3,23.8,23.84,42520
2025-07-20,23.84,24.3,23.8,23.89,35292
2025-07-21,23.89,24.99,24.0,24.83,545968
2025-07-22,24.83,26.59,24.85,26.25,2302482
2025-07-23,26.25,26.25,26.25,26.25,0
2025-07-27,25.37,26.24,25.25,25.39,397770
2025-07-28,25.39,25.56,24.5,24.59,157474
2025-07-29,24.59,24.9,24.0,24.02,169543
2025-07-30,24.02,24.66,23.11,23.22,187055
2025-07-31,23.22,23.86,23.32,23.39,148668
2025-08-03,23.39,23.39,23.39,23.39,0
2025-08-04,23.39,23.39,23.39,23.39,0
2025-08-05,23.39,23.39,23.39,23.39,0
2025-08-06,23.39,23.39,23.39,23.39,0
2025-08-07,23.39,23.39,23.39,23.39,0
2025-08-10,23.84,24.7,23.75,24.53,552078
2025-08-11,24.53,25.39,24.64,24.82,479316
2025-08-12,24.82,25.14,24.33,24.5,174930
2025-08-13,24.5,25.21,24.37,24.64,340764
2025-08-14,24.64,25.25,24.5,24.93,372207
2025-08-17,24.93,25.2,24.84,25.0,230829
2025-08-18,25.0,25.17,24.62,24.62,195773
2025-08-19,24.62,25.0,24.62,24.66,123900
2025-08-20,24.66,25.14,24.52,24.58,222924
2025-08-21,24.58,24.94,24.58,24.63,83091
2025-08-24,24.63,25.3,24.33,25.3,1116264
2025-08-25,25.3,26.58,25.33,25.85,1478739
2025-08-26,25.85,26.89,25.03,25.66,679125
2025-08-27,25.66,26.45,25.5,25.8,176916
2025-08-28,25.8,26.38,25.6,25.63,203019
2025-08-31,25.63,26.0,25.15,25.29,143745
2025-09-01,25.29,25.98,25.01,25.06,333497
2025-09-02,25.06,25.89,25.2,25.22,189338
2025-09-03,25.22,26.5,25.25,25.44,534830
2025-09-07,25.44,29.0,25.6,28.5,2704429
2025-09-08,28.5,29.6,28.22,28.9,1149284
2025-09-09,28.9,30.15,28.56,29.55,1496180
2025-09-10,29.55,32.45,29.5,32.44,1966972
2025-09-11,32.44,32.9,30.92,31.01,1139523
2025-09-14,31.01,31.98,30.5,30.91,516897
2025-09-15,30.91,31.75,30.5,30.95,787891
2025-09-16,30.95,30.95,29.16,29.41,405351
2025-09-17,29.41,29.7,28.87,28.96,278500
2025-09-18,28.96,29.39,28.6,28.71,188437
2025-09-21,28.71,29.19,28.25,28.4,206919
2025-09-22,28.4,29.98,28.36,29.01,421503
2025-09-23,29.01,29.8,28.75,28.93,426454
2025-09-24,28.93,29.2,28.75,28.84,94070
2025-09-25,28.84,29.16,28.53,28.68,103493
2025-09-28,28.68,29.1,28.5,28.5,124098
2025-09-29,28.5,28.78,28.25,28.45,124720
2025-09-30,28.45,28.7,27.83,27.97,436613
2025-10-01,27.97,28.49,27.8,28.05,151972
2025-10-02,28.05,28.3,27.51,27.71,149254
2025-10-05,27.71,28.25,27.8,28.16,83896
2025-10-06,28.16,30.0,28.2,29.04,541465
2025-10-07,29.04,29.48,28.75,28.8,375179
2025-10-08,28.8,29.79,28.83,28.9,434360
2025-10-12,28.9,30.7,29.0,30.7,592615
2025-10-13,30.7,33.5,30.7,32.8,2447825
2025-10-14,32.8,33.25,32.15,32.33,1119742
2025-10-15,32.33,34.5,32.3,34.01,1997685
2025-10-16,34.01,35.0,33.06,33.9,1516052
2025-10-19,33.9,34.0,33.19,33.62,565804
2025-10-20,33.62,34.0,31.8,32.94,267596
2025-10-21,32.94,33.3,32.53,33.14,198152
2025-10-22,33.14,33.95,33.05,33.2,173402
2025-10-23,33.2,35.31,32.85,33.85,1126442
2025-10-26,33.85,36.1,34.52,35.56,682159
2025-10-27,35.56,36.23,33.5,34.01,467535
2025-10-28,34.01,34.65,33.15,33.76,223801
2025-10-29,33.76,34.24,33.61,33.75,83517
2025-10-30,33.75,34.32,33.7,33.91,191839
2025-11-02,33.91,34.02,33.62,33.86,92911
2025-11-03,33.86,34.33,33.25,34.21,159908
2025-11-04,34.21,35.25,34.3,34.5,316143
2025-11-05,34.5,37.0,34.4,35.34,1084193
2025-11-06,35.34,37.25,34.3,37.05,1019217
2025-11-09,37.05,37.7,37.0,37.55,994073
2025-11-10,37.55,38.5,37.45,37.77,1069530
2025-11-11,37.77,38.4,37.35,37.83,544251
2025-11-12,37.83,39.5,37.5,38.57,861451
2025-11-13,38.57,38.8,36.25,36.98,347548
2025-11-16,36.98,37.4,36.61,36.66,75607
2025-11-17,36.66,37.0,36.6,36.8,196429
2025-11-18,36.8,37.3,36.8,36.89,80284
2025-11-19,36.89,38.22,36.8,37.99,561134
2025-11-20,37.99,38.29,36.9,37.24,210541
2025-11-23,37.24,39.5,37.01,38.98,1121160
2025-11-24,38.98,38.98,37.0,37.54,127276
2025-11-25,37.54,37.95,36.16,37.02,60091
2025-11-26,37.02,37.5,36.32,37.24,141586
2025-11-27,37.24,39.77,37.0,38.1,1229860
2025-11-30,38.1,38.5,37.76,38.19,33184
2025-12-01,38.19,38.5,37.0,37.23,86660
2025-12-02,37.23,38.2,37.0,37.02,100383
2025-12-03,37.02,38.0,36.6,37.0,90152
2025-12-04,37.0,38.0,36.55,37.0,588018
2025-12-07,37.0,37.58,37.0,37.3,25958
2025-12-08,37.3,38.68,37.0,37.11,318861
2025-12-09,37.11,38.3,37.31,37.53,224337
2025-12-10,37.53,37.95,37.12,37.3,100989
2025-12-11,37.3,37.97,37.12,37.51,78454
