date,open,high,low,close,volume
2025-07-10,7.15,7.3,6.97,7.0,9123488
2025-07-13,7.0,7.09,6.7,6.8,2777937
2025-07-14,6.8,7.0,6.88,6.95,3711342
2025-07-15,6.95,6.96,6.68,6.7,4346203
2025-07-16,6.7,6.98,6.7,6.85,6334949
2025-07-17,6.85,7.0,6.85,6.85,4657769
2025-07-20,6.85,6.95,6.85,6.9,1781314
2025-07-21,6.9,7.05,6.9,6.95,3927016
2025-07-22,6.95,7.3,6.95,7.16,14713874
2025-07-23,7.16,7.16,7.16,7.16,0
2025-07-27,7.32,7.38,7.0,7.08,5609236
2025-07-28,7.08,7.15,6.9,6.9,2130377
2025-07-29,6.9,6.96,6.76,6.94,1230318
2025-07-30,6.94,7.03,6.76,6.8,1778585
2025-07-31,6.8,6.94,6.8,6.8,901078
2025-08-03,6.8,6.8,6.8,6.8,0
2025-08-04,6.8,6.8,6.8,6.8,0
2025-08-05,6.8,6.8,6.8,6.8,0
2025-08-06,6.8,6.8,6.8,6.8,0
2025-08-07,6.8,6.8,6.8,6.8,0
2025-08-10,6.54,6.61,6.46,6.47,1317376
2025-08-11,6.47,6.62,6.28,6.28,5492360
2025-08-12,6.28,6.4,6.28,6.3,2347748
2025-08-13,6.3,6.37,6.24,6.3,2516477
2025-08-14,6.3,6.37,6.04,6.05,3485018
2025-08-17,6.05,6.13,6.04,6.12,1548740
2025-08-18,6.12,6.33,6.14,6.25,3654874
2025-08-19,6.25,6.31,6.22,6.22,924850
2025-08-20,6.22,6.3,6.0,6.19,4089336
2025-08-21,6.19,6.21,6.06,6.1,1438340
2025-08-24,6.1,6.15,6.06,6.07,1367124
2025-08-25,6.07,6.14,6.02,6.03,3902224
2025-08-26,6.03,6.09,5.86,5.87,2980486
2025-08-27,5.87,5.94,5.83,5.83,1944932
2025-08-28,5.83,5.94,5.84,5.9,1509108
2025-08-31,5.9,5.96,5.6,5.63,4312976
2025-09-01,5.63,5.97,5.65,5.92,4912894
2025-09-02,5.92,5.95,5.83,5.87,1971818
2025-09-03,5.87,5.93,5.78,5.78,1126233
2025-09-07,5.78,5.83,5.65,5.65,1950257
2025-09-08,5.65,5.96,5.67,5.94,4135758
2025-09-09,5.94,6.05,5.85,5.85,3317447
2025-09-10,5.85,6.13,5.8,6.05,4117852
2025-09-11,6.05,6.11,5.93,5.93,2571765
2025-09-14,5.93,6.24,6.01,6.1,11357496
2025-09-15,6.1,6.35,6.12,6.3,10330645
2025-09-16,6.3,6.43,6.12,6.13,5400074
2025-09-17,6.13,6.32,6.16,6.3,3692894
2025-09-18,6.3,6.54,6.2,6.5,7281717
2025-09-21,6.5,6.51,6.32,6.34,2514023
2025-09-22,6.34,6.41,6.18,6.4,2969827
2025-09-23,6.4,6.6,6.37,6.41,5587634
2025-09-24,6.41,6.78,6.39,6.75,11493594
2025-09-25,6.75,6.95,6.72,6.85,5366954
2025-09-28,6.85,6.9,6.76,6.78,946503
2025-09-29,6.78,7.0,6.78,6.9,4829647
2025-09-30,6.9,6.92,6.83,6.92,2190957
2025-10-01,6.92,7.1,6.72,6.85,7024184
2025-10-02,6.85,6.9,6.63,6.72,1931473
2025-10-05,6.72,7.13,6.73,6.91,8138797
2025-10-06,6.91,7.08,6.74,6.8,4917725
2025-10-07,6.8,6.83,6.64,6.68,2637899
2025-10-08,6.68,6.75,6.64,6.65,968736
2025-10-12,6.65,6.91,6.67,6.84,2843025
2025-10-13,6.84,6.89,6.75,6.76,1411831
2025-10-14,6.76,6.8,6.65,6.8,4285540
2025-10-15,6.8,6.87,6.73,6.73,2023972
2025-10-16,6.73,6.98,6.71,6.73,9068983
2025-10-19,6.73,7.25,6.76,7.1,12565700
2025-10-20,7.1,7.25,6.91,6.93,8937235
2025-10-21,6.93,7.05,6.8,6.81,6863228
2025-10-22,6.81,6.87,6.66,6.69,4602772
2025-10-23,6.69,6.87,6.62,6.84,4328615
2025-10-26,6.84,6.92,6.8,6.85,3246138
2025-10-27,6.85,6.99,6.83,6.85,3333925
2025-10-28,6.85,6.93,6.65,6.75,3617553
2025-10-29,6.75,6.79,6.69,6.71,754456
2025-10-30,6.71,6.78,6.69,6.7,1552418
2025-11-02,6.7,6.87,6.6,6.77,5745367
2025-11-03,6.77,6.86,6.73,6.81,2298922
2025-11-04,6.81,7.05,6.8,6.84,10465946
2025-11-05,6.84,6.91,6.67,6.7,2930676
2025-11-06,6.7,6.81,6.59,6.65,11880977
2025-11-09,6.65,6.76,6.39,6.45,14879203
2025-11-10,6.45,6.5,6.17,6.29,10638671
2025-11-11,6.29,6.38,6.25,6.27,2656905
2025-11-12,6.27,6.47,6.28,6.46,7198208
2025-11-13,6.46,6.52,6.38,6.39,2617806
2025-11-16,6.39,6.51,6.4,6.43,2648416
2025-11-17,6.43,6.47,6.31,6.33,2575554
2025-11-18,6.33,6.43,6.25,6.26,3139786
2025-11-19,6.26,6.35,6.23,6.25,2030299
2025-11-20,6.25,6.59,6.26,6.51,6896982
