date,open,high,low,close,volume
2025-07-10,22.86,23.3,22.72,22.72,630440
2025-07-13,22.72,24.19,22.9,24.08,1090303
2025-07-14,24.08,24.45,23.55,23.93,499867
2025-07-15,23.93,25.7,23.95,24.5,2070434
2025-07-16,24.5,24.95,24.01,24.19,323126
2025-07-17,24.19,24.48,23.51,23.69,561322
2025-07-20,23.69,24.5,23.5,23.78,236263
2025-07-21,23.78,24.35,23.8,23.99,201305
2025-07-22,23.99,24.69,23.99,24.58,307494
2025-07-23,24.58,24.58,24.58,24.58,0
2025-07-27,25.12,25.88,25.02,25.25,438877
2025-07-28,25.25,25.5,24.35,24.38,315856
2025-07-29,24.38,24.6,24.0,24.21,265820
2025-07-30,24.21,24.99,24.2,24.63,726985
2025-07-31,24.63,24.84,24.2,24.6,293000
2025-08-03,24.6,24.6,24.6,24.6,0
2025-08-04,24.6,24.6,24.6,24.6,0
2025-08-05,24.6,24.6,24.6,24.6,0
2025-08-06,24.6,24.6,24.6,24.6,0
2025-08-07,24.6,24.6,24.6,24.6,0
2025-08-10,26.26,26.75,26.2,26.4,235531
2025-08-11,26.4,26.68,26.1,26.2,665548
2025-08-12,26.2,26.5,26.02,26.48,360873
2025-08-13,26.48,27.48,26.45,27.1,753361
2025-08-14,27.1,28.33,27.1,27.8,894133
2025-08-17,27.8,28.85,27.9,28.01,768383
2025-08-18,28.01,28.7,27.9,28.59,1080607
2025-08-19,28.59,30.5,28.6,30.23,845238
2025-08-20,30.23,31.0,29.1,29.63,769938
2025-08-21,29.63,29.98,29.01,29.21,131442
2025-08-24,29.21,29.6,29.1,29.23,158694
2025-08-25,29.23,30.4,29.35,30.0,981964
2025-08-26,30.0,30.48,28.0,28.96,320717
2025-08-27,28.96,29.4,28.92,29.0,190705
2025-08-28,29.0,29.69,29.0,29.48,402964
2025-08-31,29.48,30.18,28.77,29.08,146524
2025-09-01,29.08,29.4,28.73,29.03,418813
2025-09-02,29.03,29.9,29.0,29.5,322469
2025-09-03,29.5,30.55,29.25,29.68,220179
2025-09-07,29.68,30.28,29.0,29.21,271288
2025-09-08,29.21,29.95,29.2,29.39,466365
2025-09-09,29.39,30.74,29.35,30.51,843569
2025-09-10,30.51,33.0,31.27,32.49,2149252
2025-09-11,32.49,33.2,32.15,32.31,1397408
2025-09-14,32.31,32.67,31.0,31.24,929301
2025-09-15,31.24,31.79,30.12,30.18,435291
2025-09-16,30.18,30.8,28.5,29.51,363675
2025-09-17,29.51,29.95,29.03,29.22,98784
2025-09-18,29.22,29.95,29.22,29.3,552275
2025-09-21,29.3,31.3,29.41,29.87,502327
2025-09-22,29.87,30.75,29.0,29.28,293128
2025-09-23,16.9249,17.052,16.4971,16.5434,880196
2025-09-24,16.5434,16.9075,16.4451,16.4798,566613
2025-09-25,16.4798,16.763,16.422,16.5029,1214470
2025-09-28,16.5029,16.763,16.422,16.578,339495
2025-09-29,16.578,16.8208,16.474,16.578,473104
2025-09-30,16.578,16.6763,16.4624,16.5954,884023
2025-10-01,16.5954,16.9942,16.5376,16.8902,556819
2025-10-02,16.89,18.0,16.5,16.52,1310705
2025-10-05,16.52,16.85,16.11,16.19,502916
2025-10-06,16.19,16.49,16.05,16.15,483222
2025-10-07,16.15,16.79,16.13,16.63,1630497
2025-10-08,16.63,16.78,16.38,16.65,430331
2025-10-12,16.65,16.6,16.15,16.48,502911
2025-10-13,16.48,17.35,16.37,16.64,1693154
2025-10-14,16.64,16.8,16.6,16.64,472437
2025-10-15,16.64,16.73,16.3,16.6,507890
2025-10-16,16.6,16.68,16.43,16.56,100064
2025-10-19,16.56,16.64,16.36,16.4,351471
2025-10-20,16.4,16.5,16.2,16.29,1289312
2025-10-21,16.29,16.46,15.97,16.03,653652
2025-10-22,16.03,16.1,15.11,15.83,539754
2025-10-23,15.83,15.9,15.48,15.49,436485
2025-10-26,15.49,15.55,15.0,15.07,1024619
2025-10-27,15.07,15.26,15.02,15.17,2022995
2025-10-28,15.17,15.37,14.91,15.0,984012
2025-10-29,15.0,15.13,14.78,14.8,542233
2025-10-30,14.8,14.8,14.27,14.39,1638892
2025-11-02,14.39,14.7,14.25,14.43,610107
2025-11-03,14.43,15.08,14.3,14.95,1884221
2025-11-04,14.95,15.25,14.7,14.9,1479291
2025-11-05,14.9,14.95,14.4,14.42,492187
2025-11-06,14.42,14.7,14.42,14.62,397309
2025-11-09,14.62,14.85,14.35,14.6,642758
2025-11-10,14.6,15.39,14.4,15.3,1804098
2025-11-11,15.3,15.7,15.1,15.18,2286284
2025-11-12,15.18,15.4,15.0,15.37,371525
2025-11-13,15.37,15.43,15.0,15.07,285547
2025-11-16,15.07,15.31,14.8,15.01,495682
2025-11-17,15.01,15.05,14.7,14.77,1054159
2025-11-18,14.77,14.88,14.26,14.32,1367987
2025-11-19,14.32,14.65,14.26,14.3,575385
2025-11-20,14.3,14.47,14.11,14.18,458874
2025-11-23,14.18,14.67,14.27,14.42,210008
2025-11-24,14.42,15.79,14.42,15.14,5460184
2025-11-25,15.14,15.63,14.7,14.7,1274592
2025-11-26,14.7,15.0,14.55,14.62,390874
2025-11-27,14.62,14.84,14.5,14.54,884357
2025-11-30,14.54,14.76,14.35,14.42,987924
