date,open,high,low,close,volume
2025-07-10,9.5,9.57,9.4,9.47,2832411
2025-07-13,9.47,9.54,9.41,9.5,2682134
2025-07-14,9.5,9.52,9.37,9.5,3737390
2025-07-15,9.5,9.67,9.44,9.53,4414938
2025-07-16,9.53,9.75,9.55,9.6,7674334
2025-07-17,9.6,9.7,9.51,9.67,5632036
2025-07-20,9.67,10.0,9.67,10.0,19633257
2025-07-21,10.0,10.47,10.03,10.33,28448502
2025-07-22,10.33,10.44,10.1,10.23,5465989
2025-07-23,10.23,10.23,10.23,10.23,0
2025-07-27,10.35,10.44,10.28,10.34,3293347
2025-07-28,10.34,10.46,10.2,10.27,6501187
2025-07-29,10.27,10.3,10.11,10.3,4947982
2025-07-30,10.3,10.38,9.7,9.9,8706611
2025-07-31,9.9,10.25,9.9,10.0,3333126
2025-08-03,10.0,10.0,10.0,10.0,0
2025-08-04,10.0,10.0,10.0,10.0,0
2025-08-05,10.0,10.0,10.0,10.0,0
2025-08-06,10.0,10.0,10.0,10.0,0
2025-08-07,10.0,10.0,10.0,10.0,0
2025-08-10,10.15,10.33,10.15,10.2,1218574
2025-08-11,10.2,10.68,10.25,10.6,14463559
2025-08-12,10.6,11.0,10.59,10.7,8248940
2025-08-13,10.7,10.9,10.55,10.7,4487803
2025-08-14,10.7,10.7,10.46,10.61,2923654
2025-08-17,10.61,11.09,10.54,11.03,4738888
2025-08-18,11.03,11.13,10.75,10.8,2617940
2025-08-19,10.8,10.9,10.78,10.8,1086465
2025-08-20,10.8,10.85,10.52,10.6,5396977
2025-08-21,10.6,10.9,10.55,10.69,5961913
2025-08-24,10.69,11.03,10.69,10.71,7748869
2025-08-25,10.71,10.81,10.7,10.71,2436086
2025-08-26,10.71,10.9,10.5,10.5,5202364
2025-08-27,10.5,10.67,10.37,10.65,3250185
2025-08-28,10.65,10.82,10.59,10.78,2719801
2025-08-31,10.78,10.88,10.1,10.21,3243364
2025-09-01,10.21,10.49,10.0,10.39,5779322
2025-09-02,10.39,10.62,10.32,10.58,1599338
2025-09-03,10.58,11.01,10.11,10.15,8996428
2025-09-07,10.15,10.64,10.15,10.55,3964967
2025-09-08,10.55,10.62,10.31,10.38,2249870
2025-09-09,10.38,10.46,10.2,10.25,1319675
2025-09-10,10.25,10.6,10.21,10.5,2449523
2025-09-11,10.5,10.59,10.41,10.49,1985863
2025-09-14,10.49,10.7,10.35,10.62,3741634
2025-09-15,10.62,10.68,10.35,10.41,4528693
2025-09-16,10.41,10.53,10.23,10.25,2431332
2025-09-17,10.25,10.4,10.25,10.3,1414087
2025-09-18,10.3,10.5,10.26,10.28,2808482
2025-09-21,10.28,10.67,10.31,10.62,4652959
2025-09-22,10.62,11.1,10.65,10.9,11641582
2025-09-23,10.9,11.21,10.6,10.65,8086472
2025-09-24,10.65,11.0,10.6,10.97,5352962
2025-09-25,10.97,10.98,10.76,10.8,2134682
2025-09-28,10.8,10.92,10.69,10.91,937790
2025-09-29,10.91,10.99,10.72,10.96,1724501
2025-09-30,10.96,11.18,10.82,11.06,4994652
2025-10-01,11.06,11.6,11.06,11.37,9199395
2025-10-02,11.37,11.66,11.12,11.5,4512830
2025-10-05,11.5,11.49,11.28,11.35,2630665
2025-10-06,11.35,11.47,11.29,11.4,2415796
2025-10-07,11.4,11.74,11.4,11.6,7528818
2025-10-08,11.6,11.75,11.55,11.67,2965730
2025-10-12,11.67,11.78,11.45,11.77,1465197
2025-10-13,11.77,12.3,11.61,11.9,4873161
2025-10-14,11.9,12.14,11.5,11.62,3008812
2025-10-15,11.62,11.71,11.26,11.48,2303821
2025-10-16,11.48,11.76,11.04,11.41,21261881
2025-10-19,11.41,11.6,11.33,11.38,4118805
2025-10-20,11.38,11.53,11.2,11.45,4121023
2025-10-21,11.45,11.53,11.27,11.3,6954759
2025-10-22,11.3,11.38,11.14,11.15,8507950
2025-10-23,11.15,11.4,11.14,11.39,4468191
2025-10-26,11.39,11.39,11.24,11.3,4080361
2025-10-27,11.3,11.47,11.25,11.44,3816077
2025-10-28,11.44,11.5,11.3,11.35,2322625
2025-10-29,11.35,11.43,11.29,11.38,449567
2025-10-30,11.38,11.43,11.2,11.22,3342482
2025-11-02,11.22,11.3,11.13,11.25,4500387
2025-11-03,11.25,11.36,11.13,11.3,1872168
