date,open,high,low,close,volume
2025-07-10,28.5,29.0,28.42,29.0,6057887
2025-07-13,29.0,29.2,28.65,28.79,1259479
2025-07-14,28.79,28.76,28.0,28.62,1419308
2025-07-15,28.62,29.38,28.33,29.25,4201795
2025-07-16,29.25,29.45,28.95,29.16,1909039
2025-07-17,29.16,29.25,28.55,28.89,1348587
2025-07-20,28.89,29.35,28.55,29.15,971353
2025-07-21,29.15,29.3,28.57,28.8,1390969
2025-07-22,28.8,28.97,27.99,28.1,1939405
2025-07-23,28.1,28.1,28.1,28.1,0
2025-07-27,28.3,28.7,28.32,28.62,515163
2025-07-28,28.62,28.88,28.4,28.51,834978
2025-07-29,28.51,28.57,28.3,28.44,842134
2025-07-30,28.44,28.87,28.5,28.65,705064
2025-07-31,28.65,28.79,28.35,28.7,400580
2025-08-03,28.7,28.7,28.7,28.7,0
2025-08-04,28.7,28.7,28.7,28.7,0
2025-08-05,28.7,28.7,28.7,28.7,0
2025-08-06,28.7,28.7,28.7,28.7,0
2025-08-07,28.7,28.7,28.7,28.7,0
2025-08-10,29.5,29.7,29.2,29.2,639799
2025-08-11,29.2,29.4,28.93,29.11,936080
2025-08-12,29.11,29.55,29.1,29.4,3988193
2025-08-13,29.4,29.6,29.27,29.3,569483
2025-08-14,29.3,29.4,28.76,29.3,2796044
2025-08-17,29.3,29.31,28.95,29.29,273521
2025-08-18,29.29,29.4,28.4,28.51,780298
2025-08-19,28.51,28.81,28.35,28.5,404150
2025-08-20,28.5,28.6,27.0,27.03,3955113
2025-08-21,27.03,27.2,26.73,27.04,1065418
2025-08-24,27.04,27.29,26.9,26.9,467563
2025-08-25,26.9,27.15,26.72,27.0,1015586
2025-08-26,27.0,27.15,26.5,26.51,637213
2025-08-27,26.51,26.58,26.28,26.38,486900
2025-08-28,26.38,27.14,26.32,27.12,649507
2025-08-31,27.12,27.45,26.27,26.27,824519
2025-09-01,26.27,26.6,26.02,26.3,1493727
2025-09-02,26.3,26.5,26.0,26.03,1689934
2025-09-03,26.03,26.19,25.7,26.05,1729929
2025-09-07,26.05,26.2,25.65,25.8,473225
2025-09-08,25.8,25.68,25.35,25.5,351718
2025-09-09,25.5,25.67,25.38,25.4,754088
2025-09-10,25.4,26.0,25.34,26.0,973316
2025-09-11,26.0,27.11,26.01,26.89,2155525
2025-09-14,26.89,26.99,26.36,26.42,619360
2025-09-15,26.42,26.55,25.86,26.06,727025
2025-09-16,26.06,26.2,25.4,25.64,1125506
2025-09-17,25.64,26.04,25.5,26.03,338184
2025-09-18,26.03,26.96,26.0,26.55,1185967
2025-09-21,26.55,26.91,26.35,26.4,400537
2025-09-22,26.4,26.92,26.31,26.85,971042
2025-09-23,26.85,27.8,27.25,27.75,5267869
2025-09-24,27.75,28.6,27.75,27.91,4726378
2025-09-25,27.91,28.25,27.75,28.22,1723678
2025-09-28,28.22,28.22,27.52,27.85,1045705
2025-09-29,27.85,28.38,27.57,28.32,1172804
2025-09-30,28.32,28.79,28.0,28.4,1572913
2025-10-01,28.4,28.78,28.41,28.5,785998
2025-10-02,28.5,28.7,28.0,28.6,775433
2025-10-05,28.6,29.35,28.41,29.09,1302512
2025-10-06,29.09,29.55,29.0,29.3,1659576
2025-10-07,29.3,29.8,29.3,29.67,1782921
2025-10-08,29.67,29.89,29.2,29.39,1238366
2025-10-12,29.39,29.75,28.62,29.35,626147
2025-10-13,29.35,30.1,28.9,30.0,2453896
2025-10-14,30.0,30.35,29.86,30.0,1886789
2025-10-15,30.0,30.15,29.55,29.94,353907
2025-10-16,29.94,30.0,29.5,29.87,633941
2025-10-19,29.87,29.97,29.5,29.74,370672
2025-10-20,29.74,29.8,29.65,29.75,604658
2025-10-21,29.75,29.8,29.03,29.51,582448
2025-10-22,29.51,29.62,29.16,29.37,475699
2025-10-23,29.37,30.6,29.37,29.99,1060785
2025-10-26,29.99,32.28,30.06,32.2,4911473
2025-10-27,32.2,32.45,31.5,32.4,797448
2025-10-28,25.92,26.008,25.36,25.872,864823
2025-10-29,25.872,26.248,25.408,26.144,883557
2025-10-30,26.144,26.352,26.024,26.08,714230
2025-11-02,26.08,26.24,25.64,26.0,229321
2025-11-03,26.0,26.224,25.424,26.192,808766
2025-11-04,26.192,26.224,25.648,25.648,272601
2025-11-05,25.648,25.992,25.04,25.48,2111447
2025-11-06,25.48,26.2,25.0,25.85,688226
2025-11-09,25.85,26.83,25.85,26.6,4566444
2025-11-10,26.6,26.78,25.6,25.9,2388242
2025-11-11,25.9,26.08,24.61,24.94,2597020
2025-11-12,24.94,24.99,24.7,24.97,956043
2025-11-13,24.97,25.25,24.01,24.21,1341359
2025-11-16,24.21,24.4,23.81,24.25,1196376
2025-11-17,24.25,24.39,24.0,24.25,1252068
2025-11-18,24.25,24.94,24.05,24.8,1262619
2025-11-19,24.8,24.98,24.12,24.31,1051873
2025-11-20,24.31,24.6,24.3,24.32,165928
2025-11-23,24.32,24.4,24.11,24.11,316810
2025-11-24,24.11,24.27,23.62,23.88,618863
2025-11-25,23.88,23.97,23.02,23.22,1375770
2025-11-26,23.22,23.43,23.02,23.02,327838
2025-11-27,23.02,23.2,22.51,22.6,1113212
2025-11-30,22.6,23.14,22.59,22.87,1418202
2025-12-01,22.87,23.07,22.8,22.8,688629
2025-12-02,22.8,23.08,22.68,23.03,1230857
2025-12-03,23.03,24.03,23.05,23.44,2183354
2025-12-04,23.44,23.99,23.24,23.99,1061636
2025-12-07,23.99,24.5,23.6,23.85,2786967
2025-12-08,23.85,24.47,23.7,24.17,3055965
2025-12-09,24.17,24.39,23.66,24.03,1081553
2025-12-10,24.03,24.29,23.8,23.94,364274
2025-12-11,23.94,24.09,23.41,23.58,1402616
2025-12-14,23.58,23.94,23.6,23.81,563224
2025-12-15,23.81,23.99,23.5,23.98,617296
2025-12-16,23.98,24.24,23.62,23.74,1489821
2025-12-17,23.74,23.92,23.6,23.6,419813
2025-12-18,23.6,23.8,23.6,23.67,323414
2025-12-21,23.67,23.79,23.56,23.7,466719
2025-12-22,23.7,23.82,23.5,23.79,1127822
2025-12-23,23.79,23.79,23.51,23.73,362245
2025-12-24,23.73,23.79,23.61,23.76,303483
2025-12-25,23.76,24.75,23.75,24.6,2756109
2025-12-28,24.6,25.05,24.45,24.47,2560254
2025-12-29,24.47,24.86,24.47,24.5,526965
2025-12-30,24.5,24.8,24.52,24.77,860345
2025-12-31,24.77,25.37,24.7,25.28,1738004
2026-01-04,25.28,25.42,25.08,25.17,1137065
2026-01-05,25.17,25.17,24.01,24.41,2145028
2026-01-06,24.41,26.04,24.3,26.0,2965366
2026-01-08,26.0,27.37,26.03,26.86,4319481
2026-01-11,26.86,28.0,27.0,27.71,3353882
2026-01-12,27.71,27.98,26.75,27.5,2485408
2026-01-13,27.5,27.99,26.88,27.0,1715993
2026-01-14,27.0,27.29,25.81,25.99,1785675
2026-01-15,25.99,26.5,25.72,26.02,509356
2026-01-18,26.02,27.0,26.1,26.97,1575330
2026-01-19,26.97,27.55,26.76,27.28,2038300
2026-01-20,27.28,27.5,26.84,26.89,741981
2026-01-21,26.89,27.0,26.11,26.71,1121690
2026-01-22,26.71,27.83,26.63,27.31,1547845
2026-01-25,27.31,29.98,27.3,28.65,4854653
2026-01-26,28.65,29.97,28.5,28.5,1145826
2026-01-27,28.5,28.99,28.12,28.22,363938
2026-01-28,28.22,28.57,27.6,27.75,668660
2026-02-01,27.75,28.5,27.61,28.4,521425
2026-02-02,28.4,28.97,28.02,28.74,516185
2026-02-03,28.74,30.5,28.76,30.09,2028943
2026-02-04,30.09,31.29,29.25,31.08,958698
2026-02-05,31.08,31.84,30.55,30.8,1168692
2026-02-08,30.8,31.79,30.1,31.0,480366
2026-02-09,31.0,31.4,29.9,29.99,1327906
2026-02-10,29.99,30.37,29.45,29.89,1503685
2026-02-11,29.89,30.0,29.5,29.75,804605
2026-02-12,29.75,30.0,29.62,29.8,1185053
2026-02-15,29.8,30.2,29.49,29.95,969346
2026-02-16,29.95,30.1,28.48,28.5,2558254
2026-02-17,28.5,29.0,28.3,29.0,1318412
2026-02-18,29.0,29.32,29.0,29.25,2579758
2026-02-19,29.25,29.3,28.2,28.42,734328
2026-02-22,28.42,28.7,27.7,27.94,466202
2026-02-23,27.94,28.7,27.8,27.99,471426
2026-02-24,27.99,28.0,27.3,27.3,682131
2026-02-25,27.3,27.6,25.82,26.5,895763
2026-02-26,26.5,27.6,26.3,27.0,1183693
2026-03-01,27.0,26.99,25.0,26.5,805583
2026-03-02,26.5,26.9,26.11,26.78,431907
2026-03-03,26.78,27.49,26.35,27.13,493155
