date,open,high,low,close,volume
2025-07-10,0.476,0.48,0.472,0.474,6019685
2025-07-13,0.474,0.476,0.464,0.465,12313354
2025-07-14,0.465,0.468,0.455,0.457,6888083
2025-07-15,0.457,0.49,0.457,0.47,19276376
2025-07-16,0.47,0.475,0.46,0.463,4305407
2025-07-17,0.463,0.468,0.461,0.461,2120432
2025-07-20,0.461,0.468,0.458,0.462,15423859
2025-07-21,0.462,0.466,0.46,0.46,14148105
2025-07-22,0.46,0.463,0.456,0.456,5203332
2025-07-23,0.456,0.456,0.456,0.456,0
2025-07-27,0.45,0.455,0.431,0.441,13176311
2025-07-28,0.441,0.451,0.44,0.44,6924291
2025-07-29,0.44,0.475,0.438,0.472,40579198
2025-07-30,0.472,0.48,0.45,0.466,25110585
2025-07-31,0.466,0.473,0.448,0.45,21074521
2025-08-03,0.45,0.45,0.45,0.45,0
2025-08-04,0.45,0.45,0.45,0.45,0
2025-08-05,0.45,0.45,0.45,0.45,0
2025-08-06,0.45,0.45,0.45,0.45,0
2025-08-07,0.45,0.45,0.45,0.45,0
2025-08-10,0.441,0.447,0.435,0.443,11056396
2025-08-11,0.443,0.455,0.435,0.435,9407312
2025-08-12,0.435,0.44,0.431,0.437,8293345
2025-08-13,0.437,0.441,0.434,0.436,3072804
2025-08-14,0.436,0.44,0.433,0.433,3448128
2025-08-17,0.433,0.438,0.432,0.434,6289584
2025-08-18,0.434,0.438,0.426,0.427,8080184
2025-08-19,0.427,0.434,0.425,0.433,12528042
2025-08-20,0.433,0.47,0.434,0.459,68003371
2025-08-21,0.459,0.464,0.451,0.459,12352079
2025-08-24,0.459,0.465,0.452,0.453,16441637
2025-08-25,0.453,0.458,0.439,0.44,16510104
2025-08-26,0.44,0.445,0.435,0.437,14718565
2025-08-27,0.437,0.448,0.436,0.444,21790804
2025-08-28,0.444,0.471,0.45,0.464,59284163
2025-08-31,0.464,0.505,0.467,0.49,109042230
2025-09-01,0.49,0.496,0.476,0.489,23504754
2025-09-02,0.489,0.513,0.485,0.505,58486423
2025-09-03,0.505,0.541,0.51,0.54,57947505
2025-09-07,0.54,0.57,0.535,0.57,55597166
2025-09-08,0.57,0.584,0.555,0.572,54725665
2025-09-09,0.572,0.575,0.552,0.565,28906503
2025-09-10,0.565,0.57,0.557,0.56,23988809
2025-09-11,0.56,0.565,0.549,0.55,22676313
2025-09-14,0.55,0.559,0.539,0.54,14179872
2025-09-15,0.54,0.545,0.44,0.521,30322623
2025-09-16,0.521,0.524,0.495,0.505,19660420
2025-09-17,0.505,0.53,0.498,0.52,36842854
2025-09-18,0.52,0.62,0.5,0.503,20160945
2025-09-21,0.503,0.51,0.484,0.495,28066029
2025-09-22,0.495,0.499,0.478,0.492,16983746
2025-09-23,0.492,0.505,0.487,0.491,11409251
2025-09-24,0.491,0.508,0.49,0.502,6772945
