date,open,high,low,close,volume
2025-07-10,81.6,84.49,81.14,81.35,352711
2025-07-13,81.35,82.0,79.0,79.71,127330
2025-07-14,79.71,84.24,79.81,81.16,165451
2025-07-15,81.16,82.5,80.2,80.62,212763
2025-07-16,80.62,83.5,80.3,82.63,215809
2025-07-17,82.63,85.99,82.31,85.12,506855
2025-07-20,85.12,92.79,85.8,89.04,572863
2025-07-21,89.04,92.0,87.02,87.61,164312
2025-07-22,87.61,90.48,86.4,87.81,101125
2025-07-23,87.81,87.81,87.81,87.81,0
2025-07-27,93.83,97.77,93.9,94.15,307658
2025-07-28,94.15,95.0,90.0,90.22,240709
2025-07-29,90.22,98.0,91.8,95.26,330737
2025-07-30,95.26,96.8,90.02,91.13,384256
2025-07-31,91.13,95.0,91.13,94.86,289883
2025-08-03,94.86,94.86,94.86,94.86,0
2025-08-04,94.86,94.86,94.86,94.86,0
2025-08-05,94.86,94.86,94.86,94.86,0
2025-08-06,94.86,94.86,94.86,94.86,0
2025-08-07,94.86,94.86,94.86,94.86,0
2025-08-10,107.02,117.0,107.1,117.0,327760
2025-08-11,117.0,119.0,112.0,116.0,637166
2025-08-12,116.0,127.0,117.0,126.25,399997
2025-08-13,126.25,129.88,122.02,123.31,463750
2025-08-14,123.31,127.0,121.52,122.08,233931
2025-08-17,122.08,133.9,122.31,131.76,671351
2025-08-18,131.76,134.88,130.05,130.6,397824
2025-08-19,130.6,131.0,126.6,131.0,160672
2025-08-20,131.0,132.0,127.07,127.99,442028
2025-08-21,127.99,131.9,127.0,128.75,340592
2025-08-24,128.75,134.34,129.31,133.5,242101
2025-08-25,133.5,139.9,131.21,136.0,450340
2025-08-26,136.0,139.39,134.01,137.5,409164
2025-08-27,137.5,143.87,137.21,138.03,234982
2025-08-28,138.03,143.0,137.03,141.02,557358
2025-08-31,141.02,143.88,136.01,138.52,124972
2025-09-01,138.52,142.88,137.2,142.03,647342
2025-09-02,142.03,154.9,142.0,154.0,345472
2025-09-03,154.0,163.0,154.5,160.04,366579
2025-09-07,160.04,168.0,161.5,168.0,208184
2025-09-08,168.0,168.0,152.8,155.38,547722
2025-09-09,155.38,155.4,143.26,144.1,168142
2025-09-10,144.1,144.8,138.05,141.03,406788
2025-09-11,141.03,146.99,134.0,135.0,383187
2025-09-14,135.0,141.49,134.0,141.0,526551
2025-09-15,141.0,143.9,138.6,141.35,157221
2025-09-16,141.35,142.9,136.3,136.68,179781
2025-09-17,136.68,137.9,133.01,136.02,107881
2025-09-18,136.02,140.0,136.0,136.45,412599
2025-09-21,136.45,138.75,136.0,136.7,440329
2025-09-22,136.7,140.96,136.0,140.06,148114
2025-09-23,140.06,141.88,135.1,135.1,326841
2025-09-24,135.1,138.99,135.3,135.53,153952
2025-09-25,135.53,138.84,136.0,138.51,579186
2025-09-28,138.51,139.2,137.11,137.92,32873
2025-09-29,137.92,148.96,137.51,145.65,253465
2025-09-30,145.65,151.99,144.0,151.01,709784
2025-10-01,151.01,155.0,150.1,152.08,360771
2025-10-02,152.08,154.0,150.0,154.0,535733
2025-10-05,154.0,158.89,152.5,153.68,321926
2025-10-06,153.68,154.26,150.0,151.76,288854
2025-10-07,151.76,163.33,151.77,158.0,573741
2025-10-08,158.0,163.0,158.45,161.6,330983
2025-10-12,161.6,162.0,158.0,161.31,111240
2025-10-13,161.31,170.0,160.0,169.99,598985
2025-10-14,169.99,179.8,170.07,177.21,193903
2025-10-15,177.21,186.9,178.01,186.81,443411
2025-10-16,186.81,191.9,180.11,184.0,99010
2025-10-19,184.0,191.0,183.51,191.0,178505
2025-10-20,191.0,227.0,191.02,214.01,577555
2025-10-21,214.01,232.95,215.1,226.84,365227
2025-10-22,226.84,230.0,212.0,216.05,126307
2025-10-23,216.05,228.0,216.88,219.01,407628
2025-10-26,219.01,229.99,220.0,223.0,131113
2025-10-27,223.0,220.0,201.0,210.01,506191
2025-10-28,210.01,214.88,196.0,198.0,252168
2025-10-29,198.0,201.0,181.0,187.5,397915
2025-10-30,187.5,195.9,182.0,183.25,481008
2025-11-02,183.25,188.5,174.0,176.99,212707
2025-11-03,176.99,192.01,178.0,184.1,430655
2025-11-04,184.1,189.99,181.1,181.1,566409
2025-11-05,181.1,186.0,178.15,180.01,161048
2025-11-06,180.01,183.7,172.0,175.0,344356
2025-11-09,175.0,183.97,175.05,181.22,314372
2025-11-10,181.22,197.9,181.5,192.01,561660
2025-11-11,192.01,204.0,192.55,197.0,618376
2025-11-12,197.0,199.4,190.0,191.1,189294
