date,open,high,low,close,volume
2025-07-10,32.9,34.99,32.7,34.74,2391611
2025-07-13,34.74,35.5,34.2,34.25,704837
2025-07-14,34.25,34.49,33.45,34.0,1345512
2025-07-15,34.0,34.88,33.85,34.0,1695599
2025-07-16,34.0,34.36,33.02,33.12,554376
2025-07-17,33.12,33.54,31.77,32.95,1170497
2025-07-20,32.95,33.99,31.51,33.5,1774515
2025-07-21,33.5,34.23,33.25,33.5,1212836
2025-07-22,33.5,34.45,33.26,33.98,1001246
2025-07-23,33.98,33.98,33.98,33.98,0
2025-07-27,33.93,34.17,32.26,32.86,859660
2025-07-28,32.86,32.89,32.25,32.85,527363
2025-07-29,32.85,32.51,31.21,31.75,611558
2025-07-30,31.75,32.0,31.3,32.0,252178
2025-07-31,32.0,33.3,31.51,33.2,567887
2025-08-03,33.2,33.2,33.2,33.2,0
2025-08-04,33.2,33.2,33.2,33.2,0
2025-08-05,33.2,33.2,33.2,33.2,0
2025-08-06,33.2,33.2,33.2,33.2,0
2025-08-07,33.2,33.2,33.2,33.2,0
2025-08-10,35.25,35.2,34.0,34.7,1857186
2025-08-11,34.7,35.34,34.0,34.67,855417
2025-08-12,34.67,34.7,33.65,33.68,425230
2025-08-13,33.68,34.33,33.56,34.03,444089
2025-08-14,34.03,34.18,33.3,33.3,281002
2025-08-17,33.3,34.74,33.03,34.44,1465576
2025-08-18,34.44,36.0,34.59,35.5,4127048
2025-08-19,35.5,35.8,34.87,35.15,832960
2025-08-20,35.15,35.84,34.4,34.88,640101
2025-08-21,34.88,35.0,34.0,35.0,811849
2025-08-24,35.0,35.0,33.5,34.0,740882
2025-08-25,34.0,34.68,33.91,34.0,400774
2025-08-26,34.0,34.3,32.9,33.18,508770
2025-08-27,33.18,33.6,32.88,33.0,395690
2025-08-28,33.0,33.63,33.0,33.21,588884
2025-08-31,33.21,34.17,33.16,33.78,933231
2025-09-01,33.78,34.04,32.6,34.0,354002
2025-09-02,34.0,34.69,33.76,34.0,648878
2025-09-03,34.0,35.05,33.92,34.79,884890
2025-09-07,34.79,34.93,34.12,34.68,770529
2025-09-08,34.68,34.8,34.08,34.4,633053
2025-09-09,34.4,34.7,34.07,34.1,197179
2025-09-10,34.1,35.6,33.3,35.3,2072117
2025-09-11,35.3,36.25,35.3,36.25,2065585
2025-09-14,36.25,37.19,35.52,36.01,1294928
2025-09-15,36.01,36.24,35.11,35.2,470227
2025-09-16,35.2,35.45,33.8,33.98,415773
2025-09-17,33.98,34.75,33.52,34.5,318511
2025-09-18,34.5,34.8,33.7,34.68,370094
2025-09-21,34.68,34.69,32.85,33.02,468097
2025-09-22,33.02,33.5,31.87,33.4,350452
2025-09-23,33.4,33.39,32.55,32.99,161940
2025-09-24,32.99,33.49,32.27,32.81,332412
2025-09-25,32.81,33.85,32.9,33.83,321235
2025-09-28,33.83,34.29,33.45,34.04,293575
2025-09-29,34.04,34.36,33.25,33.89,1504842
2025-09-30,33.89,34.5,33.6,34.42,538761
2025-10-01,34.42,35.5,34.26,35.48,1228562
2025-10-02,35.48,36.0,35.13,35.57,460790
2025-10-05,35.57,36.0,34.55,35.62,1123258
2025-10-06,35.62,35.8,34.86,34.9,397103
2025-10-07,34.9,35.2,33.7,33.77,572762
2025-10-08,33.77,34.9,33.78,33.8,1111837
2025-10-12,33.8,33.9,31.8,31.8,1263821
2025-10-13,31.8,32.18,31.33,31.61,607168
2025-10-14,31.61,32.35,31.62,31.67,721325
2025-10-15,31.67,32.0,31.45,31.6,351298
2025-10-16,31.6,32.13,31.42,31.47,795645
2025-10-19,31.47,32.15,31.11,32.0,1578325
2025-10-20,32.0,32.25,25.65,31.49,798867
2025-10-21,31.49,31.43,29.53,30.24,1322923
2025-10-22,30.24,31.47,29.85,30.6,1381735
2025-10-23,30.6,30.97,30.22,30.5,321767
2025-10-26,30.5,30.93,30.26,30.4,530105
2025-10-27,30.4,30.8,30.15,30.17,229826
2025-10-28,30.17,30.35,27.65,29.67,475131
2025-10-29,29.67,29.94,29.51,29.54,133134
2025-10-30,29.54,29.93,29.12,29.27,198300
2025-11-02,29.27,29.9,29.3,29.3,405581
2025-11-03,29.3,29.69,29.3,29.5,242393
2025-11-04,29.5,30.9,29.63,30.6,1393959
2025-11-05,30.6,31.24,29.33,29.33,2383706
2025-11-06,29.33,30.48,28.89,29.38,1136476
2025-11-09,29.38,29.59,28.84,28.86,468109
2025-11-10,28.86,29.09,28.68,29.0,332108
2025-11-11,29.0,29.19,28.11,28.46,496151
2025-11-12,28.46,28.8,28.07,28.12,310181
2025-11-13,28.12,29.25,28.15,28.87,903513
2025-11-16,28.87,30.01,28.94,30.0,1542063
2025-11-17,30.0,30.8,29.53,29.61,977454
2025-11-18,29.61,29.93,29.1,29.13,289514
2025-11-19,29.13,29.6,28.8,29.1,224528
2025-11-20,29.1,29.59,28.8,28.9,264922
2025-11-23,28.9,29.39,28.54,28.6,269484
2025-11-24,28.6,28.75,28.02,28.14,535349
2025-11-25,28.14,28.69,27.81,27.89,377700
2025-11-26,27.89,28.2,27.36,27.51,232289
2025-11-27,27.51,27.98,26.41,26.52,563769
2025-11-30,26.52,27.0,26.26,26.45,436038
2025-12-01,26.45,26.9,26.32,26.75,208465
2025-12-02,26.75,26.97,26.5,26.83,214447
2025-12-03,26.83,27.59,26.61,27.02,1161585
2025-12-04,27.02,27.57,26.36,26.36,880652
2025-12-07,26.36,27.16,26.5,26.8,1144913
2025-12-08,26.8,28.33,27.0,28.1,2092430
2025-12-09,28.1,28.56,27.9,27.91,842711
2025-12-10,27.91,28.45,27.95,27.96,498662
2025-12-11,27.96,28.28,27.55,27.55,555073
2025-12-14,27.55,29.13,27.5,29.0,1907204
2025-12-15,29.0,29.7,28.8,28.92,1166845
2025-12-16,28.92,29.16,28.75,28.96,438207
2025-12-17,28.96,29.05,28.57,28.63,153926
2025-12-18,28.63,28.9,28.21,28.27,228851
2025-12-21,28.27,28.6,27.55,27.65,349628
2025-12-22,27.65,28.2,27.8,27.94,137062
2025-12-23,27.94,28.15,27.71,27.92,210879
2025-12-24,27.92,28.4,27.94,28.12,123914
2025-12-25,28.12,28.4,28.05,28.08,76033
2025-12-28,28.08,29.49,28.0,28.9,600487
2025-12-29,28.9,29.57,28.81,28.92,504452
2025-12-30,28.92,29.25,28.9,28.93,139945
2025-12-31,28.93,29.21,28.5,28.5,245835
2026-01-04,28.5,29.13,28.31,28.38,325402
2026-01-05,28.38,28.89,27.77,27.93,225018
2026-01-06,27.93,28.2,27.76,28.09,90271
2026-01-08,28.09,28.39,27.87,27.94,196583
2026-01-11,27.94,28.25,27.75,27.98,142597
2026-01-12,27.98,28.14,26.2,26.33,2810778
2026-01-13,26.33,26.48,25.25,25.25,1100363
2026-01-14,25.25,25.5,24.48,24.7,904226
2026-01-15,24.7,25.22,24.63,24.74,377415
2026-01-18,24.74,25.3,24.91,25.03,205722
2026-01-19,25.03,25.54,25.1,25.45,277523
2026-01-20,25.45,25.98,25.51,25.52,554200
2026-01-21,25.52,25.83,25.4,25.49,347793
2026-01-22,25.49,26.45,25.6,26.26,834520
2026-01-25,26.26,26.68,26.32,26.46,471781
2026-01-26,26.46,26.64,26.3,26.41,313822
2026-01-27,26.41,26.55,25.25,26.08,143607
2026-01-28,26.08,26.28,25.42,26.06,211656
2026-02-01,26.06,26.2,25.55,25.86,146233
2026-02-02,25.86,26.59,25.88,26.5,301942
2026-02-03,26.5,27.29,26.5,26.83,434028
2026-02-04,26.83,27.0,26.02,26.3,290691
2026-02-05,26.3,26.58,26.0,26.25,398895
2026-02-08,26.25,26.67,26.33,26.63,203895
2026-02-09,26.63,27.9,26.55,27.27,1586014
2026-02-10,27.27,27.68,26.95,27.03,469495
2026-02-11,27.03,27.5,27.0,27.01,626311
2026-02-12,27.01,27.45,26.91,27.22,281755
2026-02-15,27.22,27.94,27.22,27.57,667231
2026-02-16,27.57,28.08,27.32,27.4,659234
2026-02-17,27.4,28.75,27.3,28.41,1258688
2026-02-18,28.41,28.85,28.11,28.5,644980
2026-02-19,28.5,28.78,27.92,27.96,293799
2026-02-22,27.96,28.27,26.6,26.71,588557
2026-02-23,26.71,27.36,26.71,27.0,186256
2026-02-24,27.0,27.2,26.92,27.1,208108
2026-02-25,27.1,27.1,25.8,25.99,229771
2026-02-26,25.99,28.46,25.5,26.69,291959
2026-03-01,26.69,26.05,24.05,25.75,274689
2026-03-02,25.75,26.0,25.17,25.54,164267
2026-03-03,25.54,25.83,24.6,25.68,160328
2026-03-04,25.68,25.86,24.6,25.29,176723
2026-03-05,25.29,26.38,25.35,25.76,255929
2026-03-08,25.76,26.18,25.3,25.47,159203
2026-03-09,25.47,25.95,25.49,25.54,186451
2026-03-10,25.54,25.97,25.55,25.56,217876
2026-03-11,25.56,26.5,25.62,26.5,328068
2026-03-12,26.5,27.5,26.44,26.47,338450
2026-03-15,26.47,27.0,26.26,26.35,182486
2026-03-16,26.35,26.69,25.8,26.49,140993
2026-03-17,26.49,26.86,26.13,26.64,135080
2026-03-18,26.64,27.0,26.7,26.87,144527
2026-03-19,26.87,26.87,26.87,26.87,0
2026-03-24,26.87,27.88,26.9,27.41,458505
