date,open,high,low,close,volume
2025-07-10,5.14,5.3,5.09,5.28,1713912
2025-07-13,5.28,5.49,5.22,5.35,2069153
2025-07-14,5.35,5.7,5.36,5.54,3728182
2025-07-15,5.54,5.7,5.47,5.68,4192740
2025-07-16,5.68,5.72,5.39,5.4,1678835
2025-07-17,5.4,5.6,5.4,5.4,3816775
2025-07-20,5.4,5.7,5.45,5.5,3249357
2025-07-21,5.5,5.76,5.5,5.6,4245729
2025-07-22,5.6,5.7,5.56,5.6,1089308
2025-07-23,5.6,5.6,5.6,5.6,0
2025-07-27,6.0,7.17,5.96,7.16,8390105
2025-07-28,7.16,7.2,6.5,6.57,5870404
2025-07-29,6.57,6.72,6.55,6.66,6119977
2025-07-30,6.66,6.84,6.35,6.41,4254784
2025-07-31,6.41,6.6,6.3,6.46,3443619
2025-08-03,6.46,6.46,6.46,6.46,0
2025-08-04,6.46,6.46,6.46,6.46,0
2025-08-05,6.46,6.46,6.46,6.46,0
2025-08-06,6.46,6.46,6.46,6.46,0
2025-08-07,6.46,6.46,6.46,6.46,0
2025-08-10,7.77,8.59,7.5,8.56,6657222
2025-08-11,8.56,8.51,7.95,8.15,5775568
2025-08-12,6.2633,6.3555,6.1633,6.2709,5565568
2025-08-13,6.2709,6.4554,6.2633,6.2863,4666976
2025-08-14,6.2863,6.3785,6.2479,6.3017,2756564
2025-08-17,6.3017,7.1854,6.2556,7.0779,11794496
2025-08-18,7.0779,7.0625,6.709,6.8473,5356359
2025-08-19,6.8473,6.978,6.7705,6.9011,3085825
2025-08-20,6.9011,7.001,6.7628,6.855,3623182
2025-08-21,6.855,7.94,6.53,7.7,11030397
2025-08-24,7.7,7.74,7.47,7.6,2839993
2025-08-25,7.6,8.44,7.65,8.21,10420588
2025-08-26,8.21,8.39,8.01,8.24,4997316
2025-08-27,8.24,8.24,7.75,7.86,2232041
2025-08-28,7.86,8.1,7.87,7.91,2368438
2025-08-31,7.91,8.39,7.91,8.19,4601076
2025-09-01,8.19,8.29,7.9,7.92,2656640
2025-09-02,7.92,8.75,7.87,8.72,4854697
2025-09-03,8.72,8.61,8.12,8.14,4181941
2025-09-07,8.14,8.22,7.6,7.65,2435222
2025-09-08,7.65,7.92,7.52,7.63,2146779
2025-09-09,7.63,7.95,7.54,7.6,1918396
2025-09-10,7.6,7.69,7.51,7.62,478525
2025-09-11,7.62,7.75,7.52,7.57,862442
2025-09-14,7.57,7.7,7.53,7.6,1182484
2025-09-15,7.6,7.9,7.4,7.9,2806730
2025-09-16,7.9,7.96,7.6,7.63,1800198
2025-09-17,7.63,7.63,7.51,7.62,285918
2025-09-18,7.62,7.73,7.5,7.67,834845
2025-09-21,7.67,7.7,7.4,7.53,829997
2025-09-22,7.53,7.64,7.37,7.48,885417
2025-09-23,7.48,7.64,7.43,7.46,715331
2025-09-24,7.46,7.6,7.39,7.54,408693
2025-09-25,7.54,7.59,7.49,7.5,632474
2025-09-28,7.5,7.75,7.51,7.65,989414
2025-09-29,7.65,7.78,7.52,7.54,864491
2025-09-30,7.54,7.68,7.42,7.44,538836
2025-10-01,7.44,7.55,7.38,7.4,649382
