date,open,high,low,close,volume
2025-07-10,59.22,61.0,57.3,57.76,189375
2025-07-13,57.76,60.0,56.5,56.93,84610
2025-07-14,56.93,58.77,56.05,56.42,105368
2025-07-15,56.42,59.8,56.71,57.97,203428
2025-07-16,57.97,62.39,57.0,61.41,241805
2025-07-17,61.41,63.4,61.04,61.11,171283
2025-07-20,61.11,65.98,60.8,64.28,286023
2025-07-21,64.28,65.66,61.7,61.99,84854
2025-07-22,61.99,63.34,61.0,61.82,61636
2025-07-23,61.82,61.82,61.82,61.82,0
2025-07-27,62.72,63.89,61.5,61.5,56275
2025-07-28,61.5,61.7,59.25,59.57,116483
2025-07-29,59.57,62.92,59.55,60.71,138985
2025-07-30,60.71,61.84,59.0,59.0,126651
2025-07-31,59.0,60.9,59.0,59.71,73570
2025-08-03,39.7452,39.7452,39.7452,39.7452,0
2025-08-04,39.7452,39.7452,39.7452,39.7452,0
2025-08-05,39.7452,39.7452,39.7452,39.7452,0
2025-08-06,39.7452,39.7452,39.7452,39.7452,0
2025-08-07,39.7452,39.7452,39.7452,39.7452,0
2025-08-10,39.9249,41.7621,39.9848,41.7354,215231
2025-08-11,41.7354,41.8686,39.9382,40.5772,408721
2025-08-12,40.576,48.0,41.3,46.1,613190
2025-08-13,46.1,49.33,45.02,47.09,400599
2025-08-14,47.09,47.98,45.6,46.1,213060
2025-08-17,46.1,46.8,45.62,46.1,148012
2025-08-18,46.1,47.0,45.85,46.04,125730
2025-08-19,46.04,46.49,45.71,45.95,67223
2025-08-20,45.95,46.25,45.8,46.01,121349
2025-08-21,46.01,47.5,45.81,46.13,273012
2025-08-24,46.13,46.98,46.1,46.26,73896
2025-08-25,46.26,46.87,45.85,45.87,142169
2025-08-26,45.87,46.0,45.75,46.0,126294
2025-08-27,46.0,55.2,46.79,55.2,1095602
2025-08-28,55.2,66.24,57.53,66.24,1024589
2025-08-31,66.24,79.48,66.49,67.7,868209
2025-09-01,67.7,79.77,68.0,78.95,926604
2025-09-02,78.95,92.0,75.55,86.4,871447
2025-09-03,86.4,93.88,86.02,88.02,739932
2025-09-07,88.02,91.0,83.25,85.41,538448
2025-09-08,85.41,89.0,80.0,80.3,538825
2025-09-09,80.3,84.49,76.53,80.33,225346
2025-09-10,80.33,83.8,80.1,82.01,124342
2025-09-11,82.01,83.75,80.5,81.22,136907
2025-09-14,81.22,82.4,77.18,80.01,129627
2025-09-15,80.01,81.55,78.51,78.59,65543
2025-09-16,78.59,79.98,77.0,77.05,72426
2025-09-17,77.05,78.0,75.11,76.11,45765
2025-09-18,76.11,80.0,75.9,76.65,339431
2025-09-21,76.65,77.55,75.01,76.84,52250
2025-09-22,76.84,78.84,75.01,78.17,38116
2025-09-23,78.17,81.4,77.1,79.16,188462
2025-09-24,79.16,81.0,78.06,79.75,82676
2025-09-25,79.75,83.4,79.02,81.51,372837
2025-09-28,81.51,83.0,80.51,81.15,35342
2025-09-29,81.15,82.97,79.0,81.91,116341
2025-09-30,81.91,83.0,80.6,82.9,136105
2025-10-01,82.9,83.99,81.08,81.96,72576
2025-10-02,81.96,83.0,81.35,81.96,295666
2025-10-05,81.96,82.97,81.54,81.99,47089
2025-10-06,81.99,82.96,80.21,80.99,29214
