date,open,high,low,close,volume
2025-07-10,59.38,60.0,58.8,59.0,48054
2025-07-13,59.0,59.88,58.0,58.18,125213
2025-07-14,58.18,59.3,58.41,58.52,177112
2025-07-15,58.52,59.1,58.25,58.89,651935
2025-07-16,58.89,59.7,57.5,57.8,547938
2025-07-17,57.8,60.0,57.9,59.5,453855
2025-07-20,59.5,61.49,60.0,60.51,240374
2025-07-21,60.51,61.0,59.39,59.39,140810
2025-07-22,59.39,59.5,58.0,58.2,159393
2025-07-23,58.2,58.2,58.2,58.2,0
2025-07-27,59.5,60.45,59.5,60.0,166226
2025-07-28,60.0,60.3,58.3,58.5,187797
2025-07-29,58.5,59.09,58.22,58.92,73983
2025-07-30,58.92,59.0,57.8,57.82,381684
2025-07-31,57.82,58.2,57.0,57.91,113068
2025-08-03,57.91,57.91,57.91,57.91,0
2025-08-04,57.91,57.91,57.91,57.91,0
2025-08-05,57.91,57.91,57.91,57.91,0
2025-08-06,57.91,57.91,57.91,57.91,0
2025-08-07,57.91,57.91,57.91,57.91,0
2025-08-10,57.82,58.0,56.6,57.44,327165
2025-08-11,57.44,57.75,56.75,56.89,728102
2025-08-12,56.89,61.99,58.9,61.0,2111403
2025-08-13,61.0,61.0,61.0,61.0,0
2025-08-14,61.0,61.0,61.0,61.0,0
2025-08-17,16.26,16.57,16.0,16.0,1092691
2025-08-18,16.0,16.09,15.6,15.6,2732802
2025-08-19,15.6,15.83,15.21,15.4,1631751
2025-08-20,15.4,16.19,15.27,15.7,2309847
2025-08-21,15.7,15.78,15.47,15.5,594437
2025-08-24,15.5,15.7,15.4,15.46,437270
2025-08-25,15.46,15.58,15.44,15.47,2681682
2025-08-26,15.47,15.5,15.08,15.08,1211980
2025-08-27,15.08,15.17,14.81,14.94,1067701
2025-08-28,14.94,15.14,14.85,14.95,1269637
2025-08-31,14.95,15.25,14.75,14.79,673995
2025-09-01,14.79,14.97,14.6,14.74,2666167
2025-09-02,14.74,15.2,14.75,15.0,668101
2025-09-03,15.0,15.11,14.8,14.84,419159
2025-09-07,14.84,15.8,14.86,15.5,2539186
2025-09-08,15.5,15.75,14.8,14.9,1800674
2025-09-09,14.9,15.15,14.66,14.8,789597
2025-09-10,14.8,14.99,14.72,14.97,396323
2025-09-11,14.97,15.4,14.9,15.08,3106941
2025-09-14,15.08,15.38,15.11,15.27,692801
2025-09-15,15.27,15.6,15.15,15.38,1110137
2025-09-16,15.38,15.4,14.81,15.0,533482
2025-09-17,15.0,15.1,14.82,14.87,442256
2025-09-18,14.87,15.54,14.88,15.54,1898205
2025-09-21,15.54,15.75,15.15,15.15,2104016
2025-09-22,15.15,15.3,14.99,15.03,312626
2025-09-23,15.03,15.28,14.85,14.92,2778023
2025-09-24,14.92,15.22,14.87,15.21,266134
2025-09-25,15.21,15.33,15.04,15.13,1133951
2025-09-28,15.13,15.25,15.01,15.05,695378
2025-09-29,15.05,15.6,15.07,15.4,1416817
2025-09-30,15.4,15.51,15.32,15.35,2783689
2025-10-01,15.35,15.76,15.38,15.4,1432771
2025-10-02,15.4,15.5,15.27,15.32,3274422
2025-10-05,15.32,15.83,15.36,15.66,1078892
2025-10-06,15.66,16.35,15.67,16.15,1829510
2025-10-07,16.15,16.46,16.02,16.3,1302042
2025-10-08,16.3,16.4,16.06,16.11,650390
2025-10-12,16.11,16.39,15.95,16.39,3067462
2025-10-13,16.39,16.94,16.44,16.44,1895881
2025-10-14,16.44,16.7,16.12,16.25,691457
2025-10-15,16.25,16.4,16.14,16.25,554235
2025-10-16,16.25,16.37,16.18,16.33,601664
2025-10-19,16.33,17.49,16.23,17.43,10075370
