date,open,high,low,close,volume
2025-07-10,0.619,0.628,0.619,0.623,80943415
2025-07-13,0.623,0.664,0.63,0.653,283147778
2025-07-14,0.653,0.667,0.642,0.642,132835336
2025-07-15,0.642,0.651,0.634,0.639,179787762
2025-07-16,0.639,0.65,0.632,0.636,101707500
2025-07-17,0.636,0.646,0.634,0.639,66646470
2025-07-20,0.639,0.69,0.638,0.685,338098799
2025-07-21,0.685,0.715,0.678,0.68,305538252
2025-07-22,0.68,0.717,0.679,0.717,253327205
2025-07-23,0.717,0.717,0.717,0.717,0
2025-07-27,0.778,0.814,0.773,0.81,274069625
2025-07-28,0.81,0.82,0.785,0.785,205161427
2025-07-29,0.785,0.82,0.782,0.815,217381825
2025-07-30,0.815,0.82,0.715,0.739,360389698
2025-07-31,0.739,0.77,0.735,0.756,198679878
2025-08-03,0.756,0.756,0.756,0.756,0
2025-08-04,0.756,0.756,0.756,0.756,0
2025-08-05,0.756,0.756,0.756,0.756,0
2025-08-06,0.756,0.756,0.756,0.756,0
2025-08-07,0.756,0.756,0.756,0.756,0
2025-08-10,0.712,0.725,0.709,0.709,71691805
2025-08-11,0.709,0.719,0.681,0.683,159292627
2025-08-12,0.683,0.687,0.672,0.68,81935632
2025-08-13,0.68,0.696,0.66,0.66,100857786
2025-08-14,0.66,0.666,0.645,0.666,73156874
2025-08-17,0.666,0.678,0.665,0.671,94467218
2025-08-18,0.671,0.695,0.671,0.687,151490233
2025-08-19,0.687,0.71,0.684,0.703,177170960
2025-08-20,0.703,0.714,0.693,0.694,112496306
2025-08-21,0.694,0.703,0.683,0.684,58296281
2025-08-24,0.684,0.69,0.675,0.675,32241248
2025-08-25,0.675,0.683,0.667,0.67,40930304
2025-08-26,0.67,0.69,0.66,0.684,142467922
2025-08-27,0.684,0.715,0.676,0.7,238199916
2025-08-28,0.7,0.71,0.688,0.69,60520309
2025-08-31,0.69,0.702,0.651,0.67,89775947
2025-09-01,0.67,0.68,0.661,0.675,36475299
2025-09-02,0.675,0.684,0.669,0.671,40950493
2025-09-03,0.671,0.677,0.657,0.663,86119242
2025-09-07,0.663,0.668,0.652,0.664,55332741
2025-09-08,0.664,0.692,0.664,0.69,168452701
