date,open,high,low,close,volume
2025-07-10,9.44,9.49,9.16,9.16,12132592
2025-07-13,9.16,9.25,8.9,8.96,11947029
2025-07-14,8.96,9.17,8.93,9.1,9464770
2025-07-15,9.1,9.17,8.88,8.92,16997652
2025-07-16,8.92,8.98,8.76,8.8,6774672
2025-07-17,8.8,8.95,8.79,8.83,8189910
2025-07-20,8.83,8.88,8.73,8.77,8753504
2025-07-21,8.77,8.86,8.73,8.73,18612000
2025-07-22,8.73,8.79,8.5,8.56,17171277
2025-07-23,8.56,8.56,8.56,8.56,0
2025-07-27,8.6,8.72,8.47,8.51,14054471
2025-07-28,8.51,8.58,8.13,8.19,22909268
2025-07-29,8.19,8.27,8.01,8.07,23765287
2025-07-30,8.07,8.33,8.05,8.16,27141468
2025-07-31,8.16,8.31,8.16,8.29,20130114
2025-08-03,8.29,8.29,8.29,8.29,0
2025-08-04,8.29,8.29,8.29,8.29,0
2025-08-05,8.29,8.29,8.29,8.29,0
2025-08-06,8.29,8.29,8.29,8.29,0
2025-08-07,8.29,8.29,8.29,8.29,0
2025-08-10,8.28,8.36,8.27,8.35,15499040
2025-08-11,8.35,8.43,8.31,8.31,13732621
2025-08-12,8.31,8.35,8.21,8.21,9504333
2025-08-13,8.21,8.36,8.15,8.19,5133956
2025-08-14,8.19,8.25,8.05,8.08,6671576
2025-08-17,8.08,8.25,8.01,8.17,10838222
2025-08-18,8.17,8.21,7.84,7.94,22889262
2025-08-19,7.94,7.97,7.78,7.96,24338066
2025-08-20,7.96,8.05,7.92,7.95,18025591
2025-08-21,7.95,7.97,7.85,7.9,12942409
2025-08-24,7.9,7.94,7.84,7.85,4174552
2025-08-25,7.85,8.01,7.85,7.86,12966181
2025-08-26,7.86,7.94,7.77,7.78,10527883
2025-08-27,7.78,7.81,7.68,7.75,7065274
2025-08-28,7.75,8.1,7.75,8.09,21796398
2025-08-31,8.09,8.2,7.71,7.71,31543294
2025-09-01,7.71,8.0,7.73,8.0,20825734
2025-09-02,8.0,8.05,7.86,7.96,10364693
2025-09-03,7.96,7.99,7.71,7.71,13456191
2025-09-07,7.71,7.82,7.49,7.52,19448782
2025-09-08,7.52,7.66,7.43,7.49,12172569
2025-09-09,7.49,7.54,7.22,7.3,14998534
2025-09-10,7.3,7.32,7.19,7.26,8551756
2025-09-11,7.26,7.32,7.07,7.1,16633207
2025-09-14,7.1,7.32,7.11,7.32,15358977
2025-09-15,7.32,7.38,7.21,7.21,8559259
2025-09-16,7.21,7.21,6.99,7.05,13184510
2025-09-17,7.05,7.19,7.0,7.07,9377669
2025-09-18,7.07,7.21,7.0,7.17,12703793
2025-09-21,7.17,7.28,7.08,7.13,13129358
2025-09-22,7.13,7.18,7.05,7.16,7016521
2025-09-23,7.16,7.2,7.08,7.08,10739603
2025-09-24,7.08,7.31,7.05,7.3,28270125
2025-09-25,7.3,7.41,7.24,7.3,19244116
2025-09-28,7.3,7.33,7.23,7.29,5687981
2025-09-29,7.29,7.45,7.3,7.42,20663701
2025-09-30,7.42,7.5,7.38,7.38,24422856
2025-10-01,7.38,7.41,7.26,7.36,9702166
2025-10-02,7.36,7.51,7.33,7.43,15617366
2025-10-05,7.43,7.55,7.46,7.5,10140867
2025-10-06,7.5,7.55,7.4,7.41,8493155
2025-10-07,7.41,7.46,7.37,7.4,6937979
2025-10-08,7.4,7.41,7.26,7.31,8768289
2025-10-12,7.31,7.42,7.21,7.41,8343854
2025-10-13,7.41,7.55,7.4,7.52,15926567
2025-10-14,7.52,7.69,7.53,7.64,23141365
2025-10-15,7.64,7.84,7.67,7.75,23380090
2025-10-16,7.75,7.83,7.72,7.73,13008159
2025-10-19,7.73,7.99,7.73,7.97,23895739
2025-10-20,7.97,8.1,7.83,8.03,28337039
2025-10-21,8.03,8.14,7.9,8.01,21555595
2025-10-22,8.01,8.05,7.93,7.97,3880649
2025-10-23,7.97,8.0,7.86,7.93,4081421
2025-10-26,7.93,8.1,7.89,8.07,10339691
2025-10-27,8.07,8.15,8.0,8.01,15217325
2025-10-28,8.01,8.1,7.97,8.0,7620407
2025-10-29,8.0,8.04,7.9,8.0,5183716
2025-10-30,8.0,8.04,7.83,7.86,12718660
2025-11-02,7.86,7.94,7.74,7.77,6063476
2025-11-03,7.77,8.13,7.74,8.12,17223180
2025-11-04,8.12,8.31,8.13,8.2,43604847
2025-11-05,8.2,8.4,8.2,8.35,53069299
2025-11-06,8.35,8.46,8.26,8.28,28821163
2025-11-09,8.28,8.38,8.21,8.3,10188859
2025-11-10,8.3,8.34,8.03,8.07,15424646
2025-11-11,8.07,8.11,7.75,7.9,18852195
2025-11-12,7.9,8.23,7.88,8.16,26037938
2025-11-13,8.16,8.31,8.06,8.18,15301674
2025-11-16,8.18,8.22,8.05,8.17,21263840
2025-11-17,8.17,8.43,8.19,8.36,37448034
2025-11-18,8.36,8.45,8.23,8.23,19272512
2025-11-19,8.23,8.34,8.13,8.24,6392191
2025-11-20,8.24,8.32,8.14,8.14,4805329
2025-11-23,8.14,8.2,8.07,8.09,10831654
2025-11-24,8.09,8.13,7.86,7.9,20542185
2025-11-25,7.9,8.01,7.88,8.0,10987557
2025-11-26,8.0,8.1,7.9,7.92,11391720
2025-11-27,7.92,8.2,7.91,8.09,25716940
2025-11-30,8.09,8.3,8.12,8.29,16842514
2025-12-01,8.29,8.39,8.05,8.16,16280489
2025-12-02,8.16,8.2,8.02,8.05,6391075
2025-12-03,8.05,8.2,8.05,8.1,5284098
2025-12-04,8.1,8.17,8.07,8.08,5488784
2025-12-07,8.08,8.65,8.15,8.6,44928207
2025-12-08,8.6,8.7,8.43,8.63,19321103
2025-12-09,8.63,8.71,8.51,8.6,10855826
2025-12-10,8.6,8.65,8.46,8.5,4456628
2025-12-11,8.5,8.75,8.5,8.5,15489578
2025-12-14,8.5,8.58,8.38,8.43,7228783
2025-12-15,8.43,8.81,8.45,8.67,23108407
2025-12-16,8.67,8.72,8.52,8.55,7114917
2025-12-17,8.55,8.6,8.39,8.45,6459655
2025-12-18,8.45,8.51,8.3,8.3,9229398
2025-12-21,8.3,8.34,8.22,8.3,6696447
2025-12-22,8.3,8.49,8.31,8.37,6617230
2025-12-23,8.37,8.42,8.24,8.25,4817750
2025-12-24,8.25,8.4,8.26,8.35,6278526
2025-12-25,8.35,8.41,8.3,8.4,5048795
2025-12-28,8.4,8.57,8.37,8.55,8693802
2025-12-29,8.55,8.59,8.42,8.49,4496307
2025-12-30,8.49,8.58,8.45,8.51,7734424
2025-12-31,8.51,8.67,8.5,8.61,8464156
2026-01-04,8.61,8.66,8.45,8.48,4258142
2026-01-05,8.48,8.53,8.26,8.4,9054908
2026-01-06,8.4,8.49,8.31,8.37,5824182
2026-01-08,8.37,8.38,8.19,8.2,7044647
