date,open,high,low,close,volume
2025-07-10,4.6,4.64,4.47,4.53,6192458
2025-07-13,4.53,4.62,4.47,4.59,7745852
2025-07-14,4.59,4.6,4.53,4.54,4416301
2025-07-15,4.54,4.6,4.43,4.44,6030142
2025-07-16,4.44,4.52,4.37,4.38,7242340
2025-07-17,4.38,4.51,4.39,4.47,3445934
2025-07-20,4.47,4.52,4.44,4.52,6696531
2025-07-21,4.52,4.72,4.48,4.51,36632622
2025-07-22,4.51,4.54,4.42,4.45,6247239
2025-07-23,4.45,4.45,4.45,4.45,0
2025-07-27,4.44,4.49,4.43,4.44,2560301
2025-07-28,4.44,4.49,4.32,4.35,4242401
2025-07-29,4.35,4.41,4.32,4.39,2661430
2025-07-30,4.39,4.42,4.31,4.33,2997915
2025-07-31,4.33,4.51,4.34,4.51,4339934
2025-08-03,4.51,4.51,4.51,4.51,0
2025-08-04,4.51,4.51,4.51,4.51,0
2025-08-05,4.51,4.51,4.51,4.51,0
2025-08-06,4.51,4.51,4.51,4.51,0
2025-08-07,4.51,4.51,4.51,4.51,0
2025-08-10,4.53,4.58,4.51,4.53,2295658
2025-08-11,4.53,4.62,4.52,4.55,8371964
2025-08-12,4.55,4.65,4.48,4.49,8225868
2025-08-13,4.49,4.55,4.35,4.38,12237400
2025-08-14,4.38,4.4,4.3,4.33,6435441
2025-08-17,4.33,4.44,4.34,4.39,3273402
2025-08-18,4.39,4.44,4.35,4.35,3253953
2025-08-19,4.35,4.42,4.36,4.37,2846408
2025-08-20,4.37,4.4,4.28,4.3,4970902
2025-08-21,4.3,4.31,4.21,4.22,7036188
2025-08-24,4.22,4.26,4.17,4.17,5304360
2025-08-25,4.17,4.35,4.18,4.31,6161487
2025-08-26,4.31,4.47,4.31,4.39,11920562
2025-08-27,4.39,4.42,4.31,4.31,3474153
2025-08-28,4.31,4.37,4.26,4.28,3733790
2025-08-31,4.28,4.35,4.13,4.17,7514179
2025-09-01,4.17,4.19,4.0,4.1,7029698
2025-09-02,4.1,4.16,4.04,4.08,7879623
2025-09-03,4.08,4.12,4.01,4.06,7172335
2025-09-07,4.06,4.24,4.06,4.11,12346426
2025-09-08,4.11,4.18,4.1,4.14,6258358
2025-09-09,4.14,4.17,4.05,4.06,5098092
2025-09-10,4.06,4.1,4.05,4.08,2841373
2025-09-11,4.08,4.27,4.09,4.17,12308529
2025-09-14,4.17,4.26,4.15,4.21,5049796
2025-09-15,4.21,4.24,4.15,4.19,3652640
2025-09-16,4.19,4.2,4.07,4.1,2975017
2025-09-17,4.1,4.15,4.07,4.12,5138396
2025-09-18,4.12,4.14,4.08,4.09,2465027
2025-09-21,4.09,4.12,4.03,4.08,7552409
2025-09-22,4.08,4.12,4.06,4.08,2213643
2025-09-23,4.08,4.12,4.06,4.06,2112051
2025-09-24,4.06,4.1,4.05,4.09,2916119
2025-09-25,4.09,4.11,4.02,4.06,6253706
2025-09-28,4.06,4.2,4.03,4.2,7647385
2025-09-29,4.2,4.26,4.17,4.2,5668316
2025-09-30,4.2,4.24,4.11,4.24,8798759
2025-10-01,4.24,4.35,4.2,4.34,11063077
2025-10-02,4.34,4.34,4.27,4.32,3794627
2025-10-05,4.32,4.34,4.28,4.28,2983406
2025-10-06,4.28,4.31,4.22,4.26,3379300
2025-10-07,4.26,4.31,4.22,4.3,4059210
2025-10-08,4.3,4.33,4.26,4.31,2310625
2025-10-12,4.31,4.31,4.25,4.29,1960908
2025-10-13,4.29,4.33,4.25,4.29,3330618
2025-10-14,4.29,4.42,4.29,4.37,7646268
2025-10-15,4.37,4.39,4.32,4.38,2680287
2025-10-16,4.38,4.39,4.34,4.38,4514328
2025-10-19,4.38,4.4,4.35,4.38,3177970
2025-10-20,4.38,4.48,4.34,4.48,9221967
2025-10-21,4.48,4.55,4.43,4.48,11865735
2025-10-22,4.48,4.51,4.44,4.45,3177665
2025-10-23,4.45,4.47,4.43,4.44,2299607
2025-10-26,4.44,4.53,4.43,4.5,4689051
2025-10-27,4.5,4.54,4.43,4.45,4448729
