date,open,high,low,close,volume
2025-07-10,43.4,43.9,42.43,43.17,213814
2025-07-13,43.17,44.0,42.51,42.74,108579
2025-07-14,42.74,43.5,42.4,42.53,213402
2025-07-15,42.53,43.15,41.6,41.79,431090
2025-07-16,41.79,42.3,40.52,40.85,142462
2025-07-17,40.85,44.0,40.5,41.75,210083
2025-07-20,41.75,44.39,42.32,43.18,450571
2025-07-21,43.18,43.9,42.0,42.13,268958
2025-07-22,42.13,43.48,41.49,41.7,254292
2025-07-23,41.7,41.7,41.7,41.7,0
2025-07-27,43.0,43.99,42.7,42.72,324367
2025-07-28,42.72,43.35,41.8,41.82,200947
2025-07-29,41.82,42.75,41.56,41.91,154624
2025-07-30,41.91,43.51,41.92,42.4,448458
2025-07-31,42.4,43.5,42.05,42.7,458019
2025-08-03,42.7,42.7,42.7,42.7,0
2025-08-04,42.7,42.7,42.7,42.7,0
2025-08-05,42.7,42.7,42.7,42.7,0
2025-08-06,42.7,42.7,42.7,42.7,0
2025-08-07,42.7,42.7,42.7,42.7,0
2025-08-10,41.35,41.99,41.37,41.76,88027
2025-08-11,41.76,41.87,41.28,41.38,454130
2025-08-12,41.38,41.5,40.92,41.09,253892
2025-08-13,41.09,49.3,41.1,49.3,2463315
2025-08-14,49.3,57.99,50.57,50.71,3231939
2025-08-17,50.71,52.8,49.01,49.98,951426
2025-08-18,49.98,59.97,49.22,59.97,3966980
2025-08-19,59.97,69.5,59.11,61.5,5114469
2025-08-20,61.5,66.89,56.15,56.8,3646306
2025-08-21,56.8,59.39,52.1,52.5,3203092
2025-08-24,52.5,54.38,51.21,52.51,2208118
2025-08-25,52.51,53.5,50.66,50.8,921877
2025-08-26,50.8,51.4,49.01,49.62,880595
2025-08-27,49.62,55.98,49.51,54.11,2336031
2025-08-28,54.11,54.97,51.8,51.8,1483355
2025-08-31,51.8,52.98,49.65,50.04,640448
2025-09-01,50.04,52.48,50.04,50.76,728648
2025-09-02,50.76,52.01,50.52,50.61,337346
2025-09-03,50.61,51.45,49.8,50.17,356518
2025-09-07,50.17,50.74,49.01,49.01,329269
2025-09-08,49.01,50.0,46.3,47.25,495625
2025-09-09,47.25,54.99,47.31,52.5,3408768
2025-09-10,52.5,53.4,51.5,51.5,966849
2025-09-11,51.5,53.0,50.7,50.73,709079
2025-09-14,50.73,52.9,50.8,51.35,564434
2025-09-15,51.35,53.5,51.47,51.83,739547
2025-09-16,51.83,52.4,48.55,49.52,477039
2025-09-17,49.52,50.44,48.62,49.6,358590
2025-09-18,49.6,50.27,48.9,49.1,342417
2025-09-21,49.1,49.6,47.3,47.3,379327
2025-09-22,47.3,50.5,47.41,48.99,561901
2025-09-23,48.99,49.69,48.11,48.23,211521
