date,open,high,low,close,volume
2025-07-10,19.81,20.09,19.8,19.96,463147
2025-07-13,19.96,20.1,19.41,19.43,1922956
2025-07-14,19.43,19.97,19.4,19.7,1115817
2025-07-15,19.7,20.15,19.72,19.95,2127248
2025-07-16,19.95,20.74,19.93,20.35,3235561
2025-07-17,20.35,20.6,20.2,20.2,726326
2025-07-20,20.2,20.76,20.2,20.71,1044980
2025-07-21,20.71,21.15,20.76,20.82,2644759
2025-07-22,20.82,20.97,20.37,20.4,589692
2025-07-23,20.4,20.4,20.4,20.4,0
2025-07-27,20.29,20.47,19.95,20.01,682304
2025-07-28,20.01,20.19,19.89,19.9,1513631
2025-07-29,19.9,20.0,19.6,19.63,464276
2025-07-30,19.63,19.85,19.15,19.19,1495113
2025-07-31,19.19,19.5,19.04,19.32,664618
2025-08-03,19.32,19.32,19.32,19.32,0
2025-08-04,19.32,19.32,19.32,19.32,0
2025-08-05,19.32,19.32,19.32,19.32,0
2025-08-06,19.32,19.32,19.32,19.32,0
2025-08-07,19.32,19.32,19.32,19.32,0
2025-08-10,19.75,20.2,19.76,20.18,2338483
2025-08-11,20.18,20.4,20.0,20.0,1560801
2025-08-12,20.0,20.13,20.0,20.0,480579
2025-08-13,20.0,20.26,19.83,20.0,1555562
2025-08-14,20.0,20.09,19.9,20.0,442764
2025-08-17,20.0,20.09,19.91,20.03,461520
2025-08-18,20.03,20.1,19.92,20.01,1682373
2025-08-19,20.01,20.08,19.85,19.9,990323
2025-08-20,19.9,20.0,19.1,19.3,5857958
2025-08-21,19.3,19.4,19.05,19.3,2173061
2025-08-24,19.3,19.49,19.2,19.23,410502
2025-08-25,19.23,19.3,19.0,19.08,1173018
2025-08-26,19.08,19.19,19.06,19.08,324514
2025-08-27,19.08,19.15,18.95,19.03,449019
2025-08-28,19.03,19.15,19.01,19.13,430384
2025-08-31,19.13,19.28,18.88,18.9,425865
2025-09-01,18.9,19.03,18.77,18.9,342509
2025-09-02,18.9,19.15,18.9,19.1,552147
2025-09-03,19.1,19.14,18.85,19.0,817543
2025-09-07,19.0,19.04,18.88,18.97,588374
2025-09-08,18.97,19.14,18.77,18.79,455027
2025-09-09,18.79,18.9,18.55,18.56,407039
2025-09-10,18.56,19.04,18.57,19.0,2388063
2025-09-11,19.0,19.03,18.81,18.85,494082
2025-09-14,18.85,18.95,18.71,18.8,422177
2025-09-15,18.8,18.95,18.65,18.66,505943
2025-09-16,18.66,18.8,18.5,18.5,669789
2025-09-17,18.5,18.69,18.48,18.54,358978
2025-09-18,18.54,18.75,18.54,18.6,180358
2025-09-21,18.6,18.74,18.45,18.45,218141
2025-09-22,18.45,18.57,18.45,18.47,165447
2025-09-23,18.47,18.59,18.35,18.4,400959
2025-09-24,18.4,19.04,18.39,19.0,2262981
2025-09-25,19.0,19.2,18.91,18.91,694970
2025-09-28,18.91,19.13,18.87,19.08,578252
2025-09-29,19.08,19.14,18.93,19.1,580202
2025-09-30,19.1,19.9,19.11,19.85,5641527
2025-10-01,19.85,20.1,19.61,20.08,1697828
2025-10-02,20.08,20.2,19.73,20.0,1535981
2025-10-05,20.0,20.15,19.9,20.11,721201
2025-10-06,20.11,20.18,19.92,20.0,462256
2025-10-07,20.0,20.1,19.8,19.81,588506
2025-10-08,19.81,19.9,19.7,19.85,353409
2025-10-12,19.85,20.0,19.6,19.65,569705
2025-10-13,19.65,19.84,19.6,19.66,701544
2025-10-14,19.66,19.75,19.57,19.67,2457303
2025-10-15,19.67,19.68,19.41,19.5,1018473
2025-10-16,19.5,19.59,19.38,19.44,1074538
2025-10-19,19.44,19.55,19.42,19.5,1434986
2025-10-20,19.5,19.57,19.43,19.44,2263340
2025-10-21,19.44,19.76,19.44,19.72,1685594
2025-10-22,19.72,19.98,19.73,19.85,1726898
2025-10-23,19.85,19.95,19.6,19.77,1178607
2025-10-26,19.77,19.96,19.64,19.87,1249892
2025-10-27,19.87,19.94,19.69,19.71,967366
2025-10-28,19.71,19.79,19.55,19.61,671679
2025-10-29,19.61,19.68,19.48,19.5,699075
2025-10-30,19.5,19.64,19.48,19.49,540505
2025-11-02,19.49,19.6,19.2,19.2,928224
2025-11-03,19.2,19.38,18.96,19.0,1457480
2025-11-04,19.0,19.25,19.03,19.1,726378
2025-11-05,19.1,19.23,19.0,19.17,1186296
2025-11-06,19.17,19.9,19.02,19.7,3304593
2025-11-09,19.7,19.99,19.59,19.92,3026718
2025-11-10,19.92,20.07,19.55,19.61,2089888
2025-11-11,19.61,19.76,19.51,19.51,1149076
2025-11-12,19.51,19.67,19.44,19.45,441018
2025-11-13,19.45,19.57,19.4,19.43,435782
2025-11-16,19.43,19.68,19.43,19.52,801663
2025-11-17,19.52,19.7,19.45,19.5,721918
2025-11-18,19.5,19.7,19.3,19.31,1082231
2025-11-19,19.31,19.42,19.0,19.08,1321681
2025-11-20,19.08,19.2,19.1,19.11,404800
2025-11-23,19.11,19.21,19.12,19.12,325019
2025-11-24,19.12,19.2,19.0,19.02,901938
2025-11-25,19.02,19.14,18.95,18.97,570051
2025-11-26,18.97,19.02,18.83,18.83,510381
2025-11-27,18.83,18.98,18.8,18.91,412389
2025-11-30,18.91,19.09,18.69,18.9,1117905
2025-12-01,18.9,19.1,18.8,18.8,642110
2025-12-02,18.8,18.91,18.7,18.8,673695
2025-12-03,18.8,19.0,18.8,18.89,448410
2025-12-04,18.89,19.05,18.83,18.83,450498
2025-12-07,18.83,18.99,18.8,18.83,449622
2025-12-08,18.83,19.09,18.88,19.04,825495
2025-12-09,19.04,19.08,18.95,19.02,516582
2025-12-10,19.02,19.31,19.03,19.3,608303
2025-12-11,19.3,19.42,19.1,19.16,775784
2025-12-14,19.16,19.37,19.0,19.15,1095972
2025-12-15,19.15,19.22,19.06,19.08,391556
2025-12-16,19.08,19.23,19.09,19.11,532695
2025-12-17,19.11,19.25,19.15,19.2,618192
2025-12-18,19.2,19.7,19.3,19.38,1887487
2025-12-21,19.38,19.57,19.38,19.38,704992
2025-12-22,19.38,19.79,19.49,19.79,1688833
2025-12-23,19.79,19.95,19.57,19.8,1434554
2025-12-24,19.8,19.91,19.6,19.7,705160
2025-12-25,19.7,19.79,19.63,19.65,337191
2025-12-28,19.65,19.8,19.65,19.73,316796
2025-12-29,19.73,19.78,19.4,19.57,643178
2025-12-30,19.57,19.7,19.5,19.5,471379
2025-12-31,19.5,19.8,19.47,19.6,1310659
2026-01-04,15.68,15.776,15.56,15.64,791660
2026-01-05,15.64,15.72,15.4,15.464,1168775
2026-01-06,15.464,15.576,15.448,15.52,1256515
2026-01-08,15.52,15.56,15.36,15.392,1700530
2026-01-11,15.392,15.52,15.312,15.424,2160722
2026-01-12,15.424,15.55,15.08,15.28,1417374
2026-01-13,15.28,15.36,14.8,14.86,2317688
2026-01-14,14.86,14.9,14.5,14.65,991440
2026-01-15,14.65,14.8,14.2,14.22,2339062
2026-01-18,14.22,14.65,14.3,14.4,607558
2026-01-19,14.4,14.69,14.36,14.67,888711
2026-01-20,14.67,14.81,14.5,14.51,1232323
2026-01-21,14.51,14.74,14.37,14.52,1614033
2026-01-22,14.52,14.87,14.54,14.75,1662956
2026-01-25,14.75,15.77,14.8,15.7,4585400
2026-01-26,15.7,15.75,15.31,15.35,1565836
2026-01-27,15.35,15.62,15.23,15.49,1379174
2026-01-28,15.49,15.74,15.26,15.41,2139149
2026-02-01,15.41,15.5,15.08,15.16,1386380
2026-02-02,15.16,15.28,15.0,15.25,1239305
2026-02-03,15.25,15.36,15.19,15.3,1645286
2026-02-04,15.3,15.36,15.23,15.3,934600
2026-02-05,15.3,15.4,15.09,15.2,1223269
2026-02-08,15.2,15.97,15.11,15.9,5977020
2026-02-09,15.9,16.12,15.79,15.79,5323118
2026-02-10,15.79,15.9,15.59,15.74,1611731
2026-02-11,15.74,15.8,15.52,15.53,991744
2026-02-12,15.53,15.69,15.54,15.61,528856
2026-02-15,15.61,16.09,15.64,16.0,7500046
2026-02-16,16.0,16.35,15.95,16.0,7938549
2026-02-17,16.0,16.79,15.76,16.61,9158440
2026-02-18,16.61,16.95,16.52,16.55,4218928
2026-02-19,16.55,16.98,16.56,16.98,9448542
2026-02-22,16.98,17.14,16.7,16.9,10791510
2026-02-23,16.9,17.25,16.8,17.1,13690647
2026-02-24,17.1,17.2,16.91,17.0,3838463
2026-02-25,17.0,17.16,16.06,16.6,5959356
2026-02-26,16.6,16.65,16.25,16.65,3698430
2026-03-01,16.65,17.0,15.31,16.7,8963709
2026-03-02,16.7,16.93,16.28,16.45,3529563
2026-03-03,16.45,17.19,16.28,17.11,13926501
2026-03-04,17.11,18.17,17.41,17.53,17452192
2026-03-05,17.53,17.65,17.21,17.3,4357856
2026-03-08,17.3,19.33,17.8,19.25,24914828
2026-03-09,19.25,19.94,18.7,18.7,14158491
2026-03-10,18.7,18.7,17.8,18.01,5806127
2026-03-11,18.01,18.47,18.1,18.35,3767844
2026-03-12,18.35,18.9,18.1,18.15,5184535
2026-03-15,18.15,18.64,17.96,18.01,4919174
2026-03-16,18.01,18.22,17.4,17.51,3918575
2026-03-17,17.51,17.64,17.41,17.45,2086130
2026-03-18,17.45,17.7,16.9,17.1,7933916
2026-03-19,17.1,17.1,17.1,17.1,0
2026-03-24,17.1,17.68,17.12,17.58,4898536
2026-03-25,17.58,17.74,17.2,17.3,3249371
2026-03-26,17.3,17.55,17.17,17.55,4647536
2026-03-29,17.55,18.11,17.58,18.04,13887252
2026-03-30,18.04,18.32,17.8,17.95,5781837
2026-03-31,17.95,18.08,17.52,17.55,3354924
2026-04-01,17.55,17.75,17.33,17.7,2638638
2026-04-02,17.7,18.2,17.67,17.9,6270728
2026-04-05,17.9,18.05,17.64,17.79,2778730
2026-04-06,17.79,17.89,17.5,17.54,3160849
2026-04-07,17.54,17.96,17.55,17.84,3668958
2026-04-08,17.84,17.7,16.85,16.9,13987134
2026-04-09,16.9,17.03,16.66,16.7,8053556
2026-04-14,16.7,17.13,16.85,16.94,5848433
2026-04-15,16.94,17.3,16.88,17.19,4460166
2026-04-16,17.19,17.28,17.08,17.12,4255037
2026-04-19,17.12,17.2,16.87,16.93,3446190
2026-04-20,16.93,17.0,16.8,16.85,1128092
2026-04-21,16.85,16.97,16.64,16.65,2667161
2026-04-22,16.65,16.92,16.67,16.75,3694622
2026-04-23,16.75,17.16,16.82,16.93,10910431
2026-04-26,16.93,17.5,17.03,17.5,8247957
