date,open,high,low,close,volume
2025-07-10,75.75,76.85,75.75,75.9,50543
2025-07-13,75.9,76.48,75.6,75.73,51666
2025-07-14,75.73,76.25,75.55,75.62,60360
2025-07-15,75.62,76.73,75.7,75.8,204095
2025-07-16,75.8,78.79,75.9,77.2,894791
2025-07-17,77.2,78.2,77.21,77.55,179608
2025-07-20,77.55,77.79,77.22,77.36,57221
2025-07-21,77.36,77.89,76.6,76.6,119186
2025-07-22,76.6,77.15,76.3,76.55,88595
2025-07-23,76.55,76.55,76.55,76.55,0
2025-07-27,76.65,77.15,76.01,76.16,51696
2025-07-28,76.16,77.0,74.0,74.0,267747
2025-07-29,74.0,74.99,74.06,74.28,60781
2025-07-30,74.28,74.96,74.02,74.16,144698
2025-07-31,74.16,74.55,74.1,74.49,57499
2025-08-03,74.49,74.49,74.49,74.49,0
2025-08-04,74.49,74.49,74.49,74.49,0
2025-08-05,74.49,74.49,74.49,74.49,0
2025-08-06,74.49,74.49,74.49,74.49,0
2025-08-07,74.49,74.49,74.49,74.49,0
2025-08-10,74.61,76.48,74.7,76.0,358805
2025-08-11,76.0,79.94,75.5,79.0,913518
2025-08-12,79.0,79.6,78.02,78.74,240836
2025-08-13,78.74,79.5,78.05,79.2,336453
2025-08-14,79.2,82.0,78.11,80.32,504304
2025-08-17,80.32,81.3,79.62,80.3,399088
2025-08-18,80.3,80.75,78.55,78.55,341498
2025-08-19,78.55,79.73,78.5,79.05,72176
2025-08-20,79.05,79.5,77.0,77.22,190528
2025-08-21,77.22,77.5,76.51,77.0,167276
2025-08-24,77.0,77.49,75.85,75.9,127713
2025-08-25,75.9,76.86,75.0,75.1,348918
2025-08-26,75.1,75.6,74.51,74.51,579721
2025-08-27,74.51,75.49,74.5,75.0,324809
2025-08-28,75.0,76.25,74.81,75.06,161769
2025-08-31,75.06,76.0,74.6,74.9,78983
2025-09-01,74.9,75.5,74.51,74.6,204867
2025-09-02,74.6,75.49,74.02,74.45,209662
2025-09-03,74.45,75.0,74.5,75.0,93749
2025-09-07,75.0,75.6,75.01,75.11,48637
2025-09-08,75.11,75.6,75.0,75.0,141904
2025-09-09,75.0,75.48,75.0,75.01,167911
2025-09-10,75.01,75.02,74.6,74.69,192049
