period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.17,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,93000000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,8.3,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,12.02,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,6.5462,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,11.26,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,25800000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1261872455.9023066,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.17,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,93000000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,8.3,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,12.02,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,6.5462,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,11.26,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,25800000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1261872455.9023066,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.3,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,106150000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,6.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,6.49,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,6.5462,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,13.02,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,25800000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1450532932.495217,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.3,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,106150000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,6.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,6.49,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,6.5462,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,13.02,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,25800000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1450532932.495217,EGP
