period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.77,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,70350000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,11.8667,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,3.95,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,51520000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1500000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.77,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,70350000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,11.8667,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,3.95,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,51520000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1500000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.77,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,46640000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,11.25,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,3.47,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,49270000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,900038595.1370127,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.77,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,46640000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,11.25,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,3.47,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,49270000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,900038595.1370127,EGP
