period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.52,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,2500000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.75,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.6406,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,46.25,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,392460000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,32946758.039008964,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.52,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,2500000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.75,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.6406,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,46.25,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,392460000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,32946758.039008964,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.47,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1960000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.75,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.31,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.6607,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,35.32,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,393610000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,9342230.695900857,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.47,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1960000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.75,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.31,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.6607,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,35.32,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,393610000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,9342230.695900857,EGP
