period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.85,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,3500000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1878,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,20.66,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1700000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,902061855.6701031,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.85,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,3500000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1878,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,20.66,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1700000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,902061855.6701031,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,1.08,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1720000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1534,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,12.26,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1780000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,308797127.4685817,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,1.08,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1720000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1534,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,12.26,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1780000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,308797127.4685817,EGP
