period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.01,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,2080000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.35,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,6.61,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.734,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,7.08,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1900000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,400000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.01,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,2080000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.35,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,6.61,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.734,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,7.08,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1900000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,400000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.22,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1880000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.47,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,8.7,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.72,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.61,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,2070000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,356060606.06060606,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.22,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1880000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.47,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,8.7,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.72,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.61,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,2070000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,356060606.06060606,EGP
