period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.06,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,11510000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.051,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-188.04,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,5530000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1200208550.573514,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.06,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,11510000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.051,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-188.04,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,5530000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1200208550.573514,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.13,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,10440000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.0193,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,456.99,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,6980000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1057750759.8784195,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.13,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,10440000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.0193,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,456.99,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,6980000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1057750759.8784195,EGP
