period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.8,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,8830000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,1.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.34,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,2.5532,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,41.4,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,3730000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,83538315.98864712,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.8,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,8830000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,1.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.34,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,2.5532,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,41.4,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,3730000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,83538315.98864712,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.98,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,5050000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,1.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.66,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.1716,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,50.45,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,3740000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,12189234.853970552,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.98,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,5050000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,1.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.66,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.1716,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,50.45,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,3740000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,12189234.853970552,EGP
