period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.52,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,33120000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1271,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,24.31,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9960000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,10718446601.941748,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.52,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,33120000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1271,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,24.31,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9960000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,10718446601.941748,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.65,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,30870000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.2606,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,11.05,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,6750000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,9862619808.30671,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.65,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,30870000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.2606,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,11.05,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,6750000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,9862619808.30671,EGP
