period_end_date,period_type,statement_type,line_item,value,currency
2017-12-31,ANNUAL,BALANCE_SHEET,total_assets,45517084000.0,EGP
2017-12-31,ANNUAL,BALANCE_SHEET,total_equity,5359570000.0,EGP
2017-12-31,ANNUAL,BALANCE_SHEET,total_liabilities,40157514000.0,EGP
2017-12-31,ANNUAL,CASH_FLOW,free_cash_flow,-1234903000.0,EGP
2017-12-31,ANNUAL,CASH_FLOW,operating_cash_flow,-1182308000.0,EGP
2017-12-31,ANNUAL,INCOME_STATEMENT,net_income,1955155000.0,EGP
2017-12-31,ANNUAL,INCOME_STATEMENT,revenue,2796764000.0,EGP
2017-12-31,ANNUAL,VALUATION,historical_closing_price,11.19,EGP
2018-12-31,ANNUAL,BALANCE_SHEET,shares_outstanding,310917000.0,EGP
2018-12-31,ANNUAL,BALANCE_SHEET,total_assets,53559002000.0,EGP
2018-12-31,ANNUAL,BALANCE_SHEET,total_equity,6168360000.0,EGP
2018-12-31,ANNUAL,BALANCE_SHEET,total_liabilities,47390642000.0,EGP
2018-12-31,ANNUAL,CASH_FLOW,free_cash_flow,4072342000.0,EGP
2018-12-31,ANNUAL,CASH_FLOW,operating_cash_flow,4200397000.0,EGP
2018-12-31,ANNUAL,INCOME_STATEMENT,eps_basic,7.08,EGP
2018-12-31,ANNUAL,INCOME_STATEMENT,net_income,2201494000.0,EGP
2018-12-31,ANNUAL,INCOME_STATEMENT,revenue,2994120000.0,EGP
2018-12-31,ANNUAL,VALUATION,historical_closing_price,10.62,EGP
2018-12-31,ANNUAL,VALUATION,historical_pb,0.54,EGP
2018-12-31,ANNUAL,VALUATION,historical_pe,1.5,EGP
2019-12-31,ANNUAL,BALANCE_SHEET,shares_outstanding,310917000.0,EGP
2019-12-31,ANNUAL,BALANCE_SHEET,total_assets,50501353000.0,EGP
2019-12-31,ANNUAL,BALANCE_SHEET,total_equity,7181155000.0,EGP
2019-12-31,ANNUAL,BALANCE_SHEET,total_liabilities,43320198000.0,EGP
2019-12-31,ANNUAL,CASH_FLOW,free_cash_flow,-1789891000.0,EGP
2019-12-31,ANNUAL,CASH_FLOW,operating_cash_flow,-1588934000.0,EGP
2019-12-31,ANNUAL,INCOME_STATEMENT,eps_basic,7.59,EGP
2019-12-31,ANNUAL,INCOME_STATEMENT,net_income,2359696000.0,EGP
2019-12-31,ANNUAL,INCOME_STATEMENT,revenue,3135111000.0,EGP
2019-12-31,ANNUAL,VALUATION,historical_closing_price,10.94,EGP
2019-12-31,ANNUAL,VALUATION,historical_pb,0.47,EGP
2019-12-31,ANNUAL,VALUATION,historical_pe,1.44,EGP
2020-12-31,ANNUAL,BALANCE_SHEET,shares_outstanding,310917000.0,EGP
2020-12-31,ANNUAL,BALANCE_SHEET,total_assets,51891762000.0,EGP
2020-12-31,ANNUAL,BALANCE_SHEET,total_equity,7234582000.0,EGP
2020-12-31,ANNUAL,BALANCE_SHEET,total_liabilities,44657180000.0,EGP
2020-12-31,ANNUAL,CASH_FLOW,free_cash_flow,2237063000.0,EGP
2020-12-31,ANNUAL,CASH_FLOW,operating_cash_flow,2355102000.0,EGP
2020-12-31,ANNUAL,INCOME_STATEMENT,eps_basic,4.41,EGP
2020-12-31,ANNUAL,INCOME_STATEMENT,net_income,1371265000.0,EGP
2020-12-31,ANNUAL,INCOME_STATEMENT,revenue,2878251000.0,EGP
2020-12-31,ANNUAL,VALUATION,historical_closing_price,6.97,EGP
2020-12-31,ANNUAL,VALUATION,historical_pb,0.3,EGP
2020-12-31,ANNUAL,VALUATION,historical_pe,1.58,EGP
2021-12-31,ANNUAL,BALANCE_SHEET,shares_outstanding,1250000000.0,EGP
2021-12-31,ANNUAL,BALANCE_SHEET,total_assets,60387983000.0,EGP
2021-12-31,ANNUAL,BALANCE_SHEET,total_equity,8660779000.0,EGP
2021-12-31,ANNUAL,BALANCE_SHEET,total_liabilities,51727204000.0,EGP
2021-12-31,ANNUAL,CASH_FLOW,free_cash_flow,4391269000.0,EGP
2021-12-31,ANNUAL,CASH_FLOW,operating_cash_flow,4159758000.0,EGP
2021-12-31,ANNUAL,INCOME_STATEMENT,eps_basic,1.29,EGP
2021-12-31,ANNUAL,INCOME_STATEMENT,net_income,1609198000.0,EGP
2021-12-31,ANNUAL,INCOME_STATEMENT,revenue,2951461000.0,EGP
2021-12-31,ANNUAL,VALUATION,historical_closing_price,8.42,EGP
2021-12-31,ANNUAL,VALUATION,historical_pb,1.22,EGP
2021-12-31,ANNUAL,VALUATION,historical_pe,6.53,EGP
2022-12-31,ANNUAL,BALANCE_SHEET,shares_outstanding,1250000000.0,EGP
2022-12-31,ANNUAL,BALANCE_SHEET,total_assets,75365991000.0,EGP
2022-12-31,ANNUAL,BALANCE_SHEET,total_equity,9914148000.0,EGP
2022-12-31,ANNUAL,BALANCE_SHEET,total_liabilities,65451843000.0,EGP
2022-12-31,ANNUAL,CASH_FLOW,free_cash_flow,9077800000.0,EGP
2022-12-31,ANNUAL,CASH_FLOW,operating_cash_flow,9210456000.0,EGP
2022-12-31,ANNUAL,INCOME_STATEMENT,eps_basic,1.93,EGP
2022-12-31,ANNUAL,INCOME_STATEMENT,net_income,2417755000.0,EGP
2022-12-31,ANNUAL,INCOME_STATEMENT,revenue,3827982000.0,EGP
2022-12-31,ANNUAL,VALUATION,historical_closing_price,8.46,EGP
2022-12-31,ANNUAL,VALUATION,historical_pb,1.07,EGP
2022-12-31,ANNUAL,VALUATION,historical_pe,4.38,EGP
2023-12-31,ANNUAL,BALANCE_SHEET,shares_outstanding,1250000000.0,EGP
2023-12-31,ANNUAL,BALANCE_SHEET,total_assets,106177532000.0,EGP
2023-12-31,ANNUAL,BALANCE_SHEET,total_equity,14504766000.0,EGP
2023-12-31,ANNUAL,BALANCE_SHEET,total_liabilities,91672766000.0,EGP
2023-12-31,ANNUAL,CASH_FLOW,free_cash_flow,21272862000.0,EGP
2023-12-31,ANNUAL,CASH_FLOW,operating_cash_flow,21501627000.0,EGP
2023-12-31,ANNUAL,INCOME_STATEMENT,eps_basic,4.13,EGP
2023-12-31,ANNUAL,INCOME_STATEMENT,net_income,5166372000.0,EGP
2023-12-31,ANNUAL,INCOME_STATEMENT,revenue,7455382000.0,EGP
2023-12-31,ANNUAL,VALUATION,historical_closing_price,21.7,EGP
2023-12-31,ANNUAL,VALUATION,historical_pb,1.87,EGP
2023-12-31,ANNUAL,VALUATION,historical_pe,5.25,EGP
2024-12-31,ANNUAL,BALANCE_SHEET,shares_outstanding,1250000000.0,EGP
2024-12-31,ANNUAL,BALANCE_SHEET,total_assets,126897949000.0,EGP
2024-12-31,ANNUAL,BALANCE_SHEET,total_equity,21446117000.0,EGP
2024-12-31,ANNUAL,BALANCE_SHEET,total_liabilities,105451832000.0,EGP
2024-12-31,ANNUAL,CASH_FLOW,free_cash_flow,2834555000.0,EGP
2024-12-31,ANNUAL,CASH_FLOW,operating_cash_flow,3208653000.0,EGP
2024-12-31,ANNUAL,INCOME_STATEMENT,eps_basic,6.42,EGP
2024-12-31,ANNUAL,INCOME_STATEMENT,net_income,8030281000.0,EGP
2024-12-31,ANNUAL,INCOME_STATEMENT,revenue,11085456000.0,EGP
2024-12-31,ANNUAL,VALUATION,historical_closing_price,19.2,EGP
2024-12-31,ANNUAL,VALUATION,historical_pb,1.12,EGP
