period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.44,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,10200000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,2.9,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,8.96,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,3.7805,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,8.99,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,164980000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,300000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.44,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,10200000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,2.9,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,8.96,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,3.7805,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,8.99,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,164980000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,300000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.44,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,8440000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,2.9,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,10.04,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,3.7805,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,7.41,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,164980000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,245135056.63665408,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.44,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,8440000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,2.9,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,10.04,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,3.7805,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,7.41,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,164980000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,245135056.63665408,EGP
