period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.67,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,75840000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.29,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.34,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.6185,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,34.6,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,7400000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,3411605937.921727,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.67,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,75840000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.29,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.34,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.6185,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,34.6,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,7400000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,3411605937.921727,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.54,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,64460000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.29,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.52,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.5604,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,33.81,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,6770000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,2632094732.5438957,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.54,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,64460000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.29,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.52,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.5604,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,33.81,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,6770000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,2632094732.5438957,EGP
