period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.5,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,64220000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.725,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.83,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,20660000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,5446988973.706532,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.5,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,64220000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.725,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.83,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,20660000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,5446988973.706532,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.57,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,51640000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.9121,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.38,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,19810000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,4494342906.875544,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.57,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,51640000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.9121,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.38,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,19810000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,4494342906.875544,EGP
