period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.03,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,2450000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.25,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,2.32,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.9418,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,11.57,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1320000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,224770642.20183486,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.03,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,2450000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.25,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,2.32,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.9418,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,11.57,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1320000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,224770642.20183486,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.22,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1660000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.25,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,3.36,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.7071,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.27,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1060000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,157495256.16698295,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.22,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1660000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.25,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,3.36,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.7071,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.27,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1060000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,157495256.16698295,EGP
