period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,1.16,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,63460000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.78,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,23.97,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9270000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,3341758820.4318066,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,1.16,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,63460000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.78,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,23.97,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9270000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,3341758820.4318066,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,1.28,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,58930000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.739,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,23.5,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,8650000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,3086956521.7391305,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,1.28,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,58930000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.739,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,23.5,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,8650000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,3086956521.7391305,EGP
