period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.04,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1850000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.0083,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,136.14,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,46080000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1637168141.5929205,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.04,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1850000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.0083,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,136.14,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,46080000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1637168141.5929205,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.02,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1360000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.0083,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,100.36,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,17890000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1648484848.4848485,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.02,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1360000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.0083,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,100.36,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,17890000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1648484848.4848485,EGP
