period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.17,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,31160000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.45,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,6.07,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.6187,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,12.57,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,3020000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,4005141388.174807,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.17,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,31160000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.45,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,6.07,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.6187,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,12.57,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,3020000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,4005141388.174807,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.13,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,23110000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.45,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,7.75,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.4692,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,12.3,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1430000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,2794437726.723096,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.13,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,23110000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.45,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,7.75,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.4692,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,12.3,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1430000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,2794437726.723096,EGP
