period_end_date,period_type,statement_type,line_item,value,currency
2020-12-31,QUARTERLY,BALANCE_SHEET,total_assets,576265.491,Egyptian Pound(EGP)
2020-12-31,QUARTERLY,BALANCE_SHEET,total_equity,2671.05,Egyptian Pound(EGP)
2020-12-31,QUARTERLY,BALANCE_SHEET,total_liabilities,573594.441,Egyptian Pound(EGP)
2020-12-31,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,1177.166,Egyptian Pound(EGP)
2020-12-31,QUARTERLY,CASH_FLOW,financing_cash_flow,-4875.676,Egyptian Pound(EGP)
2020-12-31,QUARTERLY,CASH_FLOW,investing_cash_flow,3145.284,Egyptian Pound(EGP)
2020-12-31,QUARTERLY,CASH_FLOW,operating_cash_flow,2907.558,Egyptian Pound(EGP)
2020-12-31,QUARTERLY,INCOME_STATEMENT,gross_profit,29913.445,Egyptian Pound(EGP)
2020-12-31,QUARTERLY,INCOME_STATEMENT,net_income,149733.115,Egyptian Pound(EGP)
2021-03-31,QUARTERLY,BALANCE_SHEET,total_assets,570217709.0,Egyptian Pound(EGP)
2021-03-31,QUARTERLY,BALANCE_SHEET,total_equity,4076953.0,Egyptian Pound(EGP)
2021-03-31,QUARTERLY,BALANCE_SHEET,total_liabilities,566140756.0,Egyptian Pound(EGP)
2021-03-31,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,-612077.0,Egyptian Pound(EGP)
2021-03-31,QUARTERLY,CASH_FLOW,investing_cash_flow,761956.0,Egyptian Pound(EGP)
2021-03-31,QUARTERLY,CASH_FLOW,operating_cash_flow,-1374033.0,Egyptian Pound(EGP)
2021-03-31,QUARTERLY,INCOME_STATEMENT,gross_profit,4626759.0,Egyptian Pound(EGP)
2021-03-31,QUARTERLY,INCOME_STATEMENT,net_income,186877.0,Egyptian Pound(EGP)
2021-06-30,QUARTERLY,BALANCE_SHEET,total_assets,686726875.0,Egyptian Pound(EGP)
2021-06-30,QUARTERLY,BALANCE_SHEET,total_equity,99752001.0,Egyptian Pound(EGP)
2021-06-30,QUARTERLY,BALANCE_SHEET,total_liabilities,586974874.0,Egyptian Pound(EGP)
2021-06-30,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,124263225.0,Egyptian Pound(EGP)
2021-06-30,QUARTERLY,CASH_FLOW,investing_cash_flow,1564529.0,Egyptian Pound(EGP)
2021-06-30,QUARTERLY,CASH_FLOW,operating_cash_flow,25328773.0,Egyptian Pound(EGP)
2021-06-30,QUARTERLY,INCOME_STATEMENT,gross_profit,3900669.0,Egyptian Pound(EGP)
2021-06-30,QUARTERLY,INCOME_STATEMENT,net_income,1044971.0,Egyptian Pound(EGP)
2021-09-30,QUARTERLY,BALANCE_SHEET,total_assets,670671.705,Egyptian Pound(EGP)
2021-09-30,QUARTERLY,BALANCE_SHEET,total_equity,98685.598,Egyptian Pound(EGP)
2021-09-30,QUARTERLY,BALANCE_SHEET,total_liabilities,571986.107,Egyptian Pound(EGP)
2021-09-30,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,-28727.261,Egyptian Pound(EGP)
2021-09-30,QUARTERLY,CASH_FLOW,financing_cash_flow,0.001,Egyptian Pound(EGP)
2021-09-30,QUARTERLY,CASH_FLOW,investing_cash_flow,8441.654,Egyptian Pound(EGP)
2021-09-30,QUARTERLY,CASH_FLOW,operating_cash_flow,-37168.916,Egyptian Pound(EGP)
2021-09-30,QUARTERLY,INCOME_STATEMENT,gross_profit,8891.434,Egyptian Pound(EGP)
2021-09-30,QUARTERLY,INCOME_STATEMENT,net_income,-961.544,Egyptian Pound(EGP)
2021-12-31,ANNUAL,BALANCE_SHEET,total_assets,592668824.0,Egyptian Pound(EGP)
2021-12-31,ANNUAL,BALANCE_SHEET,total_equity,98137778.0,Egyptian Pound(EGP)
2021-12-31,ANNUAL,BALANCE_SHEET,total_liabilities,494531046.0,Egyptian Pound(EGP)
2021-12-31,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,9422.943,Egyptian Pound(EGP)
2021-12-31,QUARTERLY,CASH_FLOW,financing_cash_flow,48127.463,Egyptian Pound(EGP)
2021-12-31,QUARTERLY,CASH_FLOW,investing_cash_flow,10742.474,Egyptian Pound(EGP)
2021-12-31,QUARTERLY,CASH_FLOW,operating_cash_flow,-49446.995,Egyptian Pound(EGP)
2021-12-31,QUARTERLY,INCOME_STATEMENT,gross_profit,26069.401,Egyptian Pound(EGP)
2021-12-31,QUARTERLY,INCOME_STATEMENT,net_income,3001.859,Egyptian Pound(EGP)
2022-03-31,QUARTERLY,BALANCE_SHEET,total_assets,589142254.0,Egyptian Pound(EGP)
2022-03-31,QUARTERLY,BALANCE_SHEET,total_equity,99115997.0,Egyptian Pound(EGP)
2022-03-31,QUARTERLY,BALANCE_SHEET,total_liabilities,490026257.0,Egyptian Pound(EGP)
2022-03-31,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,-7798923.0,Egyptian Pound(EGP)
2022-03-31,QUARTERLY,CASH_FLOW,investing_cash_flow,-21163.0,Egyptian Pound(EGP)
2022-03-31,QUARTERLY,CASH_FLOW,operating_cash_flow,-7777760.0,Egyptian Pound(EGP)
2022-03-31,QUARTERLY,INCOME_STATEMENT,gross_profit,5233961.0,Egyptian Pound(EGP)
2022-03-31,QUARTERLY,INCOME_STATEMENT,net_income,1014033.0,Egyptian Pound(EGP)
2022-06-30,QUARTERLY,BALANCE_SHEET,total_assets,642096320.0,Egyptian Pound(EGP)
2022-06-30,QUARTERLY,BALANCE_SHEET,total_equity,98519861.0,Egyptian Pound(EGP)
2022-06-30,QUARTERLY,BALANCE_SHEET,total_liabilities,543576459.0,Egyptian Pound(EGP)
2022-06-30,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,121588.0,Egyptian Pound(EGP)
2022-06-30,QUARTERLY,CASH_FLOW,investing_cash_flow,0.0,Egyptian Pound(EGP)
2022-06-30,QUARTERLY,CASH_FLOW,operating_cash_flow,121588.0,Egyptian Pound(EGP)
2022-06-30,QUARTERLY,INCOME_STATEMENT,gross_profit,3298496.0,Egyptian Pound(EGP)
2022-06-30,QUARTERLY,INCOME_STATEMENT,net_income,-596136.0,Egyptian Pound(EGP)
2022-09-30,QUARTERLY,BALANCE_SHEET,total_assets,671743.242,Egyptian Pound(EGP)
2022-09-30,QUARTERLY,BALANCE_SHEET,total_equity,99260.074,Egyptian Pound(EGP)
2022-09-30,QUARTERLY,BALANCE_SHEET,total_liabilities,572483.168,Egyptian Pound(EGP)
2022-09-30,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,20968.456,Egyptian Pound(EGP)
2022-09-30,QUARTERLY,CASH_FLOW,investing_cash_flow,5.114,Egyptian Pound(EGP)
2022-09-30,QUARTERLY,CASH_FLOW,operating_cash_flow,20963.342,Egyptian Pound(EGP)
2022-09-30,QUARTERLY,INCOME_STATEMENT,gross_profit,5285.292,Egyptian Pound(EGP)
2022-09-30,QUARTERLY,INCOME_STATEMENT,net_income,665.859,Egyptian Pound(EGP)
2022-12-31,ANNUAL,BALANCE_SHEET,total_assets,681086208.0,Egyptian Pound(EGP)
2022-12-31,ANNUAL,BALANCE_SHEET,total_equity,99539679.0,Egyptian Pound(EGP)
2022-12-31,ANNUAL,BALANCE_SHEET,total_liabilities,581546529.0,Egyptian Pound(EGP)
2022-12-31,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,-11608.705,Egyptian Pound(EGP)
2022-12-31,QUARTERLY,CASH_FLOW,investing_cash_flow,1026.19,Egyptian Pound(EGP)
2022-12-31,QUARTERLY,CASH_FLOW,operating_cash_flow,-12634.895,Egyptian Pound(EGP)
2022-12-31,QUARTERLY,INCOME_STATEMENT,gross_profit,21912.988,Egyptian Pound(EGP)
2022-12-31,QUARTERLY,INCOME_STATEMENT,net_income,1371.191,Egyptian Pound(EGP)
2023-03-31,QUARTERLY,BALANCE_SHEET,total_assets,704684237.0,Egyptian Pound(EGP)
2023-03-31,QUARTERLY,BALANCE_SHEET,total_equity,100359308.0,Egyptian Pound(EGP)
2023-03-31,QUARTERLY,BALANCE_SHEET,total_liabilities,604324929.0,Egyptian Pound(EGP)
2023-03-31,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,91328.0,Egyptian Pound(EGP)
2023-03-31,QUARTERLY,CASH_FLOW,investing_cash_flow,34902.0,Egyptian Pound(EGP)
2023-03-31,QUARTERLY,CASH_FLOW,operating_cash_flow,56426.0,Egyptian Pound(EGP)
2023-03-31,QUARTERLY,INCOME_STATEMENT,gross_profit,5332027.0,Egyptian Pound(EGP)
2023-03-31,QUARTERLY,INCOME_STATEMENT,net_income,819629.0,Egyptian Pound(EGP)
2023-06-30,QUARTERLY,BALANCE_SHEET,total_assets,709914359.0,Egyptian Pound(EGP)
2023-06-30,QUARTERLY,BALANCE_SHEET,total_equity,100312787.0,Egyptian Pound(EGP)
2023-06-30,QUARTERLY,BALANCE_SHEET,total_liabilities,609601572.0,Egyptian Pound(EGP)
2023-06-30,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,981133.0,Egyptian Pound(EGP)
2023-06-30,QUARTERLY,CASH_FLOW,investing_cash_flow,-59151.0,Egyptian Pound(EGP)
2023-06-30,QUARTERLY,CASH_FLOW,operating_cash_flow,1040284.0,Egyptian Pound(EGP)
2023-06-30,QUARTERLY,INCOME_STATEMENT,gross_profit,3483532.0,Egyptian Pound(EGP)
2023-06-30,QUARTERLY,INCOME_STATEMENT,net_income,-46521.0,Egyptian Pound(EGP)
2023-09-30,QUARTERLY,BALANCE_SHEET,total_assets,734723.329,Egyptian Pound(EGP)
2023-09-30,QUARTERLY,BALANCE_SHEET,total_equity,100749.866,Egyptian Pound(EGP)
2023-09-30,QUARTERLY,BALANCE_SHEET,total_liabilities,633973.463,Egyptian Pound(EGP)
2023-09-30,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,-891.594,Egyptian Pound(EGP)
2023-09-30,QUARTERLY,CASH_FLOW,investing_cash_flow,529.2,Egyptian Pound(EGP)
2023-09-30,QUARTERLY,CASH_FLOW,operating_cash_flow,-1420.794,Egyptian Pound(EGP)
2023-09-30,QUARTERLY,INCOME_STATEMENT,gross_profit,3945.342,Egyptian Pound(EGP)
2023-09-30,QUARTERLY,INCOME_STATEMENT,net_income,437.079,Egyptian Pound(EGP)
2023-12-31,ANNUAL,BALANCE_SHEET,total_assets,796352111.0,Egyptian Pound(EGP)
2023-12-31,ANNUAL,BALANCE_SHEET,total_equity,101687986.0,Egyptian Pound(EGP)
2023-12-31,ANNUAL,BALANCE_SHEET,total_liabilities,694664125.0,Egyptian Pound(EGP)
2023-12-31,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,7296.308,Egyptian Pound(EGP)
2023-12-31,QUARTERLY,CASH_FLOW,investing_cash_flow,4616.012,Egyptian Pound(EGP)
2023-12-31,QUARTERLY,CASH_FLOW,operating_cash_flow,2680.296,Egyptian Pound(EGP)
2023-12-31,QUARTERLY,INCOME_STATEMENT,gross_profit,17078.893,Egyptian Pound(EGP)
2023-12-31,QUARTERLY,INCOME_STATEMENT,net_income,2148.307,Egyptian Pound(EGP)
2024-03-31,QUARTERLY,BALANCE_SHEET,total_assets,1030729562.0,Egyptian Pound(EGP)
2024-03-31,QUARTERLY,BALANCE_SHEET,total_equity,296835858.0,Egyptian Pound(EGP)
2024-03-31,QUARTERLY,BALANCE_SHEET,total_liabilities,733893704.0,Egyptian Pound(EGP)
2024-03-31,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,195304168.0,Egyptian Pound(EGP)
2024-03-31,QUARTERLY,CASH_FLOW,financing_cash_flow,194400000.0,Egyptian Pound(EGP)
2024-03-31,QUARTERLY,CASH_FLOW,investing_cash_flow,-16275.0,Egyptian Pound(EGP)
2024-03-31,QUARTERLY,CASH_FLOW,operating_cash_flow,920443.0,Egyptian Pound(EGP)
2024-03-31,QUARTERLY,INCOME_STATEMENT,gross_profit,7511632.0,Egyptian Pound(EGP)
2024-03-31,QUARTERLY,INCOME_STATEMENT,net_income,747872.0,Egyptian Pound(EGP)
2024-06-30,QUARTERLY,BALANCE_SHEET,total_assets,913794218.0,Egyptian Pound(EGP)
2024-06-30,QUARTERLY,BALANCE_SHEET,total_equity,305002761.0,Egyptian Pound(EGP)
2024-06-30,QUARTERLY,BALANCE_SHEET,total_liabilities,608791457.0,Egyptian Pound(EGP)
2024-06-30,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,-83223314.0,Egyptian Pound(EGP)
2024-06-30,QUARTERLY,CASH_FLOW,financing_cash_flow,-41159573.0,Egyptian Pound(EGP)
2024-06-30,QUARTERLY,CASH_FLOW,investing_cash_flow,9384316.0,Egyptian Pound(EGP)
2024-06-30,QUARTERLY,CASH_FLOW,operating_cash_flow,-51448057.0,Egyptian Pound(EGP)
2024-06-30,QUARTERLY,INCOME_STATEMENT,gross_profit,-2033441.0,Egyptian Pound(EGP)
2024-06-30,QUARTERLY,INCOME_STATEMENT,net_income,8166903.0,Egyptian Pound(EGP)
2024-09-30,QUARTERLY,BALANCE_SHEET,total_assets,915672.809,Egyptian Pound(EGP)
2024-09-30,QUARTERLY,BALANCE_SHEET,total_equity,309385.206,Egyptian Pound(EGP)
2024-09-30,QUARTERLY,BALANCE_SHEET,total_liabilities,606287.603,Egyptian Pound(EGP)
2024-09-30,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,41794.396,Egyptian Pound(EGP)
2024-09-30,QUARTERLY,CASH_FLOW,financing_cash_flow,41159.573,Egyptian Pound(EGP)
2024-09-30,QUARTERLY,CASH_FLOW,investing_cash_flow,723.934,Egyptian Pound(EGP)
2024-09-30,QUARTERLY,CASH_FLOW,operating_cash_flow,-89.111,Egyptian Pound(EGP)
2024-09-30,QUARTERLY,INCOME_STATEMENT,gross_profit,1848.598,Egyptian Pound(EGP)
2024-09-30,QUARTERLY,INCOME_STATEMENT,net_income,4382.445,Egyptian Pound(EGP)
2024-12-31,ANNUAL,BALANCE_SHEET,total_assets,889175074.0,Egyptian Pound(EGP)
2024-12-31,ANNUAL,BALANCE_SHEET,total_equity,312659363.0,Egyptian Pound(EGP)
2024-12-31,ANNUAL,BALANCE_SHEET,total_liabilities,576515711.0,Egyptian Pound(EGP)
2024-12-31,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,147101.131,Egyptian Pound(EGP)
2024-12-31,QUARTERLY,CASH_FLOW,financing_cash_flow,130473.848,Egyptian Pound(EGP)
2024-12-31,QUARTERLY,CASH_FLOW,investing_cash_flow,9864.307,Egyptian Pound(EGP)
2024-12-31,QUARTERLY,CASH_FLOW,operating_cash_flow,6762.976,Egyptian Pound(EGP)
2024-12-31,QUARTERLY,INCOME_STATEMENT,gross_profit,4013.791,Egyptian Pound(EGP)
2024-12-31,QUARTERLY,INCOME_STATEMENT,net_income,16571.377,Egyptian Pound(EGP)
2025-03-31,QUARTERLY,BALANCE_SHEET,total_assets,833112661.0,Egyptian Pound(EGP)
2025-03-31,QUARTERLY,BALANCE_SHEET,total_equity,318315142.0,Egyptian Pound(EGP)
2025-03-31,QUARTERLY,BALANCE_SHEET,total_liabilities,514797519.0,Egyptian Pound(EGP)
2025-03-31,QUARTERLY,CASH_FLOW,cash_and_equivalents_change,-37454443.0,Egyptian Pound(EGP)
2025-03-31,QUARTERLY,CASH_FLOW,financing_cash_flow,443812.0,Egyptian Pound(EGP)
2025-03-31,QUARTERLY,CASH_FLOW,investing_cash_flow,-33585.0,Egyptian Pound(EGP)
2025-03-31,QUARTERLY,CASH_FLOW,operating_cash_flow,-37864670.0,Egyptian Pound(EGP)
2025-03-31,QUARTERLY,INCOME_STATEMENT,gross_profit,8773514.0,Egyptian Pound(EGP)
2025-03-31,QUARTERLY,INCOME_STATEMENT,net_income,5655779.0,Egyptian Pound(EGP)
2025-06-30,QUARTERLY,BALANCE_SHEET,total_assets,940756801.0,Egyptian Pound(EGP)
2025-06-30,QUARTERLY,BALANCE_SHEET,total_equity,323209012.0,Egyptian Pound(EGP)
2025-06-30,QUARTERLY,BALANCE_SHEET,total_liabilities,617547789.0,Egyptian Pound(EGP)
2025-06-30,QUARTERLY,INCOME_STATEMENT,gross_profit,10609205.0,Egyptian Pound(EGP)
2025-06-30,QUARTERLY,INCOME_STATEMENT,net_income,4893870.0,Egyptian Pound(EGP)
2025-09-30,QUARTERLY,INCOME_STATEMENT,gross_profit,21552.734,Egyptian Pound(EGP)
2025-09-30,QUARTERLY,INCOME_STATEMENT,net_income,10885.386,Egyptian Pound(EGP)
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,940410000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1458000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,940410000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1458000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,586120000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1454392059.5533497,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,586120000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1454392059.5533497,EGP
