period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.26,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,9600000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.049,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,18.41,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,2580000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,497151734.8524081,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.26,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,9600000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.049,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,18.41,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,2580000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,497151734.8524081,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.65,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,9730000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.0342,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,18.77,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,2440000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,481921743.4373452,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.65,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,9730000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.0342,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,18.77,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,2440000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,481921743.4373452,EGP
