period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.7,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,11590000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.13,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.13,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.8245,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,13.95,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,80050000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1007826086.9565217,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.7,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,11590000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.13,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.13,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.8245,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,13.95,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,80050000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1007826086.9565217,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.57,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,10260000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.16,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.5,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.765,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,13.4,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,76600000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,767389678.3844428,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.57,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,10260000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.16,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.5,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.765,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,13.4,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,76600000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,767389678.3844428,EGP
