period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.45,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,712000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.0204,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,17.2,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,478540000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1913978494.623656,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.45,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,712000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.0204,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,17.2,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,478540000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1913978494.623656,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.08,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1250000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.0345,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,17.39,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,412700000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,2022653721.682848,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.08,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1250000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.0345,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,17.39,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,412700000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,2022653721.682848,EGP
