period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.18,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,17060000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,11.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,6.21,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,25.4453,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,7.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9930000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,95993697.95183435,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.18,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,17060000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,11.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,6.21,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,25.4453,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,7.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9930000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,95993697.95183435,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.05,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,16700000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,1.5,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,0.86,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,15.7711,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,11.1,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,8500000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,90711569.79902227,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.05,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,16700000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,1.5,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,0.86,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,15.7711,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,11.1,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,8500000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,90711569.79902227,EGP
