period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.22,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,775480000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.2,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.05,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,894540000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,583067669.1729323,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.22,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,775480000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.2,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.05,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,894540000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,583067669.1729323,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.42,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,786880000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.2,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.55,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,894540000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,517684210.5263158,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.42,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,786880000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.2,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.55,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,894540000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,517684210.5263158,EGP
