period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.03,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,5510000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,13.19,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,5.48,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,22.8122,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.61,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1680000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,22766713.4947525,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.03,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,5510000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,13.19,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,5.48,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,22.8122,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.61,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1680000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,22766713.4947525,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.03,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,3610000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,13.19,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,8.38,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.97,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1520000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,11607717.041800642,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.03,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,3610000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,13.19,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,8.38,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.97,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1520000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,11607717.041800642,EGP
