period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.35,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1860000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.0879,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-21.16,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,750510000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1000000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.35,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1860000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.0879,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-21.16,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,750510000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1000000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.5,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1560000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1005,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,15.52,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,961830000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,804123711.3402063,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.5,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1560000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1005,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,15.52,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,961830000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,804123711.3402063,EGP
