period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.07,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1440000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.557,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,23.33,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1570000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,40000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.07,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1440000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.557,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,23.33,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1570000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,40000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.17,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1440000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.0947,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,32.61,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1010000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,44706612.853151195,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.17,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1440000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.0947,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,32.61,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1010000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,44706612.853151195,EGP
