period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.36,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,36740000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,2.9679,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,9.6,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,20640000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1289122807.0175438,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.36,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,36740000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,2.9679,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,9.6,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,20640000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1289122807.0175438,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.43,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,26390000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,3.4744,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,5.64,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,21260000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,910000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.43,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,26390000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,3.4744,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,5.64,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,21260000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,910000000.0,EGP
