period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.5,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,7450000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.1018,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-13.95,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1390000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,5246478873.239437,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.5,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,7450000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.1018,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-13.95,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,1390000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,5246478873.239437,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.72,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,7190000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.1653,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-8.35,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,708460000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,4730263157.894737,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.72,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,7190000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.1653,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-8.35,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,708460000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,4730263157.894737,EGP
