period_end_date,period_type,statement_type,line_item,value,currency
2026-03-31,QUARTERLY,INCOME_STATEMENT,ebitda,108300000.0,USD
2026-03-31,QUARTERLY,INCOME_STATEMENT,net_income_attributable,53400000.0,USD
2026-03-31,QUARTERLY,INCOME_STATEMENT,revenue,1468400000.0,USD
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,78490000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,23.43,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,3.44,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,2.0245,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.96,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,5670000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,110238764.04494382,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,78490000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,23.43,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,3.44,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,2.0245,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.96,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,5670000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,110238764.04494382,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,52250000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,23.43,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,4.77,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.4909,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,5.95,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,4360000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,735397607.3187896,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,52250000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,23.43,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,4.77,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.4909,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,5.95,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,4360000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,735397607.3187896,EGP
