period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.42,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,44310000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.38,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,0.98,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,4.6257,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,8.47,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,24960000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1130357142.8571427,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.42,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,44310000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.38,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,0.98,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,4.6257,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,8.47,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,24960000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1130357142.8571427,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.18,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,28040000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.38,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.49,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,4.9092,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,5.04,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,24950000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,675662650.6024096,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.18,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,28040000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.38,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.49,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,4.9092,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,5.04,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,24950000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,675662650.6024096,EGP
