period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.54,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,15010000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,3.5,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,4.08,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,8.4246,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.56,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9670000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,168708553.44498146,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.54,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,15010000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,3.5,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,4.08,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,8.4246,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.56,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9670000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,168708553.44498146,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.53,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,13280000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,3.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,3.8,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,7.4501,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.6,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9300000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,98883097.54281458,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.53,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,13280000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,3.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,3.8,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,7.4501,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.6,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9300000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,98883097.54281458,EGP
