period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.28,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,2030000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.3667,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,7.46,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,3100000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,199214916.58488715,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.28,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,2030000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.3667,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,7.46,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,3100000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,199214916.58488715,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.18,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1640000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.3131,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.49,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,2880000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,161895360.31589338,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.18,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,1640000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,1.3131,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.49,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,2880000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,161895360.31589338,EGP
