period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.37,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,33750000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.6083,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,12.97,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,66760000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,4277566539.9239545,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.37,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,33750000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.6083,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,12.97,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,66760000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,4277566539.9239545,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.01,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,22160000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.04,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,0.77,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.6051,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,8.58,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,63830000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,2938992042.440318,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.01,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,22160000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.04,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,0.77,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.6051,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,8.58,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,63830000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,2938992042.440318,EGP
