period_end_date,period_type,statement_type,line_item,value,currency
2026-03-31,QUARTERLY,INCOME_STATEMENT,ebitda,303100000.0,EGP
2026-03-31,QUARTERLY,INCOME_STATEMENT,gross_profit,526700000.00000006,EGP
2026-03-31,QUARTERLY,INCOME_STATEMENT,net_income,103200000.0,EGP
2026-03-31,QUARTERLY,INCOME_STATEMENT,operating_income,278900000.0,EGP
2026-03-31,QUARTERLY,INCOME_STATEMENT,revenue,1066800000.0,EGP
2026-03-31,QUARTERLY,KEY_METRICS,recurring_net_income,109400000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.42,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,9960000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.03,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,0.6,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1435,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,34.7,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,4300000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1999999999.9999998,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.42,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,9960000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.03,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,0.6,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1435,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,34.7,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,4300000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1999999999.9999998,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.13,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,8360000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.08,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.86,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1985,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,20.86,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,3950000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1441379310.3448277,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.13,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,8360000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.08,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.86,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1985,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,20.86,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,3950000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1441379310.3448277,EGP
