period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.34,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,17560000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,12.6721,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,5.31,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9210000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,260804990.34605673,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.34,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,17560000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,12.6721,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,5.31,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9210000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,260804990.34605673,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.37,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,14950000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,10.3541,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,5.51,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9090000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,190688775.51020408,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.37,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,14950000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,10.3541,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,5.51,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,9090000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,190688775.51020408,EGP
