period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.11,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,2500000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.2356,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-200.3,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,390420000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,52977325.704598434,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.11,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,2500000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.2356,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-200.3,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,390420000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,52977325.704598434,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.11,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,2140000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.895,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,45.22,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,334240000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,32923076.923076924,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.11,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,2140000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.895,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,45.22,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,334240000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,32923076.923076924,EGP
